,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,9537.39,False,False
1,,"['ATM MEPS IBFT FROM OFI', '4034 6864 6855 6828', 'C&A', 'AUTO', 'C&A AUTOMART', 'INSTANT TRANSFER']",873.0,Credit,10410.39,False,False
2,03/12,['CDM CASH DEPOSIT'],2250.0,Credit,12660.39,False,False
3,03/12,"['IBG CREDIT', '20181201149044569', '5501', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",3800.51,Credit,16460.9,False,False
4,03/12,"['IBG CREDIT', '20181130149044569', '1298', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",1542.5,Credit,18003.4,False,False
5,03/12,"['TR IBG', '0811700225', '0811700225', 'HITACHI CAPITAL MALA']",3650.0,Debit,14353.4,False,False
6,03/12,['HSE CHQ DEPOSIT'],1000.0,Credit,15353.4,False,False
7,93/12,['CDM CASH DEPOSIT'],1340.0,Credit,16693.4,False,False
8,,['CDM CASH DEPOSIT'],2470.0,Credit,19163.4,False,False
9,05/12,"['IBG CREDIT', '20181204149044569', '2040', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",1595.7,Credit,20759.1,False,False
10,05/12,"['ATM MEPS IBFT FROM OF!', 'INV007040', 'LAW', 'YOKE F', 'LAW YOKE FONG', 'JRK9933']",1550.0,Credit,22309.1,False,False
11,05/12,"['ATM MEPS IBFT FROM OF1', 'JPK9355', 'BADRUL', 'HIS', 'BADRUL HISHAM JAMALU', 'ECU, programing']",4450.0,Credit,26759.1,False,False
12,05/12,"['OTHER TRANSFER FEE', 'payment for aug 18 CK1']",0.1,Debit,26759.0,False,False
13,05/12,"['TR IBG', 'payment for aug 18', 'CK1', 'K BEST AUTO PART']",400.0,Debit,26359.0,False,False
14,05/12,"['TR TO LOANS', 'CK AUTOMOBILE SERVI', 'CAR LOAN JQY5300']",1350.0,Debit,25009.0,False,False
15,05/12,"['OTHER TRANSFER FEE', 'RENTAL FOR OCT 18 CK1']",25008.9,Debit,25008.9,False,True
16,05/12,"['TR IBG', 'RENTAL FOR OCT 18', 'CK1', 'HOMETRIC DESIGN & CO']",5200.0,Debit,19808.9,False,False
17,05/12,"['OTHER TRANSFER FEE', 'PAYMENT BIL NO 12934CK1']",0.1,Debit,19808.8,False,False
18,05/12,"['TR IBG', 'PAYMENT BIL NO 12934', 'cK1', 'v cross tyre & tradi']",1960.0,Debit,17848.8,False,False
19,06/12,"['ATM MEPS IBFT FROM OF1', '580 647 payment', 'C&A', 'AUTO', 'C & A AUTOMART', 'INSTANT TRANSFER']",725.0,Credit,18573.8,False,False
20,06/12,"['IBG CREDIT', '20181205149044569', '0825', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",4678.78,Credit,23252.58,False,False
21,06/12,"[""' JOMPAY"", '1016:1100018823077 SC6NS226']",56.0,Debit,23196.58,False,False
22,08/12,"['JOMPAY', '1016:2100012429930 SC6TEVGV']",520.08,Debit,22676.5,False,False
23,06/12,"['JOMPAY', '5454:220756135204 5C6MDNOY']",616.05,Debit,22060.45,False,False
24,07/12,"['OTHER TRANSFER FEE', 'diractor fee nov 18 CK1 n CK2']",0.1,Debit,22060.35,False,False
25,07/12,"['TR IBG', 'director fee nov 18', 'CK1n CK2', 'lam kek boon']",1500.0,Debit,20560.35,False,False
26,07/12,"['OTHER TRANSFER FEE', 'salary fornov18 CK1nCK2']",0.1,Debit,20560.25,False,False
27,07/12,"['TR IBG', 'salary for nov 18', 'CK1 n CK2', 'TAN CHUAN KEAT']",2634.7,Debit,17925.55,False,False
28,07/12,"['OTHER TRANSFER FEE', 'wei salary nov 18 pay back to eric']",0.1,Debit,17925.45,False,False
29,07/12,"['TR IBG', ""'wel salary nov 18"", 'pay back to eric', 'TAN CHUAN KEAT']",1200.0,Debit,16725.45,False,False
30,07/12,"['OTHER TRANSFER FEE', 'salary fornov 18 CK1']",0.1,Debit,16725.35,False,False
31,07/12,"['TR IBG', 'salary for nov 18', 'CK1', 'chai yi hao']",342.55,Debit,16382.8,False,False
