,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,109933.09,False,False
1,02/01,"['IBG CREDIT', 'SEWAOKT2018', 'NOR', '6760', 'SHAHID', 'NOR SHAHID ABD MALIK', 'PRIVATE TRANSACTION']",900.0,Credit,110833.09,False,False
2,02/01,"['IBG CREDIT', '20190101149044569', '1083', 'Sf.', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",452.25,Credit,111285.34,False,False
3,03/01,"['TR IBG', '0811700225', '0841700225', 'HITACHI CAPITAL MALA']",3650.0,Debit,107635.34,False,False
4,03/01,"['TR TO LOANS', 'CK AUTOMOBILE SERVI', 'car loan jqy5300']",1350.0,Debit,106285.34,False,False
5,03/01,"['OTHER TRANSFER FEE', 'borcard machine 01012019']",0.1,Debit,106285.24,False,False
6,03/01,"['TR IBG', 'bor card machine', '01012019', 'teoh chiek kai']",451.25,Debit,105833.99,False,False
7,03/01,"['IBG CREDIT', '20190102149044569', '9330', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",5164.35,Credit,110998.34,False,False
8,04/01,"['IBG CREDIT', '20190 103149044569', '2857', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",4087.75,Credit,115086.09,False,False
9,04/01,"['JOMPAY', '1030287559', '6143LDCR8888', 'TM UNIFI']",570.45,Debit,114515.64,False,False
10,04/01,"['OTHER TRANSFER FEE', 'borcard machine CK1']",0.1,Debit,114515.54,False,False
11,04/01,"['TR IBG', 'bor card machine', 'CK1', 'teoh chiek kai']",9250.1,Debit,105265.44,False,False
12,04/01,"['JOMPAY', '1016:2100012429930 614X4G50']",863.98,Debit,104401.46,False,False
13,07/01,"['IBG CREDIT', '201901051 49044569', '9823', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",1182.0,Credit,105583.46,False,False
14,07/01,"['IBG CREDIT', '20190104149044569', '6396', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",522.05,Credit,106105.51,False,False
15,07/01,"['OTHER TRANSFER FEE', 'salary for dec 18 2 CK1']",0.1,Debit,106105.41,False,False
16,07/01,"['TR IBG', 'Salary for dec 18 2', 'CKI', 'KE KIM FOO']",1070.2,Debit,105035.21,False,False
17,07/01,"['OTHER TRANSFER FEE', 'Salary for dec 18 2 CK1']",0.1,Debit,105035.11,False,False
18,07/01,"['TR IBG', 'salary for dec 18 2', 'CK1', 'LIOW SHUNG GENG']",794.7,Debit,104240.41,False,False
19,07/01,"['OTHER TRANSFER FEE', 'sr 04 jan 19', 'boy bor machine']",0.1,Debit,104240.31,False,False
20,07/01,"['TR IBG', 'sr 04 jan 19', 'boy bor machine', 'teoh chiek kai']",103719.26,Credit,403719.26,False,True
21,07/01,"['OTHER TRANSFER FEE', 'salary fordec 18 2 CK1']",103719.16,Debit,103719.16,False,True
22,07/01,"['TR IBG', 'salary fordec 18 2', 'CK1', 'ho pei shan']",1124.9,Debit,102594.26,False,False
23,07/01,"['OTHER TRANSFER FEE', 'salary for dec 18 2 wei salary dec']",0.1,Debit,102594.16,False,False
24,07/01,"['TR IBG', 'salary for dec 18 2', 'wei salary dec', 'TAN CHUAN KEAT']",1739.4,Debit,100854.76,False,False
25,07/01,"['JOMPAY', '82271017j8 117600', '61774F5F3673', 'SAJ Ranhill']",30.0,Debit,100824.76,False,False
26,07/01,"['JOMPAY', '1016:1100018823077 617KBLFD']",56.0,Debit,100768.76,False,False
27,07/01,"['JOMPAY', '5454:220756 135204 617LXIP4']",616.05,Debit,100152.71,False,False
28,08/01,"['IBG CREDIT', '20190107149044569', '2599', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",2437.87,Credit,102590.58,False,False
29,09/01,"['OTHER TRANSFER FEE', 'borcard machine CK1']",0.1,Debit,102590.48,False,False
30,09/01,"['TR IBG', 'bor card machine', 'CK1', 'teoh chiek kai']",3617.87,Debit,98972.61,False,False
31,40/01,"['IBG CREDIT', '20190109149044569', '5656', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",958.39,Credit,99931.0,False,False
32,10/01,"['IBG CREDIT', 'PB ECP PAYMENT', '9637', 'KUJAYA MAN', 'KUJAYA MANAGEMENT SD', 'PAYMENT FOR ACCOUNT']",327.0,Credit,100258.0,False,False
33,14/01,"['IBG CREDIT', '20190112149044569', '2977', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",1531.67,Credit,101789.67,False,False
34,14/01,"['IBG CREDIT', '20190111149044569', '8668', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",2171.92,Credit,103961.59,False,False
35,45/01,"['JOMPAY', '1016:2100012429930 61F7LJBI']",327.25,Debit,103634.34,False,False
36,15/01,"['OTHER TRANSFER FEE', 'payment for dec 18 ck1']",0.1,Debit,103634.24,False,False
37,15/01,"['TR IBG', 'payment for dec 18', 'ckt', 'LK WORKSHOP']",100.0,Debit,103534.24,False,False
38,15/01,"['OTHER TRANSFER FEE', 'payment for nov 18 ck?']",103534.14,Debit,103534.14,False,True
