,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['_ OPENING BALANCE'],,,70255.59,False,False
1,,['18/BIZCHANNELMTHLYFEE'],40.0,Debit,70215.59,False,False
2,02/07,"['CAISA BONUS/INCENTIVE REWARD', 'acct', 'are']",40.0,Credit,70255.59,False,False
3,02/07,"[': TR IBG', 'l4WHEEL', 'MWHEEL', 'i ___ €S AUTO ENTERPRISE', '. jo']",4030.0,Debit,66225.59,False,False
4,02/07,"['iTR TO C/A', 'isalary event 13-30 MUNIYANDI A/L', ':SAMUG', '‘salary event 13-30', 'psalary event 13-30', 'fo']",49176.59,Debit,17049.0,False,False
5,02/07,"[""'TR TO SAVINGS"", '[ANDY MUNIYANDI A/L SAMUG', 'ANDY', 'j ANDY', 'Trams', 'atte TH CAVINRS', 'siosonie']",4600.0,Debit,12449.0,False,False
6,02/07,"['203/07/201 BTR TO SAVINGS', 'ANDY MUNIYAND} A/L SAMUG', 'TANDY', '(ANDY']",1000.0,Debit,11449.0,False,False
7,04/07,"['}200171818571 169)', '9401122306', 'maxis', '7502', 'BROA', 'iMAXIS BROADBAND SDN', '{NO. WA008 1/18/1.6.201', 'ST SaaS', 'i eee', 'Se rm']",118740.46,Credit,130189.46,False,False
8,04/07,"[';06/07/201 BTR TO C/A', '‘office expenses june SITI ROHAYAH', 'IBINTI', 'office expenses june', '____joofice expenses june', 'ese', 'cesermiel']",13883.33,Debit,116306.13,False,False
9,06/07,"[':TR TO C/A', 'fs focal salary SITI ROHAYAH BINTI', 'US local salary', 'hocnornnlfS', 'focal salary', 'volition', 'ah,', '‘ae']",19853.85,Debit,96452.28,False,False
10,06/07,"[';TR TO SAVINGS', '‘ANDY MUNIYANDI A/L SAMUG', '‘ANDY', 'NY ssc', 'en ti te']",3000.0,Debit,93452.28,False,False
11,06/07,"['.TR TO C/A', 'Lmigrant fs MUNIYANDI AL SAMUG', 'umigrant fs', '__Anigrant ts']",20671.16,Debit,72781.12,False,False
12,06/07,"['°TR TO C/A', 'itrlum TRIUMBAKAA SDN BHD', 'atrium', 'ium']",30000.0,Debit,42781.12,False,False
13,06/07,"['TR TO SAVINGS', 'umigrant fs SIT', 'ROHAYAH BINT!', 'migrant fs', '___imlgrant ts', 'eee']",30000.0,Debit,12781.12,False,False
14,09/07,"['TR TO SAVINGS', '[Andy MUNIYANDI AA. SAMUG', 'jAndy', 'Andy', 'es ee', 'je']",2000.0,Debit,10781.12,False,False
15,09/07,"['‘TR TO SAVINGS', ""'Srl SRENJIVI AML RAJAND"", '‘Sri', 'Gn ta', 'Senet']",1000.0,Debit,9781.12,False,False
16,11/07,"['IBG CREDIT', '19401129228', 'MAXIS', '5629', ""'BROA"", 'MAXIS BROADBAND SDN', 'BG TRANSACTION,']",22252.4,Credit,32033.52,False,False
17,43/07,"[""'TR TO SAVINGS"", '‘ANDY MUNIYANDI A/L SAMUG', 'lANDY', '{_____ ANDY', 'rent apace']",10000.0,Debit,22033.52,False,False
18,17/07,"['TR TO SAVINGS', 'LANDY MUNIYANDI A/L SAMUG', 'ANDY', 'PANDY', 'Bee', 'tbe']",5500.0,,,False,True
19,,"['a2612246', '+Exp 1-15 julal MUNIYANDI A/L SAMUG', '[Exp 1-15 julai', 'EAS tel', 'ccc']",5666.7,,10866.82,False,False
20,18/07,"['/IBG CREDIT', '(9401145783', 'MAXIS', '4161', 'BROA', ""'MAXIS BROADBAND SDN"", '__18@ TRANSACTION', 'ef a']",38507.88,Credit,49374.7,False,False
21,18/07,['jteor2otecLRGCHQDR 20'],828.0,,,False,True
22,,"[""18'CLRGCHQDR""]",12.08,,48500.7,False,False
23,,['\\te/07i2018 CHQPROCESSINGFEE'],559.7,,,False,True
24,23/07,"[""'TR IBG"", ':OCBC TRIUM', 'LOCBC TRIUM', 'L___TRIUMBAKAA SONBHD']",4780.0,,41809.7,False,False
25,23/07,"[';TR TO SAVINGS', 'LANDY MUNIYANDI A/L SAMUG', '‘ANDY', 'ANDY']",6000.0,Debit,35809.7,False,False
26,23/07,"['-FUNDS TR FROM SA', 'ipayment', 'iP yi', '[KOKA APLOGANATHA', 'ssp Acti aoa']",25000.0,Credit,60809.7,False,False
27,23/07,['CASH CHQ DR'],9000.0,,,False,True
28,23/07,['(231'],51.09,,81809.2,False,False
29,23/07,['2wOT@NNSCLRG CHODR'],2.9,Debit,49809.2,False,True
30,23/07,['‘CH PROCESSING FEE'],0.5,Debit,49808.7,False,False
31,25/07,"['}IBG CREDIT', '(9401147691', 'MAXIS', '3070', 'BROA', '[MAXIS BROADBAND SDN']",2010.0,Credit,51818.7,False,False
32,25/07,[],6.2,,,False,True
33,25/07,['25072018\\HOUSECHQDR'],19280.27,,32598.43,False,False
34,25/07,"[""2018'CHQ PROCESSING FEE"", 'son penne']",0.5,Debit,32537.93,False,True
35,25/07,"['aie', 'wangsa', 'iWICKNESWAREN AL KALI', 'iasia', 'cet', 'socintneeavanamea basen', 'ae ee']",25000.0,Credit,57537.93,False,False
36,25/07,['(2710712018 HOUSE CHA DR'],,,55461.93,False,True
37,25/07,['2710712018 CHQ PROCESSING FEE'],0.5,Debit,55461.43,False,False
38,25/07,"['‘S10T2018ICLRGCHQOR', 'SUO7DOIBICHAPROCESSINGFEE', 'YC O', 'i 8889083)']",8911500071.77,Debit,53891.43,False,True
39,,['CLOSING BALANCE / BAK! PENUTUP'],,,53890.93,False,False
40,03/08,"[""'TR TO SAVINGS"", 'ANDY MUNIYANDI A/L SAMUG', '""ANDY', 'fee', 'ANDY']",6000.0,Debit,48850.93,False,True
41,04/08,"[""'TR TO SAVINGS"", 'tAndy MUNIYANDI A/L SAMUG', 'iAndy']",45850.93,Debit,45850.93,False,True
42,06/08,"[':TR TO SAVINGS', '‘salary fs new local SITI ROHAYAH BINT! i', '\\salary fs new local', '___jsalaryenowiocd']",28930.75,Debit,16920.18,False,False
43,06/08,"['IBG CREDIT', '(9401149767', 'MAXIS', '1068', '‘BROA', 'IMAXIS BROADBAND SDN', 'RANA CTION', 'eee ner nr erect', 'ficinenseeifies em', 'icencmergttg ——', '06/08/2018', 'AUTOPAY CR', '347135659545', '‘ooo', 'isa 76a', '__1CIMBBANKBERHAD-C', 'gos']",117216.23,Credit,134136.41,False,False
44,06/08,"['josios2018 TR TO CIA', 'iSALARY 16-31 AUG SITIROHAYAH', ""'BINTI"", 'iSALARY 16-31 AUG', '___smarviestays']",102708.37,,,False,True
45,06/08,"['/TR TO C/A', 'Undo FS SALARY MUNIYAND! AA.', 'iSAMUG', 'jindo FS SALARY', 'lindo FSSALARY']",42869.24,,59837.13,False,False
46,06/08,"[""'TR TO C/A"", '\\PAYBACK TRIUMBAKAA SDN BHD', 'Pou', 'iPAYBACK', 'LL IPAYBACK', '__i___13.,']",49000.0,Debit,10837.13,False,False
