,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,8296.58,False,False
1,01/11,['CDM CASH DEPOSIT'],850.0,Credit,9146.58,False,False
2,02/11,"['IBG CREDIT', '20181101149044569', '5048', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",3098.69,Credit,12245.27,False,False
3,02/11,['HSE CHQ DEPOSIT'],1000.0,Credit,13245.27,False,False
4,03/11,"['ATM MEPS IBFT FROM OFI', 'Jsj 9665', 'MOHAMAD', 'MOHAMAD AL! SYAFIQ B', 'INSTANT TRANSFER']",528.0,Credit,13773.27,False,False
5,03/11,"['ATM MEPS (BFT FROM OF', 'CK Automobile', 'BADRUL', 'HIS', 'BADRUL HISHAM JAMALU', 'JPK9355']",3968.0,Credit,17741.27,False,False
6,05/11,"['TR IBG', '0811700225', '0811700225', 'HITACHI CAPITAL MALA']",3650.0,Debit,14091.27,False,False
7,06/11,['CDM CASH DEPOSIT'],1350.0,Credit,15441.27,False,False
8,06/11,['CDM CASH DEPOSIT'],1160.0,Credit,16601.27,False,False
9,06/11,"['OTHER TRANSFER FEE', 'salary foroct 18 ck?']",0.1,Debit,16601.17,False,False
10,06/11,"['TR IBG', 'Salary for oct 18', 'ck1', 'chai yi hao']",842.55,Debit,15758.62,False,False
11,06/11,"['OTHER TRANSFER FEE', 'salary foroct 18 ck1']",0.1,Debit,15758.52,False,False
12,06/11,"['TR IBG', 'salary for oct 18', 'ck1', 'ho pei shan']",1125.25,Debit,14633.27,False,False
13,06/11,"['OTHER TRANSFER FEE', 'salary foroet 18 ck?']",0.1,Debit,14633.17,False,False
14,06/11,"['TR IBG', 'salary for oct 18', 'ck1', 'KE KIM FOO']",1131.0,Debit,13502.17,False,False
15,06/11,"['TR TO LOANS', 'CK AUTOMOBILE SERVI', 'carloan .']",1350.0,Debit,12152.17,False,False
16,06/11,"['OTHER TRANSFER FEE', 'rental forsep 18 ckt']",0.1,Debit,12152.07,False,False
17,06/11,"['TR IBG', 'rental for sep 18', 'ckt', 'HOMETRIC DESIGN & CO']",5200.0,Debit,6952.07,False,False
18,06/11,"['OTHER TRANSFER FEE', 'salary foroct 18 ckin2']",0.1,Debit,6951.97,False,False
19,06/11,"['TR IBG', 'salary for oct 18', 'ckin2', 'TAN CHUAN KEAT']",2634.65,Debit,4317.32,False,False
20,07/11,"['IBG CREDIT', '20181 105149044569', '1895', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",1290.51,Credit,5607.83,False,False
21,07/11,"['IBG CREDIT', '20181106149044569', '6229', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",1007.81,Credit,6615.64,False,False
22,08/11,['CDM CASH DEPOSIT'],1840.0,Credit,8455.64,False,False
23,08/11,"['IBG CREDIT', 'GANTITAYAR', 'NOR', '6566', 'SHAHID', 'NOR SHAHID ABD MALIK', 'PRIVATE TRANSACTION']",500.0,Credit,8955.64,False,False
24,08/11,['2D LOCAL CHQ'],1200.0,Credit,10155.64,False,False
25,08/11,"['IBG CREDIT', 'PB ECP PAYMENT', '1294', 'KUJAYA MAN', 'KUJAYA MANAGEMENT SD', 'PAYMENT FOR ACCOUNT']",518.0,Credit,10673.64,False,False
26,09/11,"['IBG CREDIT', '20181108149044569', '3160', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",1604.93,Credit,12278.57,False,False
