,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,10301.31,False,False
1,,"['1BG CREDIT', '20180929149044569', '7694', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",1107.14,Credit,11408.45,False,False
2,01/10,"['IBG CREDIT', '20180928 149044569', '4204', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",1063.8,Credit,12472.25,False,False
3,01/10,"['IBG CREDIT', '6784 6818 PAYMENT', 'CHIR', '5241', 'LIAN', 'CHIR LIAN TONG', 'BEBK100108683679']",1384.0,Credit,13856.25,False,False
4,01/10,"['ATM MEPS IBFT FROM OF!', 'JSJ 9665', 'MOHAMAD', 'MOHAMAD ALI SYAFIQ B', 'INSTANT TRANSFER']",2330.0,Credit,16186.25,False,False
5,02/10,"['TR TO LOANS', 'CK AUTOMOBILE SERV!', 'CAR LOAN JQY5300']",1308.0,Debit,14878.25,False,False
6,32/10,"['IBG CREDIT', '20181001149044569', '6953', 'AMBANK CS', 'AMBANK CSD', 'CC MERCH SETTLEMENT']",394.0,Credit,15272.25,False,False
7,02/10,['CDM CASH DEPOSIT'],550.0,Credit,15822.25,False,False
8,03/10,"['TR IBG', '0841700225', '0811700225', 'HITACHI CAPITAL MALA']",3650.0,Debit,12172.25,False,False
9,03/10,['2D LOCAL CHQ'],1200.0,Credit,13372.25,False,False
10,04/10,"['ATM MEPS IBFT FROM OF!', 'Enc bor ac', 'TAN CHUAN', 'TAN CHUAN KEAT', 'Pay back to CK']",6500.0,Credit,19872.25,False,False
11,04/10,"['OTHER TRANSFER FEE', 'payment for jul 18 CK1']",0.1,Debit,19872.15,False,False
12,04/10,"['TR IBG', 'payment for jul 18', 'CKI', 'maxiee auto marketin']",6235.0,Debit,13637.15,False,False
13,04/10,"['OTHER TRANSFER FEE', 'PAYMENT FOR FOR APR CK1']",0.1,Debit,13637.05,False,False
14,04/10,"['TR IBG', 'PAYMENT FOR FOR APR', 'CK1', 'MING YI AUTOMOTIVE S']",2586.4,Debit,11050.65,False,False
15,04/10,"['OTHER TRANSFER FEE', 'payment forjun 18 CK7']",0.1,Debit,11050.55,False,False
16,04/10,"['TR IBG', 'payment forjun 18', 'CK1', 'SUAN HUAT AUTO CORPO']",1193.0,Debit,9857.55,False,False
17,04/10,"['TR TO C/A', 'REGAL AUTO TRADING', 'PAYMENT FOR JUN 18', 'CK1']",495.0,Debit,9362.55,False,False
18,04/10,"['OTHER TRANSFER FEE', 'payment for jul 18 CK1']",0.1,Debit,9362.45,False,False
19,04/10,"['TR IBG', 'payment for jul 18', 'CK1', 'LK WORKSHOP']",600.0,Debit,8762.45,False,False
20,04/10,"['OTHER TRANSFER FEE', 'RENTAL FOR AUG 18 CK1']",0.1,Debit,8762.35,False,False
21,04/10,"['TR IBG', 'RENTAL FOR AUG 18', 'CK1', 'HOMETRIC DESIGN & CO']",5200.0,Debit,3562.35,False,False
22,04/10,"['OTHER TRANSFER FEE', 'payment for jul 18 CK1']",0.1,Debit,3562.25,False,False
23,04/10,"['TR IBG', 'payment for jul 18', 'CK1', 'zhi siong enterprise']",660.0,Debit,2902.25,False,False
