,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,843627.94,True,False
1,01/01,"['DEBIT ACCOUNT - SI', 'AMPREX INTERNATIONAL', '514271632937', '609216']",8334.0,Debit,851961.94,True,False
2,03/01,['DEBIT HOUSE CHEQUE'],80000.0,Debit,931961.94,True,False
3,04/01,['CHEQUE PROCESSING FEE'],0.5,Debit,931962.44,True,False
4,08/01,['CASH WITHDRAWAL'],2851.0,Debit,934813.44,True,False
5,08/01,['ENCASHMENT CASH CHQ SVC CHR'],3.0,Debit,934816.44,True,False
6,09/01,"['CREDIT INWARD RENTAS', 'Modalku Ventures Sd*', 'Ri90109130928S', 'FROM RHB REFLEX']",295500.0,Credit,639316.44,True,False
7,09/01,['CHEQUE PROCESSING FEE'],0.5,Debit,639316.94,True,False
8,10/01,"['CMS - DR PYMT MARS', 'AMPING FEE', '17190110182664', 'AGNES-ADVANCE FOR ST']",2500.0,Debit,641816.94,True,False
9,10/01,"['CMS - DR PYMT MARS', 'S (M) BHD-INSURANCE', '1G190110182023', 'TOKIO MARINE INSURAN']",3206.39,Debit,645023.33,True,False
10,10/01,"['INTER-BANK PAYMENT INTO A/C', 'eS', 'ORIGINAL SIGHTED', 'Funds Transfer', 'Transfer Funds']",25000.0,Credit,620023.33,True,False
11,11/01,['CASH DEPOSIT'],200000.0,Credit,420023.33,True,False
12,14/01,"['INTER-BANK PAYMENT INTO A/C', 'AMPREX INTERNAT', 'Funds Transfer', 'Funds Transfer']",23000.0,Credit,397023.33,True,False
13,14/01,['INWARD CLEARING CHQ DEBIT 445873'],15000.0,Debit,412023.33,True,False
14,15/01,['CASH DEPOSIT'],400000.0,Credit,12023.33,True,False
15,15/01,"['MISC NON CASH DEBIT', 'SCHG CSH DEP 8000PC*']",60.0,Debit,12083.33,True,False
16,15/01,"['CMS - DR PYMT MARS', 'TANG BERHAD-PYMT MER', '17190115472692', 'CYCLE & CARRIAGE BIN']",51008.55,Debit,63091.88,True,False
17,15/01,['CHEQUE PROCESSING FEE'],0.5,Debit,63092.38,True,False
18,15/01,['INWARD CLEARING CHQ DEBIT 445851'],15168.4,Debit,78260.78,True,False
19,15/01,['INWARD CLEARING CHQ DEBIT 445874'],15000.0,Debit,93260.78,True,False
20,16/01,"['ONLINE DEBIT NON CASH', 'SODI ASIA LIMITED *', 'BPCT1601134405', 'GO KART']",316627.49,Debit,409888.27,True,False
21,16/01,"['CMS - DR PYMT MARS', 'S (M) BHD-NCD VT5646', '1G190116559286', 'TOKIO MARINE INSURAN']",879.06,Debit,410767.33,True,False
22,16/01,['CHEQUE PROCESSING FEE'],1.0,Debit,410768.33,True,False
23,16/01,['INWARD CLEARING CHQ DEBIT 445878'],5000.0,Debit,415768.33,True,False
24,17/01,"['CMS - DR PYMT MARS', 'SUITE PARKING LOT', '1G190117644106', 'FONG WAI MENG-VERSE']",3000.0,Debit,418768.33,True,False
25,17/01,['CHEQUE PROCESSING FEE'],0.5,Debit,418768.83,True,False
26,22/01,"['ONLINE DEBIT NON CASH', 'SODI ASIA LIMITED *', 'KLCT2201302086', '3737 PROFORMA INV CC']",3048.78,Debit,421817.61,True,False
27,22/01,['BG FIT CHARGES'],20.0,Debit,421837.61,True,False
28,22/01,['INWARD CLEARING CHQ DEBIT 445845'],505208.34,Debit,927045.95,True,False
29,23/01,"['INWARD FOREIGN TT CREDIT MI', 'AMPREX INTERNATIONA*', '031324006300', 'INTERNAL COMPANY FUN']",15042.4,Credit,912003.55,True,False
30,23/01,['CHEQUE PROCESSING FEE'],0.5,Debit,912004.05,True,False
31,24/01,"['CMS - DR PYMT MARS', 'PAYMENT CLAIMS', '17190124913446', 'GENJI HASHIMOTO-PART']",10000.0,Debit,922004.05,True,False
32,25/01,"['INTER-BANK PAYMENT INTO A/C', 'AMPREX INTERNAT', 'Funds Transfer', 'Funds Transfer']",30000.0,Credit,892004.05,True,False
33,25/01,['INWARD CLEARING CHQ DEBIT 445879'],21817.25,Debit,913821.3,True,False
34,28/01,['CASH DEPOSIT'],100000.0,Credit,813821.3,True,False
35,28/01,"['CMS - DR PYMT MARS', 'FOR JAN 2019', '1T190128622294', 'IMRAN ZAKARIA-SALARY']",12031.65,Debit,825852.95,True,False
36,28/01,"['CMS - DR PYMT MARS.', 'R JAN 2019', '1G190128621266', 'NOZOMI OGI-SALARY FO']",6509.15,Debit,832362.1,True,False
37,28/01,"['CMS - DR PYMT MARS', 'N 2019', '1T190128619670', 'KANAMI-SALARY FOR JA']",4838.3,Debit,837200.4,True,False
38,28/01,"['CMS - DR PYMT MARS', '2019', '17190128618471', 'MANJIT-WAGES FOR JAN']",6160.0,Debit,843360.4,True,False
39,28/01,"['CMS - DR PYMT MARS', 'JAN 2019', '1T190128617788', 'BELLA-SALARY & BONUS']",6685.5,Debit,850045.9,True,False
40,28/01,"['CMS - DR PYMT MARS', 'N JAN 2019', '17190128616105', 'AGNES-WAGES LIM & TA']",1132.0,Debit,851177.9,True,False
41,28/01,"['CMS - DR PYMT MARS', 'JAN 2019', '17190128615295', 'AGNES-SALARY N BONUS']",9317.35,Debit,860495.25,True,False
42,28/01,"['MISC NON CASH DEBIT', 'DEPO MORE THAN 1000*']",40.0,Debit,860535.25,True,False
43,28/01,['CHEQUE PROCESSING FEE'],0.5,Debit,860535.75,True,False
44,28/01,['INWARD CLEARING CHQ DEBIT 445880'],15000.0,Debit,875535.75,True,False
45,29/01,['CHEQUE PROCESSING FEE'],0.5,Debit,875536.25,True,False
46,30/01,"['TRANSFER TO A/C', 'FANTASY MOBILE COMM*', 'MEPS FUNDS TRA', 'i phone x']",10000.0,Credit,865536.25,True,False
47,30/01,"['TRANSFER TO A/C', 'FANTASY MOBILE COMM*', 'MEPS FUNDS TRA', 'i phone x']",10000.0,Credit,855536.25,True,False
48,30/01,"['TRANSFER TO A/C', 'SII SHIAW JING', 'i phone x']",30000.0,Credit,825536.25,True,False
49,30/01,"['CMS - DR PYMT MARS', 'TELEKOM MALAYSIA BER', '1018085884', '61V63310']",316.95,Debit,825853.2,True,False
50,30/01,"['CMS - DR PYMT MARS', 'MENT VT5646', '1G190130288137', 'PBB-23TH CAR INSTALL']",3107.0,Debit,828960.2,True,False
51,30/01,"['CMS - DR PYMT MARS', 'ES-INV IV1807/004', '17190130284515', 'SH MANAGEMENT SERVIC']",2890.0,Debit,831850.2,True,False
52,30/01,"['CMS - DR PYMT MARS', 'L-I1810/057', '1T190130283422', 'H,L.LEE & CO - INVH']",10451.6,Debit,842301.8,True,False
53,30/01,"['CMS - DR PYMT MARS', 'A) SDN BHD', '1G190130279825', 'DHL EXPRESS (MALAYSI']",637.6,Debit,842939.4,True,False
54,30/01,"['CMS - DR PYMT MARS', 'V 1813300', '1T190130278344', 'WWWIM LOGISTICS - IN']",26920.0,Debit,869859.4,True,False
55,30/01,"['CMS - DR PYMT MARS', 'BRANCH', '1A190130277531', 'TRANSFER FUNDS TO DP']",5000.0,Debit,874859.4,True,False
56,30/01,"['CMS - DR PYMT MARS', 'R DEC 2018', '1G190130275783', 'NOZOMI OGI-CLAIMS FO']",514.1,Debit,875373.5,True,False
57,30/01,"['CMS - DR PYMT MARS', 'A SINGH-CLAIMS FOR N', '1T190130269303', 'MANGIT SINGH A/L MEJ']",709.3,Debit,876082.8,True,False
58,30/01,"['CMS - DR PYMT MARS', '2019', '17190130267287', 'BELLA-CLAIMS FOR JAN']",124.55,Debit,876207.35,True,False
59,30/01,"['CMS - DR PYMT MARS', '2019', '1190130266098', 'JOYCE-CLAIMS FOR JAN']",259.95,Debit,876467.3,True,False
60,30/01,"['CMS - DR PYMT MARS', 'FEE FOR JAN 2019', '17190130264792', 'MOHD FAIRUZ-DIRECTOR']",4000.0,Debit,880467.3,True,False
61,30/01,"['CMS - DR PYMT MARS', 'RY FOR JAN 2019', '17190130263562', 'GENJI HASHIMOTO-SALA']",20254.55,Debit,900721.85,True,False
62,30/01,"['CMS - DR PYMT MARS', 'MGMT PB0000034630', '1G190130255911', 'ASI SECRETARIAL-NICK']",2550.0,Debit,903271.85,True,False
63,30/01,"['CMS - DR PYMT MARS', 'FEE']",2000.0,Debit,905271.85,True,False
64,30/01,"['CMS - DR PYMT MARS', 'QT1901/500', '1190130255119', 'YOU LIN STATIONERY -']",165.13,Debit,905436.98,True,False
65,30/01,"['CMS - DR PYMT MARS', 'NV0312/0316/0318/030', '1G190130253933', 'BEST 3C ENTERPRISE-I']",6350.0,Debit,911786.98,True,False
66,30/01,"['TRANSFER TO A/C', 'LEE KONG CHIAN', 'MEPS FUNDS TRA', 'INSTANT TRANSFER']",6000.0,Credit,905786.98,True,False
67,31/01,"['CMS - DR PYMT MARS', 'N8511', '7190131712580', 'RENTAL WORKS - INV I']",53100.0,Debit,958886.98,True,False
68,31/01,"['INTER-BANK PAYMENT INTO A/C', 'AMPREX INTERNAT', 'Funds Transfer', 'IBG PAYMENT INTO A/C']",4000.0,Credit,954886.98,True,False
69,31/01,['COMMIT/FACILITY FEE'],248.02,Debit,955135.0,True,False
70,31/01,['INTEREST CHARGED'],5802.46,Debit,960937.46,True,False
71,,['ENDING BALANCE'],,,960937.46,True,False
72,,['LEDGER BALANCE'],,,960937.46,True,False
73,,['TOTAL DEBIT'],,,1265851.92,False,False
74,,['TOTAL CREDIT'],,,1148542.4,False,False
75,,['BEGINNING BALANCE'],,,960937.46,True,False
76,01/02,"['DEBIT ACCOUNT - SI', 'AMPREX INTERNATIONAL', '514271632937', '609216']",8334.0,Debit,969271.46,True,False
77,12/02,"['INTER-BANK PAYMENT INTO A/C', 'AMPREX INTERNAT', 'Funds Transfer', 'Funds Transfer']",3000.0,Credit,966271.46,True,False
78,12/02,"['CMS - DR PYMT MARS', 'R MYVI', '1T190212050542', 'LAI YEW KUAN-USED CA']",13450.0,Debit,979721.46,True,False
79,13/02,"['CREDIT INWARD RENTAS', 'Modalku Ventures Sd*', 'R190213427250S', 'FROM RHB REFLEX']",493000.0,Credit,486721.46,True,False
80,14/02,"['TT CREDIT WITHOUT FLOAT', 'AMPREX INTERNATIONA*', '514392521749']",139.19,Credit,486582.27,True,False
81,14/02,['INWARD CLEARING CHQ DEBIT 445883'],455618.35,Debit,942200.62,True,False
82,15/02,"['INTER-BANK PAYMENT INTO A/C', 'AMPREX INTERNAT', 'Funds Transfer', 'Funds Transfer']",99000.0,Credit,843200.62,True,False
83,15/02,['CHEQUE PROCESSING FEE'],0.5,Debit,843201.12,True,False
84,15/02,['INWARD CLEARING CHQ DEBIT 445884'],20000.0,Debit,863201.12,True,False
85,15/02,['INWARD CLEARING CHQ DEBIT 445875'],3125.0,Debit,866326.12,True,False
86,18/02,['CMS - DR CORP S/CHG'],4.0,Debit,866330.12,True,False
87,18/02,"['CMS - DR PYMT MARS.', '20289', '1M190218653423', 'SEA MOBILE - INV 190']",87207.15,Debit,953537.27,True,False
88,18/02,['CMS - DR CORP S/CHG'],4.0,Debit,953541.27,True,False
89,18/02,"['CMS - DR PYMT MARS', 'SB-TRANSFER FUNDS', '1M190218654962', 'AMPREX INTERNATIONAL']",17500.0,Debit,971041.27,True,False
90,18/02,['CHEQUE PROCESSING FEE'],1.0,Debit,971042.27,True,False
91,18/02,['INWARD CLEARING CHQ DEBIT 445885'],15000.0,Debit,986042.27,True,False
92,19/02,['CASH DEPOSIT'],100000.0,Credit,886042.27,True,False
93,19/02,['CHEQUE PROCESSING FEE'],0.5,Debit,886042.77,True,False
94,20/02,"['CMS - DR PYMT MARS', 'SDN BHD-LOAN', '1T190220058294', 'AMPREX ENTERTAINMENT']",20000.0,Debit,906042.77,True,False
95,21/02,['INWARD CLEARING CHQ DEBIT 445853'],15168.4,Debit,921211.17,True,False
96,22/02,['CHEQUE PROCESSING FEE'],0.5,Debit,921211.67,True,False
97,22/02,['INWARD CLEARING CHQ DEBIT 445886'],28800.0,Debit,950011.67,True,False
98,25/02,['CHEQUE PROCESSING FEE'],0.5,Debit,950012.17,True,False
99,26/02,['CHQ BOOK STAMP DUTY'],15.0,Debit,950027.17,True,False
100,26/02,['INWARD CLEARING CHQ DEBIT 445887'],20096.74,Debit,970123.91,True,False
101,27/02,"['TRANSFER TO A/C', 'TAM SHEAU BEL', 'iPhone 6 Japan']",1750.0,Credit,968373.91,True,False
102,27/02,['CHEQUE PROCESSING FEE'],0.5,Debit,968374.41,True,False
103,28/02,"['TRANSFER TO A/C', 'AMPREX ENTERTAINMEN*', 'Repayment', 'Repayment Loan']",14390.0,Credit,953984.41,True,False
104,28/02,"['TRANSFER TO A/C', 'AMPREX LANGKAWI CIR*', 'Repayment Loan', 'Repayment Loan']",50000.0,Credit,903984.41,True,False
105,28/02,"['CMs - DR PYMT MARS', 'A) SDN BHD-KUL000204', '1G190228228645', 'DHL EXPRESS (MALAYST']",216.8,Debit,904201.21,True,False
106,28/02,"['CMS - DR PYMT MARS', 'ER BILL PYMT D-03-2', '1G190228226659', 'VERSE SUITE MGMT-WAT']",163.43,Debit,904364.64,True,False
107,28/02,"['CMS - DR PYMT MARS', 'FEE', '17.190228221436', 'KEE HOOI KEAN-RUNNER']",2000.0,Debit,906364.64,True,False
108,28/02,"['CMS - DR PYMT MARS', 'J-001054/1095/1121/', '17190228219978', 'ONE FAST EXPRESS-INV']",22665.0,Debit,929029.64,True,False
109,28/02,"['CMS - DR PYMT MARS', 'TTDI TO DP ACC', 'TA190228218878', 'TRANSFER FUNDS FROM']",8615.0,Debit,937644.64,True,False
110,28/02,"['CMS - DR PYMT MARS', 'FOR DEC 18', '1T190228218075', 'IMRAN ZAKARIA-CLAIM']",682.34,Debit,938326.98,True,False
111,28/02,"['CMS - DR PYMT MARS', 'R JAN 2019', '1G190228215333', 'NOZOMI OGI-CLAIMS FO']",3548.33,Debit,941875.31,True,False
112,28/02,"['CMS - DR PYMT MARS', '2018', '1T7190228211480', 'AGNES-CLAIMS FOR NOV']",390.5,Debit,942265.81,True,False
113,28/02,"['CMS - DR PYMT MARS', '2019', '17190228211026', 'BELLA-CLAIMS FOR FEB']",387.84,Debit,942653.65,True,False
114,28/02,"['CMS - DR PYMT MARS', '2019', '17T190228210418', 'JOYCE-CLAIMS FOR FEB']",527.05,Debit,943180.7,True,False
115,28/02,"['CMS - DR PYMT MARS', 'FOR FEB 2019', '1T190228209862', 'IMRAN ZAKARIA-SALARY']",12031.65,Debit,955212.35,True,False
116,28/02,"['CMS - DR PYMT MARS', 'R FEB 2019', '1G190228209582', 'NOZOMI OGI-SALARY FO']",6509.15,Debit,961721.5,True,False
117,28/02,"['CMS - DR PYMT MARS', 'B 2019', '17190228209212', 'KANAML-SALARY FOR FE']",4838.3,Debit,966559.8,True,False
118,28/02,"['CMS - DR PYMT MARS', '2019', '1T190228208361', 'BELLA-SALARY FOR FEB']",3090.85,Debit,969650.65,True,False
119,28/02,"['CMS - DR PYMT MARS', 'FEE FOR FEB 2019', '17190228208219', 'MOHD FAIRUZ-DIRECTOR']",4000.0,Debit,973650.65,True,False
120,28/02,"['CMS - DR PYMT MARS', '& TAN FEB 2019', '17190228207403', 'AGNES-WAGES FOR LIM']",1110.0,Debit,974760.65,True,False
121,28/02,"['CMS - DR PYMT MARS', '2019', '17190228206646', 'AGNES-SALARY FOR FEB']",5312.35,Debit,980073.0,True,False
122,28/02,"['CMS - DR PYMT MARS', 'TELEKOM MALAYSIA BER', '1018085884', '62TTHHKS']",316.95,Debit,980389.95,True,False
123,28/02,['COMMIT/FACILITY FEE'],52.39,Debit,980442.34,True,False
124,28/02,['INTEREST CHARGED'],6897.21,Debit,987339.55,True,False
125,,['ENDING BALANCE'],,,987339.55,True,False
126,,['LEDGER BALANCE'],,,987339.55,True,False
127,,['TOTAL DEBIT'],,,787681.28,False,False
128,,['TOTAL CREDIT'],,,761279.19,False,False
129,,['BEGINNING BALANCE'],,,987339.55,True,False
130,01/03,['INVALID INDIVIDUAL ID NUMBE 236811'],163.43,Credit,987176.12,True,False
