,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,01/04,"['TR TO SAVINGS', 'ROSLAN BIN HASAN NO', 'MARCH SALARY']",2649.35,,98526.29,False,False
1,01/04,"['OTHER TRANSFER FEE', '_MYPKGPM200002286']",0.1,Debit,98526.19,False,False
2,01/04,"['TR IBG', 'MYPKGPM200002286', 'MEDITERRANEAN SHIPPI']",1282.0,Debit,97244.19,False,False
3,01/04,"['TR TO SAVINGS', '-MUHAMAD SAZALI BIN', 'MARCH SALARY']",1678.05,Debit,95566.14,False,False
4,01/04,"['OTHER TRANSFER FEE', 'MYMALAT200000077']",0.1,Debit,95566.04,False,False
5,01/04,"['TR IBG', 'MYMALAT200000077', 'MEDITERRANEAN SHIPPI']",50.0,Debit,95516.04,False,False
6,01/04,"['TR TO SAVINGS', 'DATO SERI SIA BAN J', 'MARCH SALARY']",10000.0,Debit,85516.04,False,False
7,06/04,"['OTHER TRANSFER FEE', 'MY0315552']",0.1,Debit,85515.94,False,False
8,06/04,"['IR IBG', 'MY0315552', 'OCEAN NEI WORK EXPRES']",1281.0,Debit,84234.94,False,False
9,06/04,"['OTHER TRANSFER FEE', 'MY0315552 DEPOSIT']",0.1,Debit,84234.84,False,False
10,06/04,"['TR IBG', 'MY0315552 DEPOSIT', 'OCEAN NETWORK EXPRES']",2000.0,Debit,82234.84,False,False
11,06/04,"['OTHER TRANSFER FEE', 'MYCIAO 18100']",0.1,Debit,82234.74,False,False
12,06/04,"['TR IBG', 'MYCIA018100', 'CMA CGM MALAYSIA SDN']",1326.0,Debit,80908.74,False,False
13,06/04,"['OTHER TRANSFER FEE', 'eee ee EOS geet,']",0.1,Debit,80908.64,False,False
14,06/04,"['TR IBG', 'MYCIA018100 DEPOSIT', 'CMA CGM MALAYSIA SDN']",2000.0,Debit,78908.64,False,False
15,10/04,"['3RD PARTY CHEQUE ENCASHMENT', 'CHARGE']",2.0,Debit,78906.64,False,False
16,10/04,['CASH CHQ DR'],30000.0,Debit,48906.64,False,False
17,10/04,['CHQ PROCESSING FEE'],0.5,Debit,48906.14,False,False
18,13/04,"['OTHER TRANSFER FEE', '-MYCIA019017', 'MYCIA019016']",0.16,Debit,48906.04,False,True
19,13/04,"['TR IBG', 'MYCIA019017', 'MYCIA019016', 'CMA CGM MALAYSIA SDN']",2652.0,Debit,46254.04,False,False
20,13/04,"['OTHER TRANSFER FEE', 'MY03180/2']",0.1,Debit,46253.94,False,False
21,13/04,"['TR IBG', 'MY0318072', 'OCEAN NETWORK EXPRES']",1281.0,Debit,44972.94,False,False
22,13/04,"['OTHER TRANSFER FEE', 'FEB RENTAL', 'MARCH RENTAL']",0.1,Debit,44972.84,False,False
23,13/04,"['TR IBG', 'FEB RENTAL', 'MARCH RENTAL', 'PORT KLANG FREE ZONE']",17538.01,Debit,27434.83,False,False
24,13/04,"['OTHER TRANSFER FEE', 'CONTAINER DEPOSIT MYCIA019016', 'AND 17']",0.1,Debit,27434.73,False,False
25,13/04,"['TR IBG', 'CONTAINER DEPOSIT', 'MYCIA019016 AND 17', 'CMA CGM MALAYSIA SDN']",4000.0,Debit,23434.73,False,False
26,13/04,"[""'OTHER TRANSFER FEE"", 'MNOS 18072 DER OSI:', 'estilo', 'Ae te onbetna']",0.1,Debit,23434.63,False,False
27,13/04,"['TR IBG', 'MY03180/2 DEPOSIT', 'OCEAN NETWORK EXPRES']",2000.0,Debit,21434.63,False,False
28,13/04,"['OTHER TRANSFER FEE', 'MYRO31494', 'MYRO29532']",0.1,Debit,21434.53,False,False
29,13/04,"['TR IBG', 'MYRO31494', 'MYRO029532', 'OCEAN NETWORK EXPRES']",4000.0,Debit,17434.53,False,False
30,13/04,"['OTHER TRANSFER FEE', 'DEMURRAGE']",0.1,Debit,17434.43,False,False
31,13/04,"['TR IBG', 'DEMURRAGE', 'CMA CGM MALAYSIA SDN']",5590.0,Debit,11844.43,False,False
32,14/04,"['OTHER TRANSFER FEE', 'MY03 18635 DEPOSIT']",0.1,Debit,11844.33,False,False
33,14/04,"['TR IBG', 'MY0318635 DEPOSIT', 'OCEAN NETWORK EXPRES']",2000.0,Debit,9844.33,False,False
34,14/04,"['OTHER TRANSFER FEE', 'MY0318635']",0.1,Debit,9844.23,False,False
35,14/04,"['TR IBG', 'MY0318635', 'OCEAN NETWORK EXPRES', 'CONTINUE NEXT PACE......', 'pire.', 'holidays or email us at mybusinesscare@cimb.com.', 'COMBS NI/SIBSICUMSNICAI300420', '20/0109', '20/2043']",1281.0,Debit,8563.23,False,False
36,15/04,"['OTHER TRANSFER FEE', 'OFTI20041369 DEPOSIT']",0.1,Debit,8563.13,False,False
37,15/04,"['TR IBG', 'OFTI20041369 DEPOSIT', 'COSCO SHIPPING LINES']",2500.0,Debit,6063.13,False,False
38,15/04,"['OTHER TRANSFER FEE', 'OFTI20041369']",0.1,Debit,6063.03,False,False
39,15/04,"['TR IBG', 'OFTI20041369', 'COSCO SHIPPING LINES']",1233.0,Debit,4830.03,False,False
40,15/04,"['INSTANT TRANSFER', 'FUNDS TRANSFER', 'JLEGENDS S$', 'JLEGENDS STORAGE SDN']",20000.0,Credit,24830.03,False,False
41,16/04,"['INSTANT TRANSFER', 'FUNDS TRANSFER', 'JLEGENDS S', 'JLEGENDS STORAGE SDN', 'WP LEDGER']",40000.0,Credit,64830.03,False,False
42,16/04,"['OTHER TRANSFER FEE', 'PORT CHARGES']",0.1,Debit,64829.93,False,False
43,16/04,"['TR IBG', 'PORT CHARGES', 'WESTPORTS MALAYSIA S']",39849.0,Debit,24980.93,False,False
