,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,26422.45,False,False
1,,"['IBG CREDIT', '59039920', '3331', 'HAPAG-LLOY', 'HAPAG-LLOYD (MALAYSI']",6000.0,Credit,32422.45,False,False
2,03/02,"['TR TO SAVINGS', 'SIA BAN LOONG', 'HANDLING']",3000.0,Debit,29422.45,False,False
3,03/02,['CLRG CHQ DR'],1416.0,Debit,28006.45,False,False
4,03/02,['CHQ PROCESSING FEE'],0.5,Debit,28005.95,False,False
5,04/02,"['OTHER TRANSFER FEE', 'DEPOSIT', 'SSZ0762813']",0.1,Debit,28005.85,False,False
6,04/02,"['TR IBG', 'DEPOSIT', '-$SZ0762813', 'CMA CGM MALAYSIA SDN']",2000.0,Debit,26005.85,False,False
7,04/02,"['OTHER TRANSFER FEE', 'MYIMOG54861', 'SSZ07626 13']",0.1,Debit,26005.75,False,False
8,04/02,"['TR IBG', 'MYIM0654881', 'SSZ0762813', 'CMA CGM MALAYSIA SDN']",1326.0,Debit,24679.75,False,False
9,95/02,"['-PAYMENT', 'FPXPAY PERTUBUHAN', 'KESELAMATAN SOSIAL', '20200205105932_58394']",196.8,Debit,24482.95,False,False
10,05/02,"['PAYMENT', 'FPXPAY PERTUBUHAN', 'KESELAMATAN SOSIAL', '20200205110619_ 24411']",35.0,Debit,24447.95,False,False
11,05/02,"['JOMPAY', '99633133', '7Z5A6TMK68 502', 'IWK SDN BHD - JOMPAY']",16.0,Debit,24431.95,False,False
12,05/02,"['-PAYMENT', 'FPXPAY KUMPULAN WANG SIMPANAN', 'PEKERJA', '0220200021 130966C111']",6121.0,Debit,18310.95,False,False
13,05/02,"['JOMPAY', '99633174', '725JD0V368502', 'IWK SDN BHD - JOMPAY']",32.0,Debit,18278.95,False,False
14,05/02,"['I -PAYMENT', 'FPXPAY LEMBAGA HASIL DALAM', 'NEGERI E-C', 'CP2002003751']",3643.6,Debit,14635.35,False,False
15,07/02,['CLRG CHQ DR'],1281.0,Debit,13354.35,False,False
16,07/02,['CHQ PROCESSING FEE'],0.5,Debit,13353.85,False,False
17,10/02,['CLRG CHQ DR'],2000.0,Debit,11353.85,False,False
18,10/02,['CHQ PROCESSING FEE'],0.5,Debit,11353.35,False,False
19,13/02,"['REMITTANCE CR', '/ROCAMPORT FROZEN HWATI', 'FROZEN FOOD TRADING', 'IMPORT FROZEN FOOD', 'HWATI FROZEN FOOD TR', 'RESIDENT ACCOUNT']",110000.0,Debit,121.35,False,True
20,14/02,"['REMITTANCE CR', '/ROCAMPORT FROZEN HWATI', 'FROZEN FOOD TRADING', 'IMPORT FROZEN FOOD', 'HWATI FROZEN FOOD TR', 'RESIDENT ACCOUNT']",97608.0,Credit,218961.35,False,True
21,14/02,"['OTHER TRANSFER FEE', 'TCO88']",0.1,Debit,218961.25,False,False
22,14/02,"['TR IBG', 'TCOBE', 'WESTPORTS MALAYSIA S']",517.0,Debit,218444.25,False,False
23,14/02,"['OTHER TRANSFER FEE', 'BPS128']",0.1,Debit,218444.15,False,False
24,14/02,"['TR IBG', 'BPS128', 'PKG GATEWAY SDN BHD']",6959.0,Debit,211485.15,False,False
25,14/02,"['OTHER TRANSFER FEE', 'House Installment']",0.1,Debit,211485.05,False,False
26,14/02,"['1R IBG', 'House Instaliment', 'SIA BAN JOO']",4590.0,Debit,206895.05,False,False
27,14/02,"['JOMPAY', '5454:210068546906 72E9BK5Q']",2011.6,Debit,204883.45,False,False
28,44/02,"['OTHER TRANSFER FEE', '-INV00019']",0.1,Debit,204883.35,False,False
29,14/02,"['TR IBG', 'INV00019', 'ABM INDUSTRY SDN BHD']",10000.0,,,False,True
30,14/02,"['OTHER TRANSFER FEE', 'WA866X']",0.1,,194883.25,False,False
31,14/02,"['TR IBG', 'WA866X', 'SIA TONG SFA']",1548.0,Debit,193335.25,False,False
32,14/02,"['JOMPAY', '5454:210049254005 72EW759)']",7669.01,Debit,185666.24,False,False
33,14/02,"['JOMPAY', '2642:HOZ00166 72EE5Y3P']",31.8,Debit,185634.44,False,False
34,14/02,"['OTHFR TRANSFER FEE', 'CMA']",0.1,Debit,185634.34,False,False
35,14/02,"['TR IBG', 'CMA', 'PKG GATEWAY SDN BHD']",14620.0,Debit,171014.34,False,False
36,14/02,"['OTHER TRANSFER FEE', 'WB6768C']",0.1,Debit,171014.24,False,False
37,14/02,"['TR IRG', 'WB6768C', 'SIA BAN JOO']",3384.0,Debit,167630.24,False,False
38,14/02,"['JOMPAY', '2642:HOZ00167 72LEKFKQ']",106.0,Debit,167524.24,False,False
39,14/02,"['JOMPAY', '1941921000', '72EQ5HC 14200', 'SYABAS/AIR SELANGO']",172.75,Debit,167351.49,False,False
40,14/02,"['OTHER TRANSFER FEE', 'OOCL']",0.1,Debit,167351.39,False,False
41,14/02,"['TR IBG', 'OOCL', 'ONG SWAT POON']",9900.0,Debit,157451.39,False,False
42,15/02,"['INSTANT TRANSFER', 'Sky', 'BLUE SKY 7', 'BLUE SKY 777 ENTERPR', 'Payment for lori']",2500.0,Credit,159951.39,False,False
43,17/02,"['OTHER TRANSFER FEE', 'MYCEA016873', 'CNB0146208']",0.1,Debit,159951.29,False,False
44,17/02,"['TR IBG', 'MYCEA016873', 'CNB0146208', 'APL SECURITIES S.A.R']",5249.37,Debit,154701.92,False,False
45,17/02,"['OTHER TRANSFER FLL', 'HANDLING']",0.1,Debit,154701.82,False,False
46,17/02,"['TR IBG', 'HANDLING', 'TAN TIAM CHAI']",3259.0,Debit,151442.82,False,False
47,17/02,"['OTHER TRANSFER FEE', 'MYCEA016872', 'CNB0146211']",0.1,Debit,151442.72,False,False
48,17/02,"['TR IBG', 'MYCEA016872', 'CNBO146211', 'APL SECURITIES S.A.R']",5249.37,Debit,146193.35,False,False
49,17/02,"['JOMPAY', '9928:23819907 72HLUNSH']",132.0,Debit,146061.35,False,False
50,17/02,"['OTHER TRANSFER FEE', 'HANDLING']",0.1,Debit,146061.25,False,False
51,17/02,"['TR IBG', 'HANDLING', 'JLEGENDS STORAGE SDN']",97608.0,Debit,48453.25,False,False
52,17/02,"['OTHER TRANSFER FEE', 'MYT023279', 'SINV82773500']",0.1,Debit,48453.15,False,False
53,17/02,"['TR IBG', 'MYT023279', 'SINV82773500', 'OCEAN NETWORK EXPRES']",1250.0,Debit,47203.15,False,False
54,17/02,['CLRG CHQ DR'],1281.0,Debit,45922.15,False,False
55,17/02,['CHQ PROCESSING FEE'],0.5,Debit,45921.65,False,False
56,18/02,['CLRG CHQ DR'],2652.0,Debit,43269.65,False,False
57,18/02,['CHQ PROCESSING FEE'],0.5,Debit,43269.15,False,False
58,19/02,['2D LOCAL CHQ'],24000.0,Credit,67269.15,False,False
59,20/02,"['TR TO SAVINGS', 'ABDUL SYAFIQ BIN AB', 'CLAIM JAN TO FEB']",636.0,Debit,66633.15,False,False
60,20/02,"['OTHER TRANSFER FEE', '412 2556736', 'OOLU26347 17760']",0.1,Debit,66633.05,False,False
61,20/02,"['TR IBG', '412 2558736', 'OOLU2634717780', 'ORIENT OVERSEAS CONT']",5015.06,Debit,61617.99,False,False
62,20/02,"['JOMPAY', '5454:210142350901 72KDVG02']",4533.6,Debit,57084.39,False,False
63,20/02,"['JOMPAY', '5454:210142005507 72KUEFY2']",1082.9,Debit,56001.49,False,False
64,20/02,"['OTHER TRANSFER FEE', '412 2558737', 'OOLU26347 18350']",0.1,Debit,56001.39,False,False
65,20/02,"['TR IBG', '412 2558737', 'OOLU26347 18350', 'ORIENT OVERSEAS CONT']",5015.06,Debit,50986.33,False,False
66,20/02,"['JOMPAY', '1039428774', '72KX5FAF8888', '_TM UNIFI']",295.75,Debit,50690.58,False,False
67,20/02,"['OTHER TRANSFER FEE', 'MYRO29532', 'SINA06512300']",0.1,Debit,50690.48,False,False
68,20/02,"['TR IBG', 'MYRO29532', 'SINA06512300', 'OCEAN NETWORK EXPRES']",250.0,Debit,50440.48,False,False
69,20/02,"['JOMPAY', '5454:210142354410 72KIV9PU']",49.5,Debit,50390.98,False,False
70,24/02,"['OTHER TRANSFER FEE', '1T 51739', 'IT 61500']",0.1,Debit,50390.88,False,False
71,24/02,"['IR IBG', 'IT 51739', '1T 61500', 'I- TRACKING (M) SDN B']",720.0,Debit,49670.88,False,False
72,24/02,"['OTHER TRANSFER FEE', '01128']",0.1,,,False,True
73,24/02,"['TR IBG', '01128', 'KINGO TRANSPORT']",750.0,,48920.78,False,False
74,24/02,"['OTHER TRANSFER FEE', '1V¥10050297', '1V10051582']",0.1,Debit,48920.68,False,False
75,24/02,"['TR IBG', '1V10050297', '1V10051582', 'PORT KLANG FREE ZONE']",8675.5,Debit,40245.18,False,False
76,24/02,"['TR FROM CA', 'deposit for goods', 'deposit for goods', 'EDARAN PERMATA ENTER']",60000.0,Credit,100245.18,False,False
77,24/02,['CLRG CHQ DR'],1326.0,Debit,98919.18,False,False
78,24/02,['CHQ PROCESSING FEE'],0.5,Debit,98918.68,False,False
79,26/02,"['INSTANT TRANSFER', 'Awati', 'HWATI FROZ', 'HWATI FROZEN FOOD TR', 'other fee']",12407.56,Credit,111326.24,False,False
80,27/02,"['OTHER TRANSFER FEE', 'CNTR DEPOSIT', 'OOLU2634254580']",0.1,Debit,111326.14,False,False
81,27/02,"['TR IBG', 'CNTR DEPOSIT', 'OOLU2634254580', 'ORIENT OVERSEAS CONT']",2500.0,Debit,108826.14,False,False
82,27/02,"['OTHER TRANSFER FEE', '4142 2561494', 'OOLU2634254580']",0.1,Debit,108826.04,False,False
83,27/02,"['271', '412 2561494', 'O0LU2634254580', 'ORIENT OVERSEAS CONT']",1243.0,Debit,107583.04,False,False
