,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,154261.48,False,False
1,32/01,"['OTHER TRANSFER FEE', '1N0002819']",0.1,Debit,154261.38,False,False
2,02/01,"['TR IBG', '1N0002819', 'PERSATUAN PENDUDUK A']",750.0,Debit,153511.38,False,False
3,02/01,"['OTHER TRANSFER FEE', '1V10048647', '1V10049460']",0.1,Debit,153511.28,False,False
4,02/01,"['TR IBG', '1V10048647', '1V10049460', 'PORT KLANG FREE ZONE']",9015.28,Debit,144496.0,False,False
5,02/01,"['OTHER TRANSFER FEE', 'DEPOSIT', 'EGLV100950390557']",0.1,Debit,144495.9,False,False
6,02/01,"['TR IBG', 'DEPOSIT', 'EGLV100950390557', 'EVERGREEN MARINE COR']",2000.0,Debit,142495.9,False,False
7,02/01,"['OTHER TRANSFER FEE', '19426599', 'EGLV100950390557']",0.1,Debit,142495.8,False,False
8,02/01,"['TR IBG', '19426999', 'EGLV100950390557', 'EVERGREEN MARINE COR']",1226.0,Debit,141269.8,False,False
9,03/01,['CLRG CHQ DR'],1363.96,Debit,139905.84,False,False
10,03/01,['CHQ PROCESSING FEE'],0.5,Debit,139905.34,False,False
11,06/01,"['OTHER TRANSFER FEE', 'BPS128']",0.1,Debit,139905.24,False,False
12,06/01,"['TR IBG', 'BPS128', 'PKG GATEWAY SDN BHD']",6959.0,Debit,132946.24,False,False
13,06/01,"['OTHER TRANSFER FEE', 'House Installment']",0.1,Debit,132916.14,False,True
14,06/01,"['TR IBG', 'House Installment', 'SIA BAN JOO']",4590.0,Debit,128356.14,False,True
15,06/01,"['OI HER TRANSFER FEE', 'AS PER SOA']",0.1,Debit,128356.04,False,False
16,06/01,"['TR IBG', 'AS PER SOA', 'TROPLAST SERVICES SD']",3058.5,Debit,125297.54,False,False
17,06/01,"['JOMPAY', '5454:210068546906 7169T3A2']",4076.5,Debit,121221.04,False,False
18,06/01,"['OTHER TRANSFER FEE', 'WA866X']",0.1,Debit,121220.94,False,False
19,06/01,"['TR IBG', 'WA866X', 'SIA TONG SEA']",1548.0,Debit,119672.94,False,False
20,06/01,"['OTHFR TRANSFER FEE', 'TC088']",0.1,Debit,119672.84,False,False
21,06/01,"['TR IBG', 'TC088', 'WESTPORTS MALAYSIA S']",37463.0,Debit,82209.84,False,False
22,06/01,"['JOMPAY', '5454:210049254005 7166FXWO']",6093.09,Debit,76116.75,False,False
23,06/01,"['JOMPAY', '9928:23819907 71671YHS']",132.0,Debit,75984.75,False,False
24,06/01,"['OTHER TRANSFER FEE', 'INV00018']",0.1,Debit,75984.65,False,False
25,06/01,"['TR IBG', 'INV000 18', 'ABM INDUSTRY SDN BHD']",10000.0,Debit,65984.65,False,False
26,06/01,"['OTHER TRANSFER FEE', 'WB6768C']",0.1,Debit,65984.55,False,False
27,06/01,"['TR IBG', 'WB6768C', 'SIA BAN JOO']",3384.0,Debit,62600.55,False,False
28,06/01,"['-PAYMENT', 'FPXPAY PERTUBUHAN', 'KESELAMATAN SOSIAL', '20200106141646_58393']",196.8,Debit,62403.75,False,False
29,06/01,"['I-PAYMENT', 'FPXPAY KUMPULAN WANG SIMPANAN', 'PEKERJA', '0120200021130966C717']",6121.0,Debit,56282.74,False,True
30,06/01,"['-PAYMENT', 'FPXPAY LEMBAGA HASIL DALAM', 'NEGERI E-C', 'CP2001004999']",3843.6,Debit,52639.15,False,True
31,06/01,"['I-PAYMENT', 'FPXPAY PERTUBUHAN', 'KESELAMATAN SOSIAL', '20200106141817_24064']",35.0,Debit,52604.15,False,False
32,07/01,"['TR TO C/A', 'MODE TRANSPORT SERV', 'AS PER SOA']",4206.77,Debit,48397.38,False,False
33,07/01,"['OTHER TRANSFER FEE', '2633445651 Deposit 2633445650', 'Deposit']",0.1,Debit,48397.28,False,False
34,07/01,"['TR IBG', '2693445651 Deposit', '2633445650 Deposit', 'ORIENT OVERSEAS CONT']",4000.0,Debit,44397.28,False,False
35,07/01,"['OTHER TRANSFER FEE', '2633445651', '2633445650']",0.1,Debit,44397.18,False,False
36,07/01,"['TR IBG', '2633445651', '2633445650', 'ORIENT OVERSEAS CONT']",7486.0,Debit,36911.18,False,False
37,07/01,"['OTHER TRANSFER FEE', 'HANDLING']",0.1,Debit,36911.08,False,False
38,07/01,"['TR IBG', 'HANDLING', 'TAN TIAM CHAI']",4100.0,Debit,32811.08,False,False
39,08/01,"['AUTOPAY CR', 'BIZ BOOSTER NB(NOV19)', 'BIZ BOOSTFR NR(NOV19', 'CIMB BANK BERHAD - C']",242.49,Credit,33053.57,False,False
40,98/01,"['IBG CREDIT', '20062473', '7960', 'EVERGREEN', 'EVERGREEN MARINE COR', 'EVERGREEN MARINE COR']",6000.0,Credit,39053.57,False,False
41,08/01,['CLRG CHQ DR'],1674.0,Debit,37379.57,False,False
42,08/01,['CHQ PROCESSING FEE'],0.5,Debit,37379.07,False,False
43,10/01,['CLRG CHQ DR'],2652.0,Debit,34727.07,False,False
44,10/01,['CHQ PROCESSING FEE'],0.5,Debit,34726.57,False,False
45,14/01,"['OTHER TRANSFER FEE', 'DEPOSIT', 'SAOV35126900']",0.1,Debit,34726.47,False,False
46,14/01,"['TR IBG', 'DEPOSIT', 'SAOV35126900', 'OCEAN NETWORK EXPRES']",2000.0,Debit,32726.47,False,False
47,14/01,"['OTHER TRANSFER FEE', 'A16223', 'A16213']",0.1,Debit,32726.37,False,False
