,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,29/04,"['INSTANT TRANSFER', 'Fund transfer', 'GOOI CHIA YEE']",51.8,,13883.49,False,False
1,29/04,"['INSTANT TRANSFER', 'huikie_2206', 'CHANG HUI KIE']",29.9,Debit,13831.69,False,True
2,29/04,"['IBG CREDIT', 'FUND TRANSFER', 'FUND TRANSFER', 'LEE SAY WAN']",149.5,Debit,13801.79,False,True
3,29/04,"['INSTANT TRANSFER', 'choyshan', 'YAP CHOY SHAN']",42.0,Debit,13652.29,False,True
4,29/04,"['INSTANT TRANSFER', 'meiixinn18', 'LIM MEI XIN']",29.9,Debit,13610.29,False,True
5,29/04,"['INSTANT TRANSFER', 'hoiyan1225', 'POH HOI YAN']",79.9,Debit,13580.39,False,True
6,29/04,"['INSTANT TRANSFER', 'Savings', 'KAO SU QI']",119.6,Debit,13500.49,False,True
7,29/04,"['INSTANT TRANSFER', 'CHEAH JIA CHIE']",64.9,Debit,13380.89,False,True
8,29/04,"['IBG CREDIT', 'PURP/13110/GOODS AND', 'PURP/13110/GOODS AND', 'LEE JIA YEE']",281.5,Debit,13315.99,False,True
9,29/04,"['INSTANT TRANSFER', 'carmanspy', 'SOON PEI YOKE']",44.0,Debit,13034.49,False,True
10,29/04,"['INSTANT TRANSFER', 'aileeeelia', 'SEE AI LEE']",59.8,Debit,12990.49,False,True
11,29/04,"['INSTANT TRANSFER', 'tay 508', 'TAY MI XIAO']",29.9,Debit,12930.69,False,True
12,28/04,"['INSTANT TRANSFER', 'ah_theng99', 'CHUA YEE THENG']",35.0,Debit,12900.79,False,True
13,28/04,"['I-FUNDS TR FROM SA', 'Insta: yhiiiiiiee', 'WONG YUAN HUEY']",35.0,Debit,12865.79,False,False
14,28/04,"['INSTANT TRANSFER', 'Sorry', 'CHOO JIA WEI']",29.9,Debit,12830.79,False,True
15,28/04,"['INSTANT TRANSFER', 'Bill Payment', 'CHONG JING TOONG']",59.8,Debit,12800.89,False,True
16,28/04,"['INSTANT TRANSFER', 'Jocelynthyyy', 'JOCELYN TAN HUI YING']",61.9,Debit,12741.09,False,True
17,28/04,"['INSTANT TRANSFER', 'Lim Xin Ru', 'LIM CHING YUEN']",29.9,Debit,12679.19,False,True
18,28/04,"['I-FUNDS TR FROM SA', 'joey chu', 'CHU WAI YEE']",29.9,Debit,12649.29,False,False
19,27/04,"['INSTANT TRANSFER', 'huixin', 'SAM HUI XIN']",94.8,Debit,12619.39,False,True
20,27/04,"['INSTANT TRANSFER', 'Fund transfer', 'ONG KIAN BOON']",89.7,Debit,12524.59,False,True
21,27/04,"['INSTANT TRANSFER', 'cloth', 'CHONG MING KIEN']",32.0,Debit,12434.89,False,True
22,27/04,"['INSTANT TRANSFER', 'Clothes', 'FAM KAH HUEI']",139.6,Debit,12402.89,False,True
23,27/04,"['INSTANT TRANSFER', 'Lim Xin Ru', 'LIM CHING YUEN']",59.8,Debit,12263.29,False,True
24,27/04,"['INSTANT TRANSFER', 'Sjuan93', 'LIM SAU KIAN']",21.9,Debit,12203.49,False,True
25,26/04,"['INSTANT TRANSFER', 'Vintage top', 'TAN TZE HUI']",40.0,Debit,12181.59,False,True
26,26/04,"['INSTANT TRANSFER', 'Fund transfer', 'NICOLE YOONG HUAI LI']",140.9,Debit,12141.59,False,True
27,26/04,"['INSTANT TRANSFER', 'Elai_ne_', 'TAN PEI YI']",8.0,Debit,12000.69,False,True
28,26/04,"['INSTANT TRANSFER', 'reyna.yin833', 'TEH TSAI YIN']",179.4,Debit,11992.69,False,True
29,26/04,"['INSTANT TRANSFER', 'elai_ne_', 'TAN PEI YI']",32.0,Debit,11813.29,False,True
30,26/04,"['INSTANT TRANSFER', 'qianniinii', 'LOOI QIAN NI']",59.8,Debit,11781.29,False,True
31,26/04,"['INSTANT TRANSFER', 'aileeeelia', 'SEE AI LEE']",32.0,Debit,11721.49,False,True
32,26/04,"['I-FUNDS TR FROM SA', 'ig-victoriamxy', 'MAK XIN YII']",29.9,Debit,11689.49,False,True
33,26/04,"['INSTANT TRANSFER', 'Ng Sy Hui', 'MICHELLE LING KING H']",36.0,Debit,11659.59,False,True
34,26/04,"['INSTANT TRANSFER', 'Fund transfer', 'YONG SHIN YEE']",58.0,Debit,11623.59,False,True
35,25/04,"['I-FUNDS TR FROM SA', 'Jesslynyonggg -insta', 'JESSLYN YONG ZHI CHY']",144.8,Debit,11565.59,False,True
36,25/04,"['INSTANT TRANSFER', 'Fund transfer', 'HUI KA MEI']",59.8,Debit,11420.79,False,True
37,25/04,"['I-FUNDS TR FROM SA', 'Insta:gwenxx_24', 'GWENDOLYN LIM ZHI HU']",62.0,Debit,11360.99,False,True
38,25/04,"['INSTANT TRANSFER', 'Michelle Ling', 'MICHELLE LING KING H']",136.8,Debit,11298.99,False,True
39,25/04,"['INSTANT TRANSFER', 'Bill Payment', 'WONG KHER YIOW']",44.0,Debit,11162.19,False,True
40,25/04,"['INSTANT TRANSFER', 'Fund transfer', 'SIOW SU-IANNE']",88.0,Debit,11118.19,False,True
41,25/04,"['INSTANT TRANSFER', 'Shuqing_loh', 'LOH SHU QING']",52.0,Debit,11030.19,False,True
42,25/04,"['INSTANT TRANSFER', 'elai_ne_', 'TAN PEI YI']",70.0,Debit,10978.19,False,True
43,25/04,"['INSTANT TRANSFER', 'simyee.tan', 'TAN KAI TEAN']",59.8,Debit,10908.19,False,True
44,25/04,"['INSTANT TRANSFER', 'Fund transfer', 'LEONG KAH MUN']",26.0,Debit,10848.39,False,True
45,25/04,"['INSTANT TRANSFER', 'ruoqilee', 'LEE RUO QI']",59.8,Debit,10822.39,False,True
46,25/04,"['I-FUNDS TR FROM SA', 'ig:0526.26.01', 'LIEU XIN TONG']",8.0,Debit,10762.59,False,True
47,25/04,"['I-FUNDS TR FROM SA', 'ig:0526.26.01', 'LIEU XIN TONG']",26.0,Debit,10754.59,False,True
48,25/04,"['INSTANT TRANSFER', 'CLOTH', 'CHONG MING KIEN']",44.0,Debit,10728.59,False,True
49,25/04,"['I-FUNDS TR FROM SA', 'yingying', 'NG YING YING']",174.7,Debit,10684.59,False,True
50,25/04,"['I-FUNDS TR FROM SA', 'joey chu', 'CHU WAI YEE']",44.0,Debit,10509.89,False,True
51,25/04,"['INSTANT TRANSFER', 'Jocelynthyyy', 'JOCELYN TAN HUI YING']",111.8,Debit,10465.89,False,True
52,24/04,"['INSTANT TRANSFER', 'Fund transfer', 'CHONG SI WEI']",55.9,Debit,10354.09,False,True
53,24/04,"['INSTANT TRANSFER', 'choyshan', 'YAP CHOY SHAN']",52.0,Debit,10298.19,False,True
54,24/04,"['INSTANT TRANSFER', 'dezumondo', 'SONG PEI XIN']",44.0,Debit,10246.19,False,True
