,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,31/12,"['I-FUNDS TR FROM SA', 'adeline', 'YEONG SIOK YIN']",123.8,,9258.01,False,False
1,31/12,"['I-FUNDS TR FROM SA', 'yanfei610', 'CHAN YAN FEI']",79.9,Debit,9134.21,False,True
2,30/12,"['INSTANT TRANSFER', 'ig XueYingggggggg', 'WONG SHEK YEN']",50.9,Debit,9054.31,False,True
3,30/12,"['I-FUNDS TR FROM SA', 'SUNIE A/P AH CHAI']",97.8,Debit,9003.41,False,True
4,30/12,"['I-FUNDS TR FROM SA', 'Susan_foo99', 'FOO SIANG SIANG']",59.8,Debit,8905.61,False,True
5,30/12,"['INSTANT TRANSFER', 'Wenyi', 'CHRISTIE TAN MUN YEE']",123.8,Debit,8845.81,False,True
6,30/12,"['IBG CREDIT', 'BIGU BRA BLACK N RED', 'BIGU BRA BLACK N RED', 'GEOW SIN NGOH']",40.0,Debit,8722.01,False,True
7,29/12,"['INSTANT TRANSFER', 'Qianru Chow FB', 'CHOW CHINQ RU']",107.8,Debit,8682.01,False,True
8,29/12,"['INSTANT TRANSFER', '00.nonamelol or michelle yap in fb', 'YAP CHE ENG']",139.7,Debit,8574.21,False,True
9,29/12,"['I-FUNDS TR FROM SA', 'eugenia chung', 'EUGENIA CHUNG SUAN C']",119.8,Debit,8434.51,False,True
10,29/12,"['INSTANT TRANSFER', 'Insta - 04_11111', 'LIN XIEN YE']",67.9,Debit,8314.71,False,True
11,28/12,"['INSTANT TRANSFER', 'baobaokor ins', 'KOR POH CHET']",29.9,Debit,8246.81,False,True
12,28/12,"['INSTANT TRANSFER', 'Myaeatlipstick', 'JOHN LEE KWOK TSEN']",158.6,Debit,8216.91,False,True
13,26/12,"['INSTANT TRANSFER', 'insta name Tenshi', 'LEE YAH HUAY']",47.9,Debit,8058.31,False,True
14,25/12,"['I-FUNDS TR FROM SA', 'Dezumondo Fashion s/', 'VOON AI HUI']",67.8,Debit,8010.41,False,True
15,25/12,"['INSTANT TRANSFER', 'VivianQuek', 'VIVIAN QUEK QIU YI']",79.8,Debit,7942.61,False,True
16,24/12,"['I-FUNDS TR FROM SA', 'ynnteoh', 'TEOH PEI YIN']",31.0,Debit,7862.81,False,True
17,24/12,"['INSTANT TRANSFER', 'DezuMondo', 'CHUA CHAO EN']",103.8,Debit,7831.81,False,True
18,23/12,"['INSTANT TRANSFER', 'Fund transfer', 'LAY CHAI CHING']",3720.0,Debit,7728.01,False,True
19,23/12,"['INSTANT TRANSFER', 'jingyiii', 'WONG JING YI']",47.9,Debit,4008.01,False,True
20,21/12,"['INSTANT TRANSFER', 'JESSICA CXY', 'JESSICA CHUA XUE YI']",51.9,Debit,3960.11,False,True
21,19/12,"['INSTANT TRANSFER', 'GRACE TAN', 'TAN CHUNG RANG']",89.7,Debit,3908.21,False,True
22,19/12,"['INSTANT TRANSFER', 'Fund transfer', 'TAN KAI WEN']",43.9,Debit,3818.51,False,True
23,19/12,"['I-FUNDS TR FROM SA', 'eugenia chung', 'EUGENIA CHUNG SUAN C']",107.7,Debit,3774.61,False,True
24,19/12,"['I-FUNDS TR FROM SA', 'anrou', 'ANGELINE GOH']",83.8,Debit,3666.91,False,True
25,16/12,['CDM CASH DEPOSIT'],50.0,Debit,3583.11,False,True
26,15/12,"['I-FUNDS TR FROM SA', 'yy_yennn', 'CHAN TENG YEN']",177.7,Debit,3533.11,False,True
27,15/12,"['INSTANT TRANSFER', 'Gracemin_0107', 'TEI HUEY MIN']",105.8,Debit,3355.41,False,True
