,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,29/02,"['INSTANT TRANSFER', 'carmanspy', 'SOON PEI YOKE']",62.7,,1574.01,False,False
1,29/02,"['INSTANT TRANSFER', 'Dezumodo Fashion', 'WONG KAR LOON']",32.8,Debit,1511.31,False,True
2,29/02,"['INSTANT TRANSFER', 'peiying', 'TING PUI YING']",102.7,Debit,1478.51,False,True
3,29/02,"['I-FUNDS TR FROM SA', 'jeffeniejeff', 'CHUA YIP MAY']",32.8,Debit,1375.81,False,True
4,29/02,"['ATM MEPS IBFT FROM OFI', 'INSTANT TRANSFER', 'LEE HANG HUNG']",55.0,Debit,1343.01,False,True
5,29/02,"['INSTANT TRANSFER', 'Fund transfer', 'AW WING LAM']",34.8,Debit,1288.01,False,True
6,29/02,"['INSTANT TRANSFER', 'Fund transfer', 'ANG WEN HUI']",87.6,Debit,1253.21,False,True
7,29/02,"['INSTANT TRANSFER', 'Dezumundo', 'WONG HUNG NGIIK']",64.9,Debit,1165.61,False,True
8,28/02,['CHQ PROCESSING FEE'],0.5,Debit,1100.71,False,True
9,28/02,"['INSTANT TRANSFER', 'shirt', 'WEE AAI NEE']",93.0,Credit,1101.21,False,True
10,28/02,"['INSTANT TRANSFER', 'Fund transfer', 'TAN UI YIN']",74.8,Debit,1008.21,False,True
11,28/02,['CASH CHQ DR'],15000.0,Debit,933.41,False,True
12,28/02,"['I-FUNDS TR FROM SA', 'yanfei', 'CHAN YAN FEI']",119.7,Credit,15933.41,False,True
13,27/02,"['I-FUNDS TR FROM SA', 'julianachoo', 'JULIANA CHOO CHIA YE']",68.8,Debit,15813.71,False,True
14,27/02,"['INSTANT TRANSFER', 'Bill Payment', 'CHONG JING TOONG']",107.8,Debit,15744.91,False,True
15,26/02,"['INSTANT TRANSFER', 'Pay for 3rd Party', 'CHAN MUN CHUNG']",184.5,Debit,15637.11,False,True
16,26/02,"['INSTANT TRANSFER', 'Jovy', 'NG JING MEI']",102.8,Debit,15452.61,False,True
17,26/02,"['INSTANT TRANSFER', 'shinghuiiii', 'TEE SHING HUI']",100.7,Debit,15349.81,False,True
18,26/02,"['INSTANT TRANSFER', 'jinn4488', 'LIM SHUN JINN']",58.0,Debit,15249.11,False,True
19,25/02,"['I-FUNDS TR FROM SA', 'eugenia chung', 'EUGENIA CHUNG SUAN C']",151.5,Debit,15191.11,False,True
20,25/02,"['INSTANT TRANSFER', 'aileeeelia', 'SEE AI LEE']",29.9,Debit,15039.61,False,True
21,25/02,"['I-FUNDS TR FROM SA', 'Zining', 'CHONG CHEE NING']",100.0,Debit,15009.71,False,True
