,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,31/03,"['I-FUNDS TR FROM SA', 'Melville & laurel', 'WONG SOOK CHIAN']",122.2,,6644.19,False,False
1,29/03,"['INSTANT TRANSFER', 'trammie', 'ONG KEAT CHONG']",95.0,Debit,6521.99,False,True
2,27/03,"['I-FUNDS TR FROM SA', 'chulinggg_', 'HONG CHU LING']",53.8,Debit,6426.99,False,True
3,26/03,"['IBG CREDIT', '__ANDRREEAA_', '__ANDRREEAA_', 'ANDREA QUEK MENG LI']",104.2,Debit,6373.19,False,True
4,25/03,"['INSTANT TRANSFER', 'Peiyu', 'WONG PEI YU']",87.9,Debit,6268.99,False,True
5,24/03,"['I-FUNDS TR FROM SA', 'Dezu Mondo', 'LIOW WEI JIA']",140.1,Debit,6181.09,False,True
6,24/03,"['INSTANT TRANSFER', 'pjiun_99', 'HOW PEI JIUN']",98.8,Debit,6040.99,False,True
7,24/03,"['INSTANT TRANSFER', 'k.ching12', 'HENG KEI CHING']",107.8,Debit,5942.19,False,True
8,24/03,"['INSTANT TRANSFER', 'Xiiao xii', 'CHUAN PEI YIN']",50.3,Debit,5834.39,False,True
9,24/03,"['INSTANT TRANSFER', 'huikie_2206', 'CHANG HUI KIE']",71.9,Debit,5784.09,False,True
10,24/03,"['INSTANT TRANSFER', 'Fund transfer', 'ANG YAN SHUANG']",43.9,Debit,5712.19,False,True
11,23/03,"['INSTANT TRANSFER', 'Xiiao xii', 'CHUAN PEI YIN']",71.9,Debit,5668.29,False,True
12,23/03,"['I-FUNDS TR FROM SA', 'aileeeelia', 'SEE AI LEE']",71.9,Debit,5596.39,False,False
13,23/03,"['I-FUNDS TR FROM SA', '__urgh', 'LEE CARMEN']",68.2,Debit,5524.49,False,True
14,23/03,"['I-FUNDS TR FROM SA', 'poslaju', 'WONG JIA NING']",8.0,Debit,5456.29,False,True
15,23/03,"['INSTANT TRANSFER', '_a.i.l.i.n', 'LIM AI LIN']",62.8,Debit,5448.29,False,True
16,23/03,"['INSTANT TRANSFER', 'Fund transfer', 'POH BOON KIAT']",68.2,Debit,5385.49,False,True
17,22/03,"['INSTANT TRANSFER', 'Fund transfer', 'AMY LOW LEE HSA']",89.7,Debit,5317.29,False,True
18,22/03,"['I-FUNDS TR FROM SA', 'aileeeelia', 'SEE AI LEE']",86.2,Debit,5227.59,False,True
