,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,31/05,"['I-FUNDS TR FROM SA', 'vivian_vivy_', 'KOK ZHI LENG']",55.9,,2662.79,False,False
1,31/05,"['I-FUNDS TR FROM SA', 'Insta: yhiiiiiiee', 'WONG YUAN HUEY']",65.8,Debit,2606.89,False,True
2,31/05,"['INSTANT TRANSFER', 'meaganlim', 'LIM PUI SAN']",299.2,Debit,2541.09,False,True
3,31/05,"['INSTANT TRANSFER', 'Bill Payment', 'CHONG JING TOONG']",99.8,Debit,2241.89,False,True
4,31/05,"['INSTANT TRANSFER', 'zyingg', 'LOH ZI YING']",65.8,Debit,2142.09,False,True
5,30/05,"['INSTANT TRANSFER', 'yukiiic', 'YUKI CHONG']",4.0,Debit,2076.29,False,True
6,29/05,"['INSTANT TRANSFER', 'yukiiic', 'YUKI CHONG']",26.0,Debit,2072.29,False,True
7,29/05,"['INSTANT TRANSFER', 'meiixinn_18', 'LIM MEI XIN']",93.9,Debit,2046.29,False,True
8,29/05,"['I-FUNDS TR FROM SA', 'xuan', 'LIEW JING XUAN']",18.0,Debit,1952.39,False,True
9,28/05,"['IBG CREDIT', 'PURP/21201/PERSONAL', 'PURP/21201/PERSONAL', 'LEE JIA YEE']",53.1,Debit,1934.39,False,True
10,28/05,"['I-FUNDS TR FROM SA', 'joey chu', 'CHU WAI YEE']",26.0,Debit,1881.29,False,True
11,27/05,"['INSTANT TRANSFER', 'zt99925', 'CHAN ZHU TENG']",67.9,Debit,1855.29,False,True
12,27/05,"['I-FUNDS TR FROM SA', 'KOH HUI WEN', 'KOH HUI WEN']",52.0,Debit,1787.39,False,True
13,27/05,"['INSTANT TRANSFER', 'Ying3533', 'TAN YIN YIM']",199.8,Debit,1735.39,False,True
14,26/05,"['I-FUNDS TR FROM SA', 'ig-victoriamxy', 'MAK XIN YII']",44.0,Debit,1535.59,False,True
15,25/05,"['I-FUNDS TR FROM SA', 'Mandy', 'MANDY SIM MUN YEE']",26.0,Debit,1491.59,False,True
16,25/05,"['INSTANT TRANSFER', 'Top', 'CHOO JIA WEI']",67.9,Debit,1465.59,False,True
17,25/05,"['INSTANT TRANSFER', 'ig jinny_57', 'TAN TUAN KIM']",40.0,Debit,1397.69,False,True
18,24/05,"['I-FUNDS TR FROM SA', 'Joeychu', 'CHU WAI YEE']",56.0,Debit,1357.69,False,True
19,23/05,"['I-FUNDS TR FROM SA', 'weiwei hah', 'HAH FUNG WEI']",52.0,Debit,1301.69,False,True
20,23/05,"['I-FUNDS TR FROM SA', 'carrotmilk___', 'LEONG MUN YEE']",73.9,Debit,1249.69,False,True
21,23/05,"['I-FUNDS TR FROM SA', 'phei520', 'JESSLYN LIM XIN PHEI']",29.9,Debit,1175.79,False,True
22,23/05,"['INSTANT TRANSFER', 'yukiiiic__', 'YUKI CHONG']",56.0,Debit,1145.89,False,True
