,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,0.37,False,False
1,02/04,"['TRANSFER TO A/C', 'MKBK PRESTIGIOUS EM*', '3rd Party Transfer', 'MBB CT-Mkbk']",7001.0,Credit,7001.37,False,False
2,03/04,"['PAYMENT FR A/C', 'Y20200000162100 *', 'PTPTN-LOAN ISLAMIC', '2004031318040839']",5148.2,Debit,1853.17,False,False
3,03/04,"['TRANSFER FR A/C', 'NURUL NAFISAH BINTI*', 'Harraz Mac 202']",200.0,Debit,1653.17,False,False
4,03/04,"['TRANSFER FR A/C', 'NOR SHAFINA BINTI R*', 'Kek']",187.0,Debit,1466.17,False,False
5,03/04,"['TRANSFER FR A/C', 'RONDA NIAGA RESOURC*', '1450']",1450.0,Debit,16.17,False,False
6,04/04,"['TRANSFER TO A/C', 'RONDA NIAGA RESOURC*', '1745']",1745.0,Credit,1761.17,False,False
7,08/04,"['TRANSFER FR A/C', 'MOFF COLLECTION *', 'Set Baju Raya']",720.0,Debit,1041.17,False,False
8,15/04,"['PAYMENT FR A/C', 'MAXIS HOTLINK', 'PREPAID RELOAD', '01124182589']",5.0,Debit,1036.17,False,False
9,15/04,"['PAYMENT FR A/C', 'MAXIS HOTLINK', 'PREPAID RELOAD', '01124182588']",5.0,Debit,1031.17,False,False
10,15/04,"['PAYMENT FR A/C', 'MAXIS HOTLINK', 'PREPAID RELOAD', '0175213144']",5.0,Debit,1026.17,False,False
11,15/04,"['PAYMENT FR A/C', 'CELCOM AIRTIME', 'PREPAID RELOAD', '0194600234']",5.0,Debit,1021.17,False,False
12,15/04,"['PAYMENT FR A/C', 'MAXIS HOTLINK', 'PREPAID RELOAD', '0174080546']",5.0,Debit,1016.17,False,False
13,15/04,['CDM CASH DEPOSIT'],1000.0,Credit,2016.17,False,False
14,18/04,"['TRANSFER FR A/C', 'MOFF COLLECTION *', 'Baju Raya']",50.0,Debit,1966.17,False,False
15,18/04,"['TRANSFER FR A/C', 'NOR ATIQAH BINTI MD*', 'Kain']",41.0,Debit,1925.17,False,False
16,19/04,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '200']",200.0,Debit,1725.17,False,False
17,20/04,"['TRANSFER FR A/C', 'ROSMAWATI BINTI YAA*', 'Noxxa']",180.0,Debit,1545.17,False,False
18,21/04,"['TRANSFER FR A/C', 'MOHD FAZLI BIN ALAU*', 'Kak za']",100.0,Debit,1445.17,False,False
19,21/04,"['PAYMENT FR A/C', 'T004565505200', 'SHOPEE MALAYSIA 01', '2004212010140634']",127.9,Debit,1317.27,False,False
20,22/04,"['TRANSFER FR A/C', 'NUR FARIHAH BINTI R*', 'Ayah Mak']",1000.0,Debit,317.27,False,False
21,22/04,"['PAYMENT FR A/C', 'MAXIS HOTLINK', 'PREPAID RELOAD', '01124182589']",5.0,Debit,312.27,False,False
22,22/04,"['PAYMENT FR A/C', 'MAXIS HOTLINK', 'PREPAID RELOAD', '01124182588']",5.0,Debit,307.27,False,False
23,22/04,"['PAYMENT FR A/C', 'MAXIS HOTLINK', 'PREPAID RELOAD', '0175213144']",5.0,Debit,302.27,False,False
24,22/04,"['PAYMENT FR A/C', 'CELCOM AIRTIME', 'PREPAID RELOAD', '0194600234']",5.0,Debit,297.27,False,False
25,22/04,"['PAYMENT FR A/C', 'MAXIS HOTLINK', 'PREPAID RELOAD', '0174080546']",5.0,Debit,292.27,False,False
26,23/04,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '100']",100.0,Debit,192.27,False,False
27,25/04,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '50']",50.0,Debit,142.27,False,False
28,26/04,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '140']",140.0,Debit,2.27,False,False
29,27/04,"['TRANSFER TO A/C', 'SITI ROHAIDA BINTI *', 'Home', 'MBB CT-']",1900.0,Credit,1902.27,False,False
30,28/04,"['TRANSFER TO A/C', 'RONDA NIAGA RESOURC*', 'Mkbk']",1833.0,Credit,3735.27,False,False
31,28/04,"['PAYMENT FR A/C', 'T005296996400', 'SHOPEE MALAYSIA 01', '2004281254060646']",134.04,Debit,3601.23,False,False
32,28/04,"['PAYMENT FR A/C', 'T005307648500', 'SHOPEE MALAYSIA 01', '2004281442130361']",23.74,Debit,3577.49,False,False
33,28/04,"['PAYMENT FR A/C', '229733524', 'SHOPEE TOP UP', '2004281541110457']",66.68,Debit,3510.81,False,False
34,28/04,"['PAYMENT FR A/C', '229849296', 'SHOPEE MOBILE MALAYS', '2004281740290300']",20.99,Debit,3489.82,False,False
35,28/04,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '1900']",1900.0,Debit,1589.82,False,False
36,29/04,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '100']",100.0,Debit,1489.82,False,False
37,30/04,['DIVIDEND PAID'],0.17,Credit,1489.99,False,False
38,,['ENDING BALANCE'],,,1489.99,False,False
39,,['LEDGER BALANCE'],,,1489.99,False,False
40,,['TOTAL DEBIT'],,,11989.55,False,False
41,,['TOTAL CREDIT'],,,13479.17,False,False
42,,['PROFIT OUTSTANDING'],,,0.0,False,False
