,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,2.73,False,False
1,01/12,"['TRANSFER TO A/C', 'KUDRAT BAKTI NIAGA *', '3rd Party Transfer', 'MBB CT-Payment']",19347.0,Credit,19349.73,False,False
2,01/12,"['TRANSFER FR A/C', 'RONDA NIAGA RESOURC*', '19349']",19349.0,Debit,0.73,False,False
3,01/12,"['TRANSFER TO A/C', 'MKBK PRESTIGIOUS EM*', '3rd Party Transfer', 'MBB CT-700']",700.0,Credit,700.73,False,False
4,01/12,"['TRANSFER FR A/C', 'MUHAMMAD FAUZI BIN *', 'GAJI NOVEMBER']",671.75,Debit,28.98,False,False
5,02/12,"['TRANSFER TO A/C', 'MKBK PRESTIGIOUS EM*', '3rd Party Transfer', 'MBB CT-4500']",4500.0,Credit,4528.98,False,False
6,02/12,"['TRANSFER FR A/C', 'SEK MEN KEBANGSAAN *', 'DEPOSIT TNB SADA', 'MBB CT']",2000.0,Debit,2528.98,False,False
7,02/12,"['TRANSFER FR A/C', 'SEK MEN KEBANGSAAN *', 'DEPOSIT KANTIN', 'MBB CT']",2400.0,Debit,128.98,False,False
8,04/12,"['TRANSFER TO A/C', 'KUDRAT BAKTI NIAGA *', '3rd Party Transfer', 'MBB CT-payment']",30000.0,Credit,30128.98,False,False
9,04/12,"['TRANSFER FR A/C', 'SP RECYCLE INDUSTRY*', ""SEWA ALATAN DIS. '19"", 'MBB CT']",1160.0,Debit,28968.98,False,False
10,04/12,"['TRANSFER FR A/C', 'NSZ ARKED ENT', ""GAJI NOV. '19 DLL"", 'MBB CT']",28283.25,Debit,685.73,False,False
11,04/12,"['TRANSFER TO A/C', 'RONDA NIAGA RESOURC*', '1980']",1980.0,Credit,2665.73,False,False
12,05/12,"['TRANSFER FR A/C', 'ROZIYANI BINTI MOHA*', ""KUIH 2ND HALF NOV'19"", 'MBB CT']",963.0,Debit,1702.73,False,False
13,05/12,"['TRANSFER FR A/C', 'SNHF SWEET ENTERPRI*', 'ROTI 2ND HALF']",427.9,Debit,1274.83,False,False
14,05/12,"['TRANSFER TO A/C', 'MOHD KHAIRI BIN KAR*', '2650']",2650.0,Credit,3924.83,False,False
15,05/12,"['TRANSFER FR A/C', 'MKBK PRESTIGI', '3920', 'MBB CT']",3920.0,Debit,4.83,False,False
16,05/12,"['TRANSFER TO A/C', 'KUDRAT BAKTI NIAGA *', '3rd Party Transfer', 'MBB CT-payment']",30000.0,Credit,30004.83,False,False
17,05/12,"['TRANSFER FR A/C', 'MUHAMMAD FAUZI BIN *', 'SMKCT SHAM BAD']",300.0,Debit,29704.83,False,False
18,05/12,"['TRANSFER FR A/C', 'JAMALIAH BINTI SAAD*', 'GAJI NOVEMBER']",606.65,Debit,29098.18,False,False
19,05/12,"['TRANSFER FR A/C', 'NOOR HAFIZAH BINTI *', 'GAJI NOVEMBER 2019', 'MBB CT']",1202.81,Debit,27895.37,False,False
20,05/12,"['TRANSFER FR A/C', 'MANSOR BIN ABU', 'GAJI NOVEMBER 2019', 'MBB CT']",824.8,Debit,27070.57,False,False
21,05/12,"['TRANSFER FR A/C', 'PUAN ZAHAWIYAH BINT*', 'GAJI NOVEMBER 2019', 'MBB CT']",564.25,Debit,26506.32,False,False
22,05/12,"['TRANSFER FR A/C', 'PUAN ROZIAH BINTI I*', 'GAJI NOVEMBER 2019', 'MBB CT']",416.65,Debit,26089.67,False,False
23,05/12,"['TRANSFER FR A/C', 'CHE NORMA BINTI AWA*', 'GAJI NOVEMBER 2019', 'MBB CT']",550.25,Debit,25539.42,False,False
24,05/12,"['TRANSFER FR A/C', 'FAIZAH BT OMAR', 'GAJI NOVEMBER']",120.0,Debit,25419.42,False,False
25,05/12,"['TRANSFER FR A/C', 'SITI MARIANI BINTI *', 'GAJI NOVEMBER']",335.55,Debit,25083.87,False,False
26,05/12,"['TRANSFER FR A/C', 'NORLIZA BINTI RASHI*', 'GAJI NOVEMBER 2019', 'MBB CT']",2031.65,Debit,23052.22,False,False
27,05/12,"['TRANSFER FR A/C', 'CHE FATIMAH BINTI C*', 'GAJI NOVEMBER 2019', 'MBB CT']",455.0,Debit,22597.22,False,False
28,05/12,"['TRANSFER FR A/C', ""MOHAMMAD SYAFA'AT B*"", 'GAJI NOVEMBER']",871.65,Debit,21725.57,False,False
29,06/12,"['TRANSFER TO A/C', 'RONDA NIAGA RESOURC*', '28000']",28000.0,Credit,49725.57,False,False
30,06/12,"['TRANSFER FR A/C', 'NSZ ARKED ENT', 'PETTY CASH', 'MBB CT']",100.0,Debit,49625.57,False,False
31,06/12,"['TRANSFER FR A/C', 'JEYA LALITHA A/P S *', 'GAJI NOVEMBER']",471.65,Debit,49153.92,False,False
32,06/12,"['TRANSFER FR A/C', 'PUSPA LATH A/P TANG*', 'GAJI NOVEMBER']",471.65,Debit,48682.27,False,False
33,06/12,"['TRANSFER FR A/C', 'MEENATCHI A/P SUPPI*', 'GAJI NOVEMBER']",471.65,Debit,48210.62,False,False
34,06/12,"['TRANSFER FR A/C', 'KRISHNAVENI A', 'GAJI NOVEMBER 2019', 'MBB CT']",671.65,Debit,47538.97,False,False
35,06/12,"['TRANSFER FR A/C', 'MOGANA A/P PERMALSA*', 'GAJI NOVEMBER 2019', 'MBB CT']",73.32,Debit,47465.65,False,False
