,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,8299.28,False,False
1,01/02,"['TRANSFER FR A/C', 'MUE UTARA ENT', 'AYAM', 'MBB CT']",1476.7,Debit,6822.58,False,False
2,01/02,"['TRANSFER FR A/C', 'MUHAMMAD FAZIRUL BI*', 'Usaha qudrah']",5074.39,Debit,1748.19,False,False
3,01/02,"['TRANSFER FR A/C', 'JAHIYAH BINTI JAMAL*', 'TBMB', 'MBB CT']",98.0,Debit,1650.19,False,False
4,01/02,"['PAYMENT FR A/C', 'U MOBILE SDN BHD *', '1.50019216', '0199766279']",33.0,Debit,1617.19,False,False
5,01/02,"['TRANSFER FR A/C', 'MOHD RIZAL BIN CHE *', 'Plat num']",350.0,Debit,1267.19,False,False
6,01/02,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '500']",500.0,Debit,767.19,False,False
7,02/02,"['TRANSFER FR A/C', 'NORASIAH BINTI ABD *', 'IKAN 2.2.2020', 'MBB CT']",180.0,Debit,587.19,False,False
8,02/02,"['TRANSFER FR A/C', 'NIK ABDUL MUHAIMIN *', 'Barang']",70.0,Debit,517.19,False,False
9,02/02,"['TRANSFER FR A/C', 'FADZLIANA BINTI MOH*', 'Ikan 2.2.2020']",65.0,Debit,452.19,False,False
10,04/02,"['TRANSFER FR A/C', 'NORASIAH BINTI ABD *', 'IKAN', 'MBB CT']",115.0,Debit,337.19,False,False
11,04/02,"['TRANSFER TO A/C', 'MKBK PRESTIGIOUS EM*', '3rd Party Transfer', 'MBB CT-Sale']",5320.0,Credit,5657.19,False,False
12,04/02,"['TRANSFER FR A/C', 'MUE UTARA ENT', 'AYAM 02-04.02.2020', 'MBB CT']",1977.9,Debit,3679.29,False,False
13,04/02,"['TRANSFER FR A/C', 'MKBK PRESTIGI', 'PROFIT', 'MBB CT']",2154.0,Debit,1525.29,False,False
14,05/02,"['TRANSFER FR A/C', 'NURUL NAFISAH BINTI*', 'Jan 2020']",300.0,Debit,1225.29,False,False
15,05/02,"['TRANSFER FR A/C', 'PERNIAGAAN FULI JAY*', 'SEWA ALATAN 02.2020', 'MBB CT']",375.0,Debit,850.29,False,False
16,06/02,"['TRANSFER TO A/C', 'MKBK PRESTIGIOUS EM*', '3rd Party Transfer', 'MBB CT-Sewa kantin']",2000.0,Credit,2850.29,False,False
17,06/02,"['TRANSFER FR A/C', 'SEK MEN KEBANGSAAN *', 'SEWA KANTIN FEB 2020', 'MBB CT']",2400.0,Debit,450.29,False,False
18,06/02,"['TRANSFER FR A/C', 'NIK ASMIDAR BINTI A*', 'From zurairi']",100.0,Debit,350.29,False,False
19,06/02,"['TRANSFER FR A/C', 'NIK ABDUL MUHAIMIN *', 'Roti Gardenia']",150.0,Debit,200.29,False,False
20,07/02,['CASH DEPOSIT'],12509.0,Credit,12709.29,False,False
21,07/02,['CDM CASH DEPOSIT'],1350.0,Credit,14059.29,False,False
22,07/02,['CDM CASH DEPOSIT'],460.0,Credit,14519.29,False,False
23,07/02,['CDM CASH DEPOSIT'],20.0,Credit,14539.29,False,False
24,07/02,"['TRANSFER FR A/C', 'MKBK PRESTIGI', 'PROFIT', 'MBB CT']",3400.0,Debit,11139.29,False,False
25,07/02,"['TRANSFER FR A/C', 'HALIMA TOON SAADIAH*', 'Gaji 2-6.02.20']",250.0,Debit,10889.29,False,False
26,07/02,"['TRANSFER FR A/C', 'MUE UTARA ENT', 'AYAM 5-6.02.2020', 'MBB CT']",1051.2,Debit,9838.09,False,False
27,07/02,"['TRANSFER FR A/C', 'CIK NIK NOR ASHIKIN*', 'GAJI 2-6.02.2020', 'MBB CT']",409.0,Debit,9429.09,False,False
28,07/02,"['TRANSFER FR A/C', 'JAHIYAH BINTI JAMAL*', 'GAJI 2-6.02.2020', 'MBB CT']",200.0,Debit,9229.09,False,False
29,07/02,"['TRANSFER FR A/C', 'MKBK PRESTIGI', 'PROFIT', 'MBB CT']",240.0,Debit,8989.09,False,False
30,07/02,"['TRANSFER FR A/C', 'ENCIK KHAIRUL REDZU*', 'GAJI 2-6.02.2020', 'MBB CT']",300.0,Debit,8689.09,False,False
31,07/02,['CLEARING CHQ DEP'],89.3,Credit,8778.39,False,False
32,07/02,"['TRANSFER FR A/C', 'MKBK PRESTIGI', 'GAJI 2-6.02.2020', 'MBB CT']",1000.0,Debit,7778.39,False,False
