,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,4.12,False,False
1,01/01,['CDM CASH DEPOSIT'],3000.0,Credit,3004.12,False,False
2,01/01,['CDM CASH DEPOSIT'],3000.0,Credit,6004.12,False,False
3,01/01,"['TRANSFER FR A/C', 'MUE UTARA ENT', 'AYAM', 'MBB CT']",3064.4,Debit,2939.72,False,False
4,01/01,"['TRANSFER FR A/C', 'SEOW SOON LIK', 'Buah Smk Amanj']",84.6,Debit,2855.12,False,False
5,01/01,"['TRANSFER FR A/C', 'ENCIK KHAIRUL REDZU*', 'GAJI 1.1.2020', 'MBB CT']",65.0,Debit,2790.12,False,False
6,02/01,"['PAYMENT FR A/C', 'CELCOM AIRTIME', 'PREPAID RELOAD', '0194600234']",5.0,Debit,2785.12,False,False
7,02/01,"['PAYMENT FR A/C', 'MAXIS HOTLINK', 'PREPAID RELOAD', '0175213144']",5.0,Debit,2780.12,False,False
8,02/01,"['TRANSFER FR A/C', 'SEK MEN KEBANGSAAN *', 'SEWA KANTIN JAN 2020', 'MBB CT']",2400.0,Debit,380.12,False,False
9,02/01,"['TRANSFER FR A/C', 'CIK NIK NOR ASHIKIN*', 'SHIKIN', 'MBB CT']",100.0,Debit,280.12,False,False
10,02/01,"['TRANSFER FR A/C', 'ENCIK KHAIRUL REDZU*', 'GAJI 2HB', 'MBB CT']",170.0,Debit,110.12,False,False
11,02/01,"['PAYMENT FR A/C', 'MAXIS HOTLINK', 'PREPAID RELOAD', '0174080546']",5.0,Debit,105.12,False,False
12,03/01,['CASH DEPOSIT'],6621.0,Credit,6726.12,False,False
13,03/01,"['TRANSFER FR A/C', 'ARY IMPIANA ENTERPR*', 'GAS 2.1.2020', 'MBB CT']",509.0,Debit,6217.12,False,False
14,03/01,"['TRANSFER FR A/C', 'DAMIA AUTO ENTERPRI*', 'PFV4181', 'MBB CT']",240.0,Debit,5977.12,False,False
15,04/01,"['TRANSFER FR A/C', 'SITI ROHAIDA BINTI *', 'UPAH MENGASUH', 'MBB CT']",300.0,Debit,5677.12,False,False
16,04/01,"['TRANSFER FR A/C', 'PERNIAGAAN FULI JAY*', 'DEPOSIT+SEWA J']",1125.0,Debit,4552.12,False,False
17,04/01,"['TRANSFER FR A/C', 'PUAN NORASIAH BINTI*', 'BARANG']",100.0,Debit,4452.12,False,False
18,05/01,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '500']",500.0,Debit,3952.12,False,False
19,05/01,"['TRANSFER FR A/C', 'ARY IMPIANA ENTERPR*', 'GAS 4.1.2020', 'MBB CT']",321.0,Debit,3631.12,False,False
20,05/01,"['TRANSFER FR A/C', 'KHAIRUL BARIAH BINT*', 'Loan']",50.0,Debit,3581.12,False,False
21,05/01,"['TRANSFER FR A/C', 'MUHAMMAD FAZIRUL BI*', 'Syiling']",180.0,Debit,3401.12,False,False
22,06/01,"['TRANSFER FR A/C', 'GOLD PLAS ENTERPRIS*', 'PLASTIK']",475.0,Debit,2926.12,False,False
23,06/01,"['TRANSFER FR A/C', 'SEOW SOON LIK', 'Buah']",167.8,Debit,2758.32,False,False
24,07/01,"['TRANSFER FR A/C', 'GOLD PLAS ENTERPRIS*', 'Plastik']",131.0,Debit,2627.32,False,False
25,07/01,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '1500']",1500.0,Debit,1127.32,False,False
26,07/01,"['TRANSFER FR A/C', 'NURUL ASYRANI AIMAN*', 'Roti']",300.0,Debit,827.32,False,False
27,07/01,"['TRANSFER FR A/C', 'AA TEGUH SDN BHD *', 'AA TEGUH', 'MBB CT']",281.3,Debit,546.02,False,False
28,08/01,['CASH DEPOSIT'],9277.0,Credit,9823.02,False,False
29,08/01,"['TRANSFER FR A/C', 'MUE UTARA ENT', 'AYAM', 'MBB CT']",399.6,Debit,9423.42,False,False
30,08/01,"['TRANSFER FR A/C', 'MOHD RIFKIE BIN AHM*', 'IKAN', 'MBB CT']",177.0,Debit,9246.42,False,False
31,08/01,"['TRANSFER FR A/C', 'MUE UTARA ENT', 'AYAM 8.1.2020', 'MBB CT']",450.58,Debit,8795.84,False,False
32,08/01,"['TRANSFER FR A/C', 'NURUL ASYRANI AIMAN*', 'Roti 8.1.2020']",342.0,Debit,8453.84,False,False
33,08/01,['CASH DEPOSIT'],59.0,Credit,8512.84,False,False
34,09/01,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '3000']",3000.0,Debit,5512.84,False,False
35,09/01,"['TRANSFER FR A/C', 'NOR AMIRA FARHANIM *', 'Gaji 5-9.1.202']",302.0,Debit,5210.84,False,False
36,09/01,"['TRANSFER FR A/C', 'FADZLIANA BINTI MOH*', 'Gaji 5-9.1.202']",400.0,Debit,4810.84,False,False
37,10/01,"['PAYMENT FR A/C', 'CELCOM SDN BHD', '191380039', '0174508607']",104.4,Debit,4706.44,False,False
38,10/01,"['TRANSFER FR A/C', 'MUE UTARA ENT', 'AYAM', 'MBB CT']",290.2,Debit,4416.24,False,False
39,10/01,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', 'Tnb']",637.0,Debit,3779.24,False,False
40,10/01,['CASH DEPOSIT'],9711.0,Credit,13490.24,False,False
41,10/01,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', 'Printer']",400.0,Debit,13090.24,False,False
42,10/01,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', 'Printer']",100.0,Debit,12990.24,False,False
43,10/01,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '400']",400.0,Debit,12590.24,False,False
44,10/01,"['PAYMENT FR A/C', 'T013574465500', 'SHOPEE MALAYSIA 01', '2001101812020283']",302.91,Debit,12287.33,False,False
45,10/01,"['PAYMENT FR A/C', 'T013574787700', 'SHOPEE MALAYSIA 01', '2001101833050337']",302.91,Debit,11984.42,False,False
46,10/01,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '500']",500.0,Debit,11484.42,False,False
47,11/01,"['TRANSFER FR A/C', 'MOHD AMRAN BIN MOHD*', 'Syiling Amran']",100.0,Debit,11384.42,False,False
48,11/01,"['TRANSFER FR A/C', 'NURUL HUSNA BINTI S*', 'SYILING HUSNA', 'MBB CT']",150.0,Debit,11234.42,False,False
49,11/01,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '1000']",1000.0,Debit,10234.42,False,False
50,11/01,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '1500']",1500.0,Debit,8734.42,False,False
51,11/01,"['TRANSFER FR A/C', 'NLC SAM TRADING *', '11.01.2020', 'MBB CT']",1284.75,Debit,7449.67,False,False
52,11/01,"['TRANSFER FR A/C', 'MUHAMMAD FAZIRUL BI*', 'Sayur 11.01.20']",235.78,Debit,7213.89,False,False
