,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,8966.5,False,False
1,01/03,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '1500']",1500.0,Debit,7466.5,False,False
2,02/03,"['PAYMENT FR A/C', 'MAXIS HOTLINK', 'PREPAID RELOAD', '01124182588']",10.0,Debit,7456.5,False,False
3,02/03,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', 'Gaji krew']",5000.0,Debit,2456.5,False,False
4,02/03,"['INTER-BANK PAYMENT INTO A/C', '2MPMAA0015649', 'BYR PEMBEKAL MKN KK', '2MPMAA0015649']",860.0,Credit,3316.5,False,False
5,02/03,"['TRANSFER FR A/C', 'JAHIYAH BINTI JAMAL*', 'KUIH1-3 MAC 2020', 'MBB CT']",188.0,Debit,3128.5,False,False
6,02/03,"['TRANSFER FR A/C', 'HALIMA TOON SAADIAH*', 'Baki Gaji Feb']",170.0,Debit,2958.5,False,False
7,02/03,"['TRANSFER FR A/C', 'NORASIAH BINTI ABD *', 'BAKI GAJI 02.2020', 'MBB CT']",1350.0,Debit,1608.5,False,False
8,02/03,"['TRANSFER FR A/C', 'ZAFESHA NETWORK AND*', 'Kosmetik']",300.0,Debit,1308.5,False,False
9,02/03,"['TRANSFER FR A/C', 'MOHD RIDUAN BIN MOH*', 'GAJI 02.2020', 'MBB CT']",630.0,Debit,678.5,False,False
10,03/03,"['TRANSFER FR A/C', 'NIK ABDUL MUHAIMIN *', 'Gaji 02.2020']",630.0,Debit,48.5,False,False
11,03/03,"['TRANSFER TO A/C', 'MKBK PRESTIGIOUS EM*', '3rd Party Transfer', 'MBB CT-2350']",2350.0,Credit,2398.5,False,False
12,03/03,"['TRANSFER FR A/C', 'MOHD RIZAL BIN CHE *', 'Plat number']",350.0,Debit,2048.5,False,False
13,03/03,"['PAYMENT FR A/C', 'MAXIS HOTLINK', 'PREPAID RELOAD', '01124182589']",10.0,Debit,2038.5,False,False
14,03/03,['CASH DEPOSIT'],6121.0,Credit,8159.5,False,False
15,03/03,"['TRANSFER FR A/C', 'OBEY SEJATI ENTERPR*', 'BIL 23-27.02.2020', 'MBB CT']",7000.0,Debit,1159.5,False,False
16,03/03,"['TRANSFER FR A/C', 'NIK ABDUL MUHAIMIN *', 'Adv']",1000.0,Debit,159.5,False,False
17,03/03,['CASH DEPOSIT'],1.0,Credit,160.5,False,False
18,04/03,"['PAYMENT FR A/C', 'MAXIS HOTLINK', 'PREPAID RELOAD', '0174080546']",10.0,Debit,150.5,False,False
19,05/03,['CDM CASH DEPOSIT'],1780.0,Credit,1930.5,False,False
20,05/03,['CDM CASH DEPOSIT'],90.0,Credit,2020.5,False,False
21,05/03,['CASH DEPOSIT'],5280.0,Credit,7300.5,False,False
22,05/03,"['TRANSFER FR A/C', 'SEK MEN KEBANGSAAN *', 'SEWA KANTIN 03.2020', 'MBB CT']",2400.0,Debit,4900.5,False,False
23,05/03,"['TRANSFER FR A/C', 'MUE UTARA ENT', 'AYAM 1-5.03.2020', 'MBB CT']",2808.56,Debit,2091.94,False,False
24,05/03,"['TRANSFER FR A/C', 'OBEY SEJATI ENTERPR*', 'BAKI BIL 23-27.02.20', 'MBB CT']",985.19,Debit,1106.75,False,False
25,05/03,"['TRANSFER FR A/C', 'PUAN HASNAH BINTI S*', 'GAJI', 'MBB CT']",65.0,Debit,1041.75,False,False
26,05/03,['CDM CASH DEPOSIT'],1000.0,Credit,2041.75,False,False
27,05/03,"['TRANSFER FR A/C', 'HARTINI BINTI AWANG*', 'Gaji 1-5.02.20']",500.0,Debit,1541.75,False,False
28,05/03,['CLEARING CHQ DEP'],304.0,Credit,1845.75,False,False
29,05/03,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '230']",230.0,Debit,1615.75,False,False
30,05/03,"['INTER-BANK PAYMENT INTO A/C', '202010026801799296', 'JPNKDH/TBMB/20/02(26', '202010026801799296']",1249.92,Credit,2865.67,False,False
31,06/03,"['TRANSFER FR A/C', 'HALIMA TOON SAADIAH*', 'GAJI 01-05.02.']",250.0,Debit,2615.67,False,False
32,06/03,"['TRANSFER FR A/C', 'FADZLIANA BINTI MOH*', 'Ikan']",100.0,Debit,2515.67,False,False
33,06/03,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '1000']",1000.0,Debit,1515.67,False,False
34,06/03,"['PAYMENT FR A/C', 'CELCOM AIRTIME', 'PREPAID RELOAD', '0194600234']",10.0,Debit,1505.67,False,False
35,06/03,"['PAYMENT FR A/C', 'MAXIS HOTLINK', 'PREPAID RELOAD', '0175213144']",5.0,Debit,1500.67,False,False
36,06/03,"['TRANSFER TO A/C', 'MOHD KHAIRI BIN KAR*', '332']",332.0,Credit,1832.67,False,False
37,06/03,"['TRANSFER FR A/C', 'NURUL ASHIKIN BINTI*', 'Shahril']",50.0,Debit,1782.67,False,False
38,07/03,"['TRANSFER FR A/C', 'PERNIAGAAN FULI JAY*', 'SEWA 03.2020', 'MBB CT']",375.0,Debit,1407.67,False,False
39,07/03,"['TRANSFER FR A/C', 'PERNIAGAAN FULI JAY*', 'DEPOSIT+SEWA 03.2020', 'MBB CT']",255.0,Debit,1152.67,False,False
40,07/03,"['TRANSFER FR A/C', 'MOHD HANIF BIN HAMI*', 'Gaji Jum-Sabtu']",58.0,Debit,1094.67,False,False
41,07/03,"['TRANSFER FR A/C', 'ZURAIDAH BINTI DESA*', 'GAJI SABTU', 'MBB CT']",35.0,Debit,1059.67,False,False
42,07/03,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '200']",200.0,Debit,859.67,False,False
43,08/03,"['TRANSFER FR A/C', 'JAHIYAH BINTI JAMAL*', 'KUIH', 'MBB CT']",122.4,Debit,737.27,False,False
44,09/03,['CASH DEPOSIT'],5997.0,Credit,6734.27,False,False
45,09/03,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', 'Sewa kafe ppd']",350.0,Debit,6384.27,False,False
46,09/03,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '150']",150.0,Debit,6234.27,False,False
47,09/03,"['TRANSFER FR A/C', 'MOHD KHAIRI BIN KAR*', '500']",500.0,Debit,5734.27,False,False
48,09/03,"['TRANSFER FR A/C', 'SP KITCHEN EQUIPMEN*', 'FREEZER', 'MBB CT']",3800.0,Debit,1934.27,False,False
49,09/03,"['INTER-BANK PAYMENT INTO A/C', '202010026802089086', 'PPDKMY/TBMB/20/03(2)', '202010026802089086']",277.76,Credit,2212.03,False,False
50,09/03,"['INTER-BANK PAYMENT INTO A/C', '202010026802089088', 'JPNKDH/TBMB/20/02(3)', '202010026802089088']",1011.84,Credit,3223.87,False,False
