,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,35601.27,False,False
1,01/11,"['TRANSFER FR A/C', 'RONDA NIAGA RESOURC*', '25000']",25000.0,Debit,10601.27,False,False
2,02/11,"['PAYMENT FR A/C', 'MAXIS HOTLINK', 'PREPAID RELOAD', '0175213144']",5.0,Debit,10596.27,False,False
3,02/11,"['TRANSFER FR A/C', 'NSZ ARKED ENTERPRIS*', 'NSZ']",1300.0,Debit,9296.27,False,False
4,03/11,"['TRANSFER FR A/C', 'MUHAMMAD FAUZI BIN *', 'P.CASH ICECUBE']",300.0,Debit,8996.27,False,False
5,04/11,"['TRANSFER FR A/C', 'NURUL NAFISAH BINTI*', 'Harraz Oktober']",300.0,Debit,8696.27,False,False
6,04/11,"['TRANSFER FR A/C', 'MKBK PRESTIGI', '8696']",8696.0,Debit,0.27,False,False
7,04/11,"['TRANSFER TO A/C', 'KUDRAT BAKTI NIAGA *', '3rd Party Transfer', 'MBB CT-Payment']",20000.0,Credit,20000.27,False,False
8,04/11,"['TRANSFER FR A/C', 'ANIDA RA ENTERPRISE*', 'GAJI OKT. 2019']",13000.0,Debit,7000.27,False,False
9,04/11,"['TRANSFER FR A/C', 'MUHAMMAD FAUZI BIN *', 'SUMBANGAN TOM']",500.0,Debit,6500.27,False,False
10,04/11,"['TRANSFER FR A/C', 'SONG WAI LENG', 'SEWA PEJABAT N']",550.0,Debit,5950.27,False,False
11,05/11,"['TRANSFER FR A/C', 'JAHIYAH BINTI JAMAL*', '100']",100.0,Debit,5850.27,False,False
12,05/11,"['TRANSFER FR A/C', ""MOHAMMAD SYAFA'AT B*"", 'GAJI OKT. 2019']",1021.65,Debit,4828.62,False,False
13,05/11,"['TRANSFER TO A/C', 'MKBK PRESTIGIOUS EM*', '50000', 'MBB CT-50000']",50000.0,Credit,54828.62,False,False
14,05/11,"['TRANSFER FR A/C', 'JEYA LALITHA A/P S *', 'GAJI OKT. 2019']",371.65,Debit,54456.97,False,False
15,05/11,"['TRANSFER FR A/C', 'MEENATCHI A/P SUPPI*', 'GAJI OKT. 2019']",371.65,Debit,54085.32,False,False
16,05/11,"['TRANSFER FR A/C', 'PUSPA LATH A/P TANG*', 'GAJI OKT. 2019']",371.65,Debit,53713.67,False,False
17,05/11,"['TRANSFER FR A/C', 'KRISHNAVENI A', 'GAJI OKT. 2019']",371.65,Debit,53342.02,False,False
18,05/11,"['TRANSFER FR A/C', 'PALANIYNDY A/L KAND*', 'GAJI OKT. 2019']",371.65,Debit,52970.37,False,False
19,05/11,"['TRANSFER FR A/C', 'MOGANA A/P PERMALSA*', 'GAJI OKT. 2019']",371.65,Debit,52598.72,False,False
20,05/11,"['TRANSFER FR A/C', 'A SUGUMARAN A/L ARU*', 'GAJI OKT. 2019']",671.65,Debit,51927.07,False,False
21,05/11,"['TRANSFER FR A/C', 'ARANAJALOM A/L VAYA*', 'GAJI OKT. 2019']",671.65,Debit,51255.42,False,False
22,05/11,"['TRANSFER FR A/C', 'FAZILAH BINTI HAMID*', 'GAJI OKT. 2019']",671.65,Debit,50583.77,False,False
23,05/11,"['TRANSFER FR A/C', 'MARY VICTORIA', 'GAJI OKT. 2019']",671.65,Debit,49912.12,False,False
24,05/11,"['TRANSFER FR A/C', 'HEMALATHA A/P', 'GAJI OKT. 2019']",671.65,Debit,49240.47,False,False
25,05/11,"['TRANSFER FR A/C', 'SARASWATHI A/', 'GAJI OKT. 2019']",260.16,Debit,48980.31,False,False
26,05/11,"['TRANSFER FR A/C', 'KANNIAMMAL A/', 'GAJI OKT. 2019']",671.65,Debit,48308.66,False,False
27,05/11,"['TRANSFER FR A/C', 'KALIAMAH A/P', 'GAJI OKT. 2019']",671.65,Debit,47637.01,False,False
28,05/11,"['TRANSFER FR A/C', 'ATHISWARAN A/', 'GAJI OKT. 2019']",671.65,Debit,46965.36,False,False
29,05/11,"['TRANSFER FR A/C', 'KALIES WARAN', 'GAJI OKT. 2019']",671.65,Debit,46293.71,False,False
30,05/11,"['TRANSFER FR A/C', 'MUSTAPA BAKRI BIN M*', 'GAJI OKT. 2019']",671.65,Debit,45622.06,False,False
31,05/11,"['TRANSFER FR A/C', 'MARIAM BINTI ABDUL *', 'GAJI OKT. 2019']",671.65,Debit,44950.41,False,False
32,05/11,"['TRANSFER FR A/C', 'RASHIDAH BINTI ALI *', 'GAJI OKT. 2019']",640.06,Debit,44310.35,False,False
33,05/11,"['TRANSFER FR A/C', 'BEDHARIA BINTI BAHA*', 'GAJI OKT. 2019']",640.06,Debit,43670.29,False,False
34,05/11,"['TRANSFER FR A/C', 'ABDUL HAMEED', 'GAJI OKT. 2019']",671.65,Debit,42998.64,False,False
35,05/11,"['TRANSFER FR A/C', 'JAMALUDDIN BIN ISMA*', 'GAJI OKT. 2019']",671.65,Debit,42326.99,False,False
36,05/11,"['TRANSFER FR A/C', 'MAISHARAH BIN', 'GAJI OKT. 2019']",608.46,Debit,41718.53,False,False
37,05/11,"['TRANSFER FR A/C', 'MOHD ZAKI BIN ABDUL*', 'GAJI OKT. 2019']",671.65,Debit,41046.88,False,False
38,05/11,"['TRANSFER FR A/C', 'NOORHABIBAH B', 'GAJI OKT. 2019']",671.65,Debit,40375.23,False,False
39,05/11,"['TRANSFER FR A/C', 'HURINA BINTI MOHD S*', 'GAJI OKT. 2019']",671.65,Debit,39703.58,False,False
40,05/11,"['TRANSFER FR A/C', 'ALIM SHAH BIN SHAHA*', 'GAJI OKT. 2019']",757.15,Debit,38946.43,False,False
41,05/11,"['TRANSFER FR A/C', 'SULAIMAN BIN SOHIK *', 'GAJI OKT. 2019']",671.65,Debit,38274.78,False,False
42,05/11,"['TRANSFER FR A/C', 'AZIZAH BINTI ARIFFI*', 'GAJI OKT. 2019']",640.06,Debit,37634.72,False,False
43,05/11,"['TRANSFER FR A/C', 'JUNAIDAH BINTI MAT *', 'GAJI OKT. 2019']",671.65,Debit,36963.07,False,False
44,05/11,"['TRANSFER FR A/C', 'MUHAMAD SHAHADAN BI*', 'GAJI OKT. 2019']",671.65,Debit,36291.42,False,False
45,05/11,"['TRANSFER FR A/C', 'JAMALUDDIN BIN SAID*', 'GAJI OKT. 2019']",671.65,Debit,35619.77,False,False
46,05/11,"['TRANSFER FR A/C', 'ROSLI BIN YUSOF *', 'GAJI OKT. 2019']",671.65,Debit,34948.12,False,False
47,05/11,"['TRANSFER FR A/C', 'KALAICHELVI A', 'GAJI OKT. 2019']",371.65,Debit,34576.47,False,False
48,05/11,"['TRANSFER FR A/C', 'AZLITA BT CHE', 'GAJI OKT. 2019']",671.65,Debit,33904.82,False,False
49,05/11,"['TRANSFER FR A/C', 'SAVRIAMA A/P P ANTH*', 'GAJI OKT. 2019']",671.65,Debit,33233.17,False,False
50,05/11,"['TRANSFER FR A/C', 'TAMILSELVI A/', 'GAJI OKT. 2019']",371.65,Debit,32861.52,False,False
51,05/11,"['TRANSFER FR A/C', 'LETCHMY A/P SUPPAYA*', 'GAJI OKT. 2019']",371.65,Debit,32489.87,False,False
52,05/11,"['TRANSFER FR A/C', 'VELVILI A/P M', 'GAJI OKT. 2019']",371.65,Debit,32118.22,False,False
53,05/11,"['TRANSFER FR A/C', 'AHIRUDDIN BIN ZAMBI*', 'GAJI OKT. 2019']",671.65,Debit,31446.57,False,False
54,05/11,"['TRANSFER FR A/C', 'RAMLI BIN MOHAMAD S*', 'GAJI OKT. 2019']",1325.65,Debit,30120.92,False,False
55,05/11,"['TRANSFER FR A/C', 'KAMAL ADNI ENTERPRI*', 'GAJI OKT. 2019']",2189.3,Debit,27931.62,False,False
56,05/11,"['TRANSFER FR A/C', 'JAMALIAH BINTI SAAD*', 'GAJI OKT. 2019']",973.26,Debit,26958.36,False,False
57,05/11,"['TRANSFER FR A/C', 'NOOR HAFIZAH BINTI *', 'GAJI OKT. 2019']",743.75,Debit,26214.61,False,False
58,05/11,"['TRANSFER FR A/C', 'MANSOR BIN ABU', 'GAJI OKT. 2019']",959.65,Debit,25254.96,False,False
59,05/11,"['TRANSFER FR A/C', 'ZAHAWIYAH BINTI AYO*', 'GAJI OKT. 2019']",576.35,Debit,24678.61,False,False
60,05/11,"['TRANSFER FR A/C', 'ROZIAH BINTI ISHAK *', 'GAJI OKT. 2019']",416.65,Debit,24261.96,False,False
61,05/11,"['TRANSFER FR A/C', 'CHE NORMA BINTI AWA*', 'GAJI OKT. 2019']",561.6,Debit,23700.36,False,False
62,05/11,"['TRANSFER FR A/C', 'FAIZAH BT OMAR', 'GAJI OKT. 2019']",1071.65,Debit,22628.71,False,False
63,05/11,"['TRANSFER FR A/C', 'SITI MARIANI BINTI *', 'GAJI OKT. 2019']",606.65,Debit,22022.06,False,False
64,05/11,"['TRANSFER FR A/C', 'NORLIZA BINTI RASHI*', 'GAJI OKT. 2019']",1151.65,Debit,20870.41,False,False
65,05/11,"['TRANSFER FR A/C', 'CHE FATIMAH BINTI C*', 'GAJI OKT. 2019']",696.65,Debit,20173.76,False,False
66,05/11,"['TRANSFER FR A/C', 'SNHF SWEET ENTERPRI*', '2ND HALF OKT.']",2102.8,Debit,18070.96,False,False
67,05/11,"['TRANSFER FR A/C', 'ROZIYANI BINTI MOHA*', '2ND HALF OKT.']",1489.0,Debit,16581.96,False,False
68,05/11,"['TRANSFER TO A/C', 'KUDRAT BAKTI NIAGA *', '3rd Party Transfer', 'MBB CT-payment']",5000.0,Credit,21581.96,False,False
