,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,685217.99,True,False
1,02/12,"['INTER-BANK PAYMENT INTO A/C', 'REDAWN MARKETING SD', 'SEP19', 'IBG PAYMENT INTO A/C']",79.0,Credit,685138.99,True,False
2,02/12,"['ELECTRONIC REMITTANCE - GIR', 'RSP ARCHITECTS SDN *', '00016681', 'LINGKARAN SYSTEM']",1000.0,Debit,686138.99,True,False
3,02/12,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00023056']",660.0,Debit,686798.99,True,False
4,02/12,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00023116']",455.0,Debit,687253.99,True,False
5,02/12,"['TRANSFER FR A/C', 'LAI TEE CHIN', 'BalSalaryNov19']",4909.25,Debit,692163.24,True,False
6,02/12,"['TRANSFER FR A/C', 'LAI TEE CHIN', 'Advamce']",5000.0,Debit,697163.24,True,False
7,02/12,['CLEARING CHQ DEP'],6478.0,Credit,690685.24,True,False
8,03/12,"['PAYMENT FR A/C', 'TENAGA NASIONAL BER*', '210045304109']",154.8,Debit,690840.04,True,False
9,03/12,"['PAYMENT FR A/C', 'TENAGA NASIONAL BER*', '210045304000']",331.7,Debit,691171.74,True,False
10,03/12,"['PAYMENT FR A/C', 'TENAGA NASIONAL BER*', '210045303406']",249.75,Debit,691421.49,True,False
11,03/12,"['PAYMENT FR A/C', 'TELEKOM MALAYSIA BH*', '1037126412']",339.1,Debit,691760.59,True,False
12,03/12,"['PAYMENT FR A/C', 'INDAH WATER KONSORT*', '10531549']",352.0,Debit,692112.59,True,False
13,03/12,"['TRANSFER FR A/C', 'HASHMIR ANUAR B.ABD*', 'Oct 19 Claim']",2907.85,Debit,695020.44,True,False
14,03/12,['CLEARING CHQ DEP'],2100.0,Credit,692920.44,True,False
15,03/12,['CLEARING CHQ DEP'],9372.0,Credit,683548.44,True,False
16,04/12,"['INTER-BANK PAYMENT INTO A/C', 'PWB (M) SDN BHD', 'IBG TRANSACTION', 'IBG TRANSACTION']",770.0,Credit,682778.44,True,False
17,04/12,['CLEARING CHQ DEP'],7785.5,Credit,674992.94,True,False
18,04/12,['INWARD CLEARING CHQ DEBIT 167721'],5000.0,Debit,679992.94,True,False
19,05/12,"['TRANSFER FR A/C', 'ROSSIDI BIN HARON *', 'Resillient']",700.0,Debit,680692.94,True,False
20,05/12,['CHEQUE PROCESSING FEE'],0.5,Debit,680693.44,True,False
21,05/12,"['TRANSFER TO A/C', 'TEE PEIK WAN', 'CS00021219', 'Leon WS']",212.0,Credit,680481.44,True,False
22,05/12,['INWARD CLEARING CHQ DEBIT 167733'],2000.0,Debit,682481.44,True,False
23,06/12,"['PAYMENT FR A/C', '1220190014401776C11*', 'KUMPULAN WANG SIMPAN', '1912061126310357']",13447.0,Debit,695928.44,True,False
24,06/12,"['PAYMENT FR A/C', '20191206113151_5540*', 'PERTUBUHAN KESELAMAT', '1912061131510430']",904.0,Debit,696832.44,True,False
25,06/12,"['PAYMENT FR A/C', '20191206113610_2380*', 'PERTUBUHAN KESELAMAT', '1912061136110447']",160.8,Debit,696993.24,True,False
26,06/12,"['PAYMENT FR A/C', 'PE6L19001739', 'LEMBAGA HASIL DALAM', '1912061143510453']",7364.1,Debit,704357.34,True,False
27,06/12,"['TRANSFER FR A/C', 'HASHMIR ANUAR B.ABD*', 'Salary Nov 19']",14319.05,Debit,718676.39,True,False
28,06/12,"['ELECTRONIC REMITTANCE -', 'LINGKARAN SYSTEM AN*', 'BMA515-76TH']",1324.0,Debit,720000.39,True,False
29,06/12,"['ELECTRONIC REMITTANCE -', 'LINGKARAN SYSTEM AN*', '00120832']",1266.0,Debit,721266.39,True,False
30,06/12,"['ELECTRONIC REMITTANCE -', 'LINGKARAN SYSTEM AN*', '00120868']",1041.0,Debit,722307.39,True,False
31,06/12,"['PAYMENT FR A/C', 'MERCEDES-BENZ SERVI*', '10108734', 'WD3687D']",2614.0,Debit,724921.39,True,False
32,06/12,"['ELECTRONIC REMITTANCE -', 'LNGKARAN SYSTEM AND*', '00120912']",471.0,Debit,725392.39,True,False
33,06/12,"['TRANSFER FR A/C', 'ROSSIDI BIN HARON *', 'Claim']",242.0,Debit,725634.39,True,False
34,06/12,"['TRANSFER FR A/C', 'LOW YIK CHUN', 'Salam-8 Conlay']",4100.0,Debit,729734.39,True,False
35,06/12,"['TRANSFER FR A/C', 'LOW YIK CHUN', '8 Conlay PC']",1000.0,Debit,730734.39,True,False
36,06/12,"['TRANSFER FR A/C', 'LAI TEE CHIN', 'Advance']",6000.0,Debit,736734.39,True,False
37,06/12,['CHEQUE PROCESSING FEE'],0.5,Debit,736734.89,True,False
38,06/12,['CLEARING CHQ DEP'],24675.9,Credit,712058.99,True,False
39,09/12,['CLEARING CHQ DEP'],1680.0,Credit,710378.99,True,False
40,10/12,"['TRANSFER FR A/C', 'HASHMIR ANUAR B.ABD*', 'BuyTender Bond', 'Project : Oxley']",30000.0,Debit,740378.99,True,False
41,10/12,"['TRANSFER TO A/C', 'MCC OVERSEAS (M) SD*', 'CLAIM 5 SEPT19', 'MBB CT-INV-0012-1119']",8402.4,Credit,731976.59,True,False
42,10/12,['CLEARING CHQ DEP'],780.0,Credit,731196.59,True,False
43,10/12,['CLEARING CHQ DEP'],7708.0,Credit,723488.59,True,False
44,12/12,"['ELECTRONIC REMITTANCE - GIR', 'DHL EXPRESS MALAYSI*', '00208915']",2614.51,Debit,726103.1,True,False
45,12/12,['CLEARING CHQ DEP'],16886.91,Credit,709216.19,True,False
46,13/12,"['TRANSFER TO A/C', 'TIANG PIK KIONG *', 'Locksets', 'Lockset']",216.0,Credit,709000.19,True,False
47,13/12,"['TRANSFER FR A/C', 'LOW YIK CHUN', 'Nov 19 Claim']",642.51,Debit,709642.7,True,False
48,13/12,"['TRANSFER FR A/C', 'HO PUI MENG', 'Medical Fee']",60.0,Debit,709702.7,True,False
49,13/12,"['TRANSFER FR A/C', 'SAM KOK MENG', 'Claim']",417.0,Debit,710119.7,True,False
50,16/12,"['TRANSFER FR A/C', 'LAI TEE CHIN', 'Advance JB']",400.0,Debit,710519.7,True,False
51,17/12,"['ELECTRONIC REMITTANCE - GIR', 'SERAI HARMONI SB *', '00274638']",6095.0,Debit,716614.7,True,False
52,18/12,"['TRANSFER FR A/C', 'JAMILAH BINTI SENAW*', 'Claim Nov 19']",262.0,Debit,716876.7,True,False
53,18/12,"['TRANSFER FR A/C', 'WONG CHIA MAY', 'Claim Nov 19']",154.8,Debit,717031.5,True,False
54,18/12,"['TRANSFER FR A/C', 'ROSSIDI BIN HARON *', 'Claim']",240.0,Debit,717271.5,True,False
55,18/12,"['ELECTRONIC REMITTANCE - GIR', 'HONG YEEN HARDWARE *', '00292902', 'LINGKARAN SYSTEM AND']",131.0,Debit,717402.5,True,False
56,18/12,"['PAYMENT FR A/C', 'AMERICAN EXPRESS CR*', 'XXXX-XXXX-XXXX-369']",10059.92,Debit,727462.42,True,False
57,18/12,['CDM CASH DEPOSIT'],400.0,Credit,727062.42,True,False
58,19/12,"['INTER-BANK PAYMENT INTO A/C', 'NGAI CHONG SING', '18DEC2019', 'BEBK121874849942']",1462.0,Credit,725600.42,True,False
59,19/12,"['TRANSFER TO A/C', 'SEE ONN CHYE ALEX *', 'lock set', 'MBB CT-']",1810.0,Credit,723790.42,True,False
60,19/12,"['TRANSFER TO A/C', 'KAMAL ENGINEERING S*', 'SUPPLY FIRE', 'DOOR LKIA']",200.0,Credit,723590.42,True,False
61,19/12,['CLEARING CHQ DEP'],13147.0,Credit,710443.42,True,False
62,20/12,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00325146']",10029.12,Debit,720472.54,True,False
63,20/12,['CLEARING CHQ DEP'],5770.8,Credit,714701.74,True,False
64,20/12,"['TRANSFER TO A/C', 'DMS BUILDING SERVIC*', 'INV 0036 1119', 'MBB CT-INV 0036 1119']",1630.0,Credit,713071.74,True,False
65,20/12,['CLEARING CHQ DEP'],2422.0,Credit,710649.74,True,False
66,20/12,['CLEARING CHQ DEP'],2230.0,Credit,708419.74,True,False
67,23/12,"['CMS - CR PYMT MARS', 'SAMLING HOUSING PROD', 'Pyt from Samling Hou', 'Book Transfer Third']",189869.0,Credit,518550.74,True,False
68,23/12,"['TRANSFER FR A/C', 'CHOONG WING PAINTIN*', 'Oxley-Claim1']",3382.0,Debit,521932.74,True,False
69,23/12,"['TRANSFER TO A/C', 'MS KHONG FOONG CHEE*', 'DORMA 381A', 'Lockcase FSR']",900.0,Credit,521032.74,True,False
70,23/12,"['ELECTRONIC REMITTANCE - GIR', 'J & P IMAGING SOLUT*', '00362348']",263.5,Debit,521296.24,True,False
71,23/12,['CASH WITHDRAWAL'],78000.0,Debit,599296.24,True,False
72,23/12,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', 'TRANSFER FUND']",2000.0,Debit,601296.24,True,False
73,23/12,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00364682']",4500.0,Debit,605796.24,True,False
74,23/12,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00364714']",13793.29,Debit,619589.53,True,False
75,23/12,"['PAYMENT FR A/C', 'INDAH WATER KONSORT*', '10531549']",180.0,Debit,619769.53,True,False
76,23/12,"['ELECTRONIC REMITTANCE - GIR', 'SYABAS / AIR SELANG*', '00043569', 'Lingkaran Syst']",36.0,Debit,619805.53,True,False
77,24/12,"['TRANSFER FR A/C', 'HASHMIR ANUAR B.ABD*', 'Petty Cash', 'Agent Commission']",7000.0,Debit,626805.53,True,False
78,24/12,"['ELECTRONIC REMITTANCE - GIR', 'VIA TAG ENTERPRISE *', '00384389']",6609.0,Debit,633414.53,True,False
79,24/12,"['ELECTRONIC REMITTANCE - GIR', 'Y T YONG CO', '00384417']",6656.0,Debit,640070.53,True,False
80,24/12,"['ELECTRONIC REMITTANCE - GIR', 'LTTS MANAGEMENT SER*', '00384456']",3370.5,Debit,643441.03,True,False
81,24/12,"['ELECTRONIC REMITTANCE - GIR', 'LTTS MANAGEMENT SER*', '00384476']",1880.0,Debit,645321.03,True,False
82,24/12,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00386183']",5914.0,Debit,651235.03,True,False
83,24/12,"['PAYMENT FR A/C', 'TENAGA NASIONAL BER*', '210045304109']",156.45,Debit,651391.48,True,False
84,24/12,"['PAYMENT FR A/C', 'TENAGA NASIONAL BER*', '210045304000']",364.25,Debit,651755.73,True,False
85,24/12,"['PAYMENT FR A/C', 'TENAGA NASIONAL BER*', '210045303406']",244.9,Debit,652000.63,True,False
86,24/12,"['TRANSFER FR A/C', 'HASHMIR ANUAR B.ABD*', 'RSP ANg Pow']",200.0,Debit,652200.63,True,False
87,24/12,['CLEARING CHQ DEP'],4029.0,Credit,648171.63,True,False
88,24/12,['CHEQUE PROCESSING FEE'],0.5,Debit,648172.13,True,False
89,24/12,"['INTER-BANK PAYMENT INTO A/C', 'AD INTERIOR SOLUTIO', '0010-0119N0005-1219', '0005-1119N0042-1119']",1467.0,Credit,646705.13,True,False
90,26/12,"['TRANSFER FR A/C', 'CHUAH MEI MEI', 'Claim']",200.0,Debit,646905.13,True,False
91,26/12,"['TRANSFER FR A/C', 'HASHMIR ANUAR B.ABD*', 'Nov 19 Claim']",979.4,Debit,647884.53,True,False
92,26/12,"['TRANSFER FR A/C', 'OOI TZONG HUEI', 'WC4037K']",2029.4,Debit,649913.93,True,False
93,26/12,"['TRANSFER FR A/C', 'LOW YIK CHUN', '8 Conlay Claim']",1000.0,Debit,650913.93,True,False
94,26/12,"['TRANSFER FR A/C', 'ROSSIDI BIN HARON *', 'Claim']",200.0,Debit,651113.93,True,False
95,26/12,['INWARD CLEARING CHQ DEBIT 167736'],16240.0,Debit,667353.93,True,False
96,27/12,"['TRANSFER FR A/C', 'LAI TEE CHIN', 'Advance']",500.0,Debit,667853.93,True,False
97,27/12,"['PAYMENT FR A/C', 'mepsfpx-v2-712ff-79*', 'SECURE PARKING CORPO', '1912271625110972']",220.0,Debit,668073.93,True,False
98,27/12,['CLEARING CHQ DEP'],11617.0,Credit,656456.93,True,False
99,27/12,['CHEQUE PROCESSING FEE'],0.5,Debit,656457.43,True,False
100,27/12,['CLEARING CHQ DEP'],78158.0,Credit,578299.43,True,False
101,27/12,['INWARD CLEARING CHQ DEBIT 167737'],6454.6,Debit,584754.03,True,False
102,30/12,"['TRANSFER TO A/C', 'SEE ONN CHYE ALEX *', 'locks', 'MBB CT-']",1061.0,Credit,583693.03,True,False
103,30/12,"['TRANSFER TO A/C', 'SEE ONN CHYE ALEX *', 'locks', 'MBB CT-']",1061.0,Credit,582632.03,True,False
104,30/12,"['PAYMENT FR A/C', 'TELEKOM MALAYSIA BH*', '1037126412']",337.2,Debit,582969.23,True,False
105,30/12,['CHEQUE PROCESSING FEE'],0.5,Debit,582969.73,True,False
106,31/12,"['TRANSFER FR A/C', 'LAI TEE CHIN', 'Adv Claim']",1000.0,Debit,583969.73,True,False
107,31/12,"['TRANSFER FR A/C', 'LAI TEE CHIN', 'BalSalaryDec19']",2113.95,Debit,586083.68,True,False
108,31/12,"['TRANSFER FR A/C', 'JAMILAH BINTI SENAW*', 'Salary Dec 19']",3603.95,Debit,589687.63,True,False
109,31/12,"['TRANSFER FR A/C', 'CHUAH MEI MEI', 'Salary Dec 19']",4122.85,Debit,593810.48,True,False
110,31/12,"['TRANSFER FR A/C', 'ZURAIDAH BINTI RAML*', 'Salary Dec 19']",1766.35,Debit,595576.83,True,False
111,31/12,"['TRANSFER FR A/C', 'ROSSIDI BIN HARON *', 'Salary Dec 19']",2802.55,Debit,598379.38,True,False
112,31/12,"['TRANSFER FR A/C', 'SAM KOK MENG', 'Salary Dec 19']",2320.45,Debit,600699.83,True,False
113,31/12,"['TRANSFER FR A/C', 'WONG CHIA MAY', 'Salary Dec 19']",5507.03,Debit,606206.86,True,False
114,31/12,"['TRANSFER FR A/C', 'GAN SHOOK EN', 'Salary Dec 19']",4336.18,Debit,610543.04,True,False
115,31/12,"['TRANSFER FR A/C', 'LOW YIK CHUN', 'Salary Dec 19']",4859.22,Debit,615402.26,True,False
116,31/12,"['TRANSFER FR A/C', 'NURUL HIDAYAH BINTI*', 'Salary Dec 19']",1367.15,Debit,616769.41,True,False
117,31/12,"['TRANSFER FR A/C', 'HO PUI MENG', 'Salary Dec 19']",2696.65,Debit,619466.06,True,False
118,31/12,"['ELECTRONIC REMITTANCE - GIR', 'FORID AHAMAD ABUL M*', '00479773']",900.0,Debit,620366.06,True,False
119,31/12,['CLEARING CHQ DEP'],87502.0,Credit,532864.06,True,False
120,31/12,['COMMIT/FACILITY FEE'],61.76,Debit,532925.82,True,False
121,31/12,['INTEREST CHARGED'],4975.67,Debit,537901.49,True,False
122,,['ENDING BALANCE'],,,537901.49,True,False
123,,['LEDGER BALANCE'],,,537901.49,True,False
124,,['TOTAL DEBIT'],,,344565.01,False,False
125,,['TOTAL CREDIT'],,,491881.51,False,False
