,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,552252.02,True,False
1,01/02,"['TRANSFER FR A/C', 'HASHMIR ANUAR B.ABD*', 'SalaryJan2020']",14309.4,Debit,566561.42,True,False
2,03/02,"['PAYMENT FR A/C', '0220200014401776C11*', 'KUMPULAN WANG SIMPAN', '2002031512500526']",17533.0,Debit,584094.42,True,False
3,03/02,"['PAYMENT FR A/C', '20200203152110_5782*', 'PERTUBUHAN KESELAMAT', '2002031521110306']",904.0,Debit,584998.42,True,False
4,03/02,"['PAYMENT FR A/C', '20200203152428_2438*', 'PERTUBUHAN KESELAMAT', '2002031524290825']",160.8,Debit,585159.22,True,False
5,03/02,"['PAYMENT FR A/C', 'PE3B20003884', 'LEMBAGA HASIL DALAM', '2002031530180971']",9719.75,Debit,594878.97,True,False
6,03/02,"['PAYMENT FR A/C', 'T003568581920', 'MYDATA SSM', '2002031543450155']",318.9,Debit,595197.87,True,False
7,03/02,['CLEARING CHQ DEP'],68116.0,Credit,527081.87,True,False
8,03/02,['CLEARING CHQ DEP'],104240.0,Credit,422841.87,True,False
9,05/02,"['TRANSFER FR A/C', 'LAI TEE CHIN', 'Loan']",7000.0,Debit,429841.87,True,False
10,06/02,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', 'BMA515-78TH']",1324.0,Debit,431165.87,True,False
11,06/02,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00096895']",1266.0,Debit,432431.87,True,False
12,06/02,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00096910']",1041.0,Debit,433472.87,True,False
13,06/02,"['PAYMENT FR A/C', 'MERCEDES-BENZ SERVI*', '10108734', 'WD3687D']",2614.0,Debit,436086.87,True,False
14,06/02,"['ELECTRONIC REMITTANCE - GIR', 'LNGKARAN SYSTEM AND*', '00096944']",471.0,Debit,436557.87,True,False
15,06/02,"['TRANSFER TO A/C', 'WONG CHOOI LIN', 'INV 0010 0120', 'MBB CT-Payment']",551.3,Credit,436006.57,True,False
16,06/02,['CDM CASH DEPOSIT'],5000.0,Credit,431006.57,True,False
17,06/02,['CDM CASH DEPOSIT'],2000.0,Credit,429006.57,True,False
18,06/02,"['TRANSFER FR A/C', 'HASHMIR ANUAR B.ABD*', 'Pay Back MBSA']",800.0,Debit,429806.57,True,False
19,06/02,['CLEARING CHQ DEP'],6684.0,Credit,423122.57,True,False
20,07/02,"['ELECTRONIC REMITTANCE - GIR', 'DHL EXPRESS MALAYSI*', '00123278']",4866.22,Debit,427988.79,True,False
21,07/02,"['TRANSFER FR A/C', 'SAM KOK MENG', 'Claim']",430.0,Debit,428418.79,True,False
22,07/02,"['TRANSFER FR A/C', 'ROSSIDI BIN HARON *', 'Claim']",200.0,Debit,428618.79,True,False
23,07/02,['CLEARING CHQ DEP'],17936.0,Credit,410682.79,True,False
24,07/02,['INWARD CLEARING CHQ DEBIT 167748'],52265.6,Debit,462948.39,True,False
25,10/02,"['TRANSFER TO A/C', 'MOHAMAD FAIZAL BIN *', 'lockset', 'MBB CT-']",126.0,Credit,462822.39,True,False
