,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,537901.49,True,False
1,01/01,"['TRANSFER FR A/C', 'HASHMIR ANUAR B.ABD*', 'Salary Dec 19']",14323.75,Debit,552225.24,True,False
2,02/01,['CLEARING CHQ DEP'],2197.0,Credit,550028.24,True,False
3,02/01,"['PAYMENT FR A/C', '0120200014401776C11*', 'KUMPULAN WANG SIMPAN', '2001021443060629']",13020.0,Debit,563048.24,True,False
4,02/01,"['TRANSFER FR A/C', 'LAI TEE CHIN', 'Nek Commission']",15000.0,Debit,578048.24,True,False
5,02/01,"['PAYMENT FR A/C', '20200102151959_5541*', 'PERTUBUHAN KESELAMAT', '2001021520000200']",904.0,Debit,578952.24,True,False
6,02/01,"['INTER-BANK PAYMENT INTO A/C', 'SERAI HARMONI SDN.B', 'OCT 2019', 'PAYMENT']",350.0,Credit,578602.24,True,False
7,02/01,"['PAYMENT FR A/C', '20200102152526_2401*', 'PERTUBUHAN KESELAMAT', '2001021525260172']",160.8,Debit,578763.04,True,False
8,02/01,"['PAYMENT FR A/C', 'PE2A20003592', 'LEMBAGA HASIL DALAM', '2001021530280585']",7078.35,Debit,585841.39,True,False
9,02/01,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00019448']",660.0,Debit,586501.39,True,False
10,02/01,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00019569']",455.0,Debit,586956.39,True,False
11,02/01,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', 'BMA515-77TH']",1324.0,Debit,588280.39,True,False
12,02/01,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00019617']",1266.0,Debit,589546.39,True,False
13,02/01,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00019644']",1041.0,Debit,590587.39,True,False
14,02/01,"['PAYMENT FR A/C', 'MERCEDES-BENZ SERVI*', '10108734', 'WD3687D']",2614.0,Debit,593201.39,True,False
15,02/01,"['ELECTRONIC REMITTANCE - GIR', 'LNGKARAN SYSTEM AND*', '00019847']",471.0,Debit,593672.39,True,False
16,02/01,"['ELECTRONIC REMITTANCE - GIR', 'ONEDERFUL VACATION *', '00026462']",3330.0,Debit,597002.39,True,False
17,02/01,['CLEARING CHQ DEP'],882.0,Credit,596120.39,True,False
18,03/01,"['ELECTRONIC REMITTANCE - GIR', 'LOH TECK SENG', '00044264']",5000.0,Debit,601120.39,True,False
19,03/01,['CLEARING CHQ DEP'],44825.3,Credit,556295.09,True,False
20,03/01,"['INTER-BANK PAYMENT INTO A/C', 'PWB (M) SDN BHD', 'IBG TRANSACTION', 'IBG TRANSACTION']",770.0,Credit,555525.09,True,False
21,06/01,['CLEARING CHQ DEP'],31697.18,Credit,523827.91,True,False
22,06/01,['CLEARING CHQ DEP'],3696.0,Credit,520131.91,True,False
23,07/01,"['PAYMENT FR A/C', 'T213072456219', 'IPAY88 (M) SDN BHD', '2001071532500086']",15.3,Debit,520147.21,True,False
24,08/01,"['TRANSFER FR A/C', 'ROSSIDI BIN HARON *', 'Claim']",230.0,Debit,520377.21,True,False
25,08/01,"['ELECTRONIC REMITTANCE - GIR', 'DHL EXPRESS MALAYSI*', '00144359']",5080.58,Debit,525457.79,True,False
26,08/01,"['TRANSFER FR A/C', 'SAM KOK MENG', 'Claim']",472.0,Debit,525929.79,True,False
27,09/01,"['ELECTRONIC REMITTANCE - GIR', 'ESTHETIC ART STUDIO*', '00162014', 'DUPLICATE PAYMENT']",1061.0,Debit,526990.79,True,False
28,09/01,"['TRANSFER FR A/C', 'LOW YIK CHUN', 'Dec 19 Claim']",674.6,Debit,527665.39,True,False
29,09/01,"['TRANSFER FR A/C', 'HO PUI MENG', 'MC Claim']",70.0,Debit,527735.39,True,False
30,09/01,"['TRANSFER FR A/C', 'NURUL HIDAYAH BINTI*', 'MC Claim']",50.0,Debit,527785.39,True,False
31,09/01,"['ELECTRONIC REMITTANCE - GIR', 'ASSA ABLOY OPENING *', '00162061']",76.23,Debit,527861.62,True,False
32,09/01,"['ELECTRONIC REMITTANCE - GIR', 'WINSTAR ALUMINIUM M*', '00162093']",836.8,Debit,528698.42,True,False
33,09/01,"['ELECTRONIC REMITTANCE - GIR', 'WELLTECH TRADING SB*', '00162116']",538.3,Debit,529236.72,True,False
34,09/01,"['ELECTRONIC REMITTANCE - GIR', 'PRECISION LOCKWARES*', '00162132']",5063.4,Debit,534300.12,True,False
35,09/01,"['ELECTRONIC REMITTANCE - GIR', 'JEANSEN MARKETING *', '00162163']",2018.0,Debit,536318.12,True,False
36,09/01,"['ELECTRONIC REMITTANCE - GIR', 'SECURETECH CORPORAT*', '00162187']",1495.0,Debit,537813.12,True,False
37,09/01,"['ELECTRONIC REMITTANCE - GIR', 'J & P IMAGING SOLUT*', '00162225']",335.22,Debit,538148.34,True,False
38,09/01,"['TRANSFER FR A/C', 'JAMILAH BINTI SENAW*', 'Dec 19 Claim']",529.4,Debit,538677.74,True,False
39,09/01,['CLEARING CHQ DEP'],150.0,Credit,538527.74,True,False
40,09/01,['CLEARING CHQ DEP'],22350.0,Credit,516177.74,True,False
41,10/01,"['TRANSFER FR A/C', 'TZE & YEE ADVOCATES*', 'T00187-19']",3500.0,Debit,519677.74,True,False
42,10/01,"['TRANSFER FR A/C', 'TZE & YEE ADVOCATES*', 'T00169-19']",5150.0,Debit,524827.74,True,False
43,10/01,"['TRANSFER FR A/C', 'WONG CHIA MAY', 'Dec 19 Claim']",221.7,Debit,525049.44,True,False
44,10/01,"['TRANSFER FR A/C', 'ROSSIDI BIN HARON *', 'Claim']",190.0,Debit,525239.44,True,False
45,10/01,"['TRANSFER FR A/C', 'SD DREAM WORLD SDN *', 'Lingkaran AC']",1985.04,Debit,527224.48,True,False
46,10/01,"['ELECTRONIC REMITTANCE - GIR', 'HLT MAJU TRADING *', '00188127']",720.0,Debit,527944.48,True,False
47,10/01,"['PAYMENT FR A/C', 'AMERICAN EXPRESS CR*', 'XXXX-XXXX-XXXX-369']",4291.44,Debit,532235.92,True,False
48,10/01,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00192763']",4229.99,Debit,536465.91,True,False
49,10/01,"['TRANSFER FR A/C', 'LAI TEE CHIN', 'Advance']",1000.0,Debit,537465.91,True,False
50,11/01,"['TRANSFER FR A/C', 'ROSSIDI BIN HARON *', 'Car repair']",330.0,Debit,537795.91,True,False
51,13/01,"['TRANSFER FR A/C', 'ROSSIDI BIN HARON *', 'Petty Cash', 'Repair WC4037K']",400.0,Debit,538195.91,True,False
52,13/01,['CLEARING CHQ DEP'],69507.5,Credit,468688.41,True,False
53,13/01,['INWARD CLEARING CHQ DEBIT 167742'],50000.0,Debit,518688.41,True,False
54,13/01,"['CMS - CR PYMT MARS', 'CHRB BUILDING MATERI', 'FL200107155073', 'Book Transfer Third']",60.0,Credit,518628.41,True,False
55,14/01,"['PAYMENT FR A/C', 'MAJLIS PERBANDARAN *', 'C02200003055']",4005.0,Debit,522633.41,True,False
56,14/01,"['PAYMENT FR A/C', 'TENAGA NASIONAL BER*', '210045304109']",119.1,Debit,522752.51,True,False
57,14/01,"['PAYMENT FR A/C', 'TENAGA NASIONAL BER*', '210045304000']",298.65,Debit,523051.16,True,False
58,14/01,"['PAYMENT FR A/C', 'TENAGA NASIONAL BER*', '210045303406']",222.9,Debit,523274.06,True,False
59,14/01,"['PAYMENT FR A/C', 'INDAH WATER KONSORT*', '10531549']",180.0,Debit,523454.06,True,False
