,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,632097.29,True,False
1,02/03,['CLEARING CHQ DEP'],5070.0,Credit,627027.29,True,False
2,03/03,['CLEARING CHQ DEP'],279.0,Credit,626748.29,True,False
3,03/03,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', 'BMA515-79TH']",1324.0,Debit,628072.29,True,False
4,03/03,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00061340']",1266.0,Debit,629338.29,True,False
5,03/03,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00061382']",1041.0,Debit,630379.29,True,False
6,03/03,"['PAYMENT FR A/C', 'MERCEDES-BENZ SERVI*', '10108734', 'WD3687D']",2614.0,Debit,632993.29,True,False
7,03/03,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00061443']",455.0,Debit,633448.29,True,False
8,03/03,"['ELECTRONIC REMITTANCE - GIR', 'LNGKARAN SYSTEM AND*', '00061500']",471.0,Debit,633919.29,True,False
9,03/03,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00061550']",660.0,Debit,634579.29,True,False
10,04/03,"['PAYMENT FR A/C', '0320200014401776C11*', 'KUMPULAN WANG SIMPAN', '2003041102260567']",13319.0,Debit,647898.29,True,False
11,04/03,"['PAYMENT FR A/C', '20200304110825_6628*', 'PERTUBUHAN KESELAMAT', '2003041108270712']",904.0,Debit,648802.29,True,False
12,04/03,"['PAYMENT FR A/C', '20200304111434_2475*', 'PERTUBUHAN KESELAMAT', '2003041114350650']",160.8,Debit,648963.09,True,False
13,04/03,"['PAYMENT FR A/C', 'PE4C20001596', 'LEMBAGA HASIL DALAM', '2003041118010144']",8840.9,Debit,657803.99,True,False
14,04/03,['CLEARING CHQ DEP'],2360.0,Credit,655443.99,True,False
15,04/03,['INWARD CLEARING CHQ DEBIT 167740'],5000.0,Debit,660443.99,True,False
