,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,568494.54,True,False
1,01/11,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00015654']",660.0,Debit,569154.54,True,False
2,01/11,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00015696']",455.0,Debit,569609.54,True,False
3,01/11,"['ELECTRONIC REMITTANCE - GIR', 'FORID AHAMAD ABUL M*', '00017408', 'LINGKARAN SYSTEM']",900.0,Debit,570509.54,True,False
4,01/11,"['TRANSFER FR A/C', 'LAI TEE CHIN', 'Salary Oct 19']",14006.85,Debit,584516.39,True,False
5,01/11,"['TRANSFER FR A/C', 'JAMILAH BINTI SENAW*', 'Salary Oct 19']",3611.05,Debit,588127.44,True,False
6,01/11,"['TRANSFER FR A/C', 'CHUAH MEI MEI', 'Salary Oct 19']",4118.7,Debit,592246.14,True,False
7,01/11,"['TRANSFER FR A/C', 'HASHMIR ANUAR B.ABD*', 'Salary Oct 19']",14316.65,Debit,606562.79,True,False
8,01/11,"['TRANSFER FR A/C', 'ZURAIDAH BINTI RAML*', 'Salary Oct 19']",1766.35,Debit,608329.14,True,False
9,01/11,"['TRANSFER FR A/C', 'ROSSIDI BIN HARON *', 'Salary Oct 19']",2802.55,Debit,611131.69,True,False
10,01/11,"['TRANSFER FR A/C', 'SAM KOK MENG', 'Salary Oct 19']",2320.45,Debit,613452.14,True,False
11,01/11,"['TRANSFER FR A/C', 'WONG CHIA MAY', 'Salary Oct 19']",5309.34,Debit,618761.48,True,False
12,01/11,['CLEARING CHQ DEP'],15848.59,Credit,602912.89,True,False
13,01/11,['CLEARING CHQ DEP'],18326.8,Credit,584586.09,True,False
14,02/11,"['TRANSFER FR A/C', 'LOW YIK CHUN', 'Salary Oct 19']",4793.8,Debit,589379.89,True,False
15,02/11,"['TRANSFER FR A/C', 'NURUL HIDAYAH BINTI*', 'Salary Oct 19']",1367.15,Debit,590747.04,True,False
16,02/11,"['TRANSFER FR A/C', 'GAN SHOOK EN', 'Salary Oct 19']",3806.34,Debit,594553.38,True,False
17,02/11,"['TRANSFER FR A/C', 'HO PUI MENG', 'Salary Oct 19']",2543.05,Debit,597096.43,True,False
18,04/11,['219625 18 CLEARING CHQ RTD'],15848.59,Debit,612945.02,True,False
19,04/11,"['TRANSFER FR A/C', 'FITTERS MARKETING S*', 'Jun Jul Aug AC']",25772.3,Debit,638717.32,True,False
20,04/11,"['DEBIT S/C ON INWARD RTN CHQ', 'RTN CHQ', 'DEBIT S/C ON INWARD']",1.0,Debit,638718.32,True,False
21,04/11,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', 'BMA515', '75TH 14.11.2019']",1324.0,Debit,640042.32,True,False
22,04/11,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00048990', '53TH 17.11.2019']",1266.0,Debit,641308.32,True,False
23,04/11,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00049034', '46TH 13.11.2019']",1041.0,Debit,642349.32,True,False
24,04/11,"['PAYMENT FR A/C', 'MERCEDES-BENZ SERVI*', '10108734', 'WD3687D']",2614.0,Debit,644963.32,True,False
25,04/11,"['ELECTRONIC REMITTANCE - GIR', 'LNGKARAN SYSTEM AND*', '00049095', '21TH 27.11.2019']",471.0,Debit,645434.32,True,False
26,04/11,"['ELECTRONIC REMITTANCE - GIR', 'SYABAS / AIR SELANG*', '00005240', 'Lingkaran Syst']",36.0,Debit,645470.32,True,False
27,04/11,"['INTER-BANK PAYMENT INTO A/C', 'TWENTY TWO LAB SDN', 'INV 0025 1019', 'Spec bina']",48.0,Credit,645422.32,True,False
28,05/11,"['PAYMENT FR A/C', '1120190014401776C11*', 'KUMPULAN WANG SIMPAN', '1911051245180875']",12764.0,Debit,658186.32,True,False
29,05/11,"['PAYMENT FR A/C', '20191105125129_5206*', 'PERTUBUHAN KESELAMAT', '1911051251030279']",899.5,Debit,659085.82,True,False
30,05/11,"['PAYMENT FR A/C', '20191105125558_2350*', 'PERTUBUHAN KESELAMAT', '1911051255320233']",160.0,Debit,659245.82,True,False
31,05/11,"['PAYMENT FR A/C', 'PE5K19003114', 'LEMBAGA HASIL DALAM', '1911051301270629']",6998.95,Debit,666244.77,True,False
32,05/11,"['TRANSFER FR A/C', 'SAM KOK MENG', 'Petty Cash']",1100.0,Debit,667344.77,True,False
33,05/11,"['TRANSFER FR A/C', 'SD DREAM WORLD SDN *', 'SDIV12800418']",29320.0,Debit,696664.77,True,False
34,06/11,"['ELECTRONIC REMITTANCE - GIR', 'WINSTAR ALUMINIUM M*', '00091706']",1778.0,Debit,698442.77,True,False
35,06/11,"['ELECTRONIC REMITTANCE - GIR', 'DHL EXPRESS MALAYSI*', '00095308']",5118.6,Debit,703561.37,True,False
36,06/11,"['TRANSFER FR A/C', 'LAI TEE CHIN', 'exchange', 'to cheque HLB364684']",8000.0,Debit,711561.37,True,False
37,06/11,"['ELECTRONIC REMITTANCE - GIR', 'NG CHUAN PUAN FURNI*', '00102090']",1974.0,Debit,713535.37,True,False
38,06/11,['CLEARING CHQ DEP'],282.0,Credit,713253.37,True,False
39,06/11,['CLEARING CHQ DEP'],20000.0,Credit,693253.37,True,False
40,06/11,['CLEARING CHQ DEP'],5758.56,Credit,687494.81,True,False
41,07/11,"['TRANSFER FR A/C', 'PER. PENDUDUK GRAVI*', 'Inv No 0075', 'No. 15']",2400.0,Debit,689894.81,True,False
42,07/11,"['ELECTRONIC REMITTANCE - GIR', 'J & P IMAGING SOLUT*', '00128868']",395.57,Debit,690290.38,True,False
43,07/11,"['INTER-BANK PAYMENT INTO A/C', 'XING YANG CONSTRUCT', '1142535PAAA775', ""SEPT'2019 PROGRESS C""]",14129.82,Credit,676160.56,True,False
44,08/11,['CLEARING CHQ DEP'],8000.0,Credit,668160.56,True,False
45,08/11,"['TRANSFER FR A/C', 'ROSSIDI BIN HARON *', 'Claim']",250.0,Debit,668410.56,True,False
46,08/11,"['TRANSFER FR A/C', 'SAM KOK MENG', 'Claim']",426.2,Debit,668836.76,True,False
47,08/11,"['TRANSFER FR A/C', 'LOW YIK CHUN', 'Oct Claim 19']",755.3,Debit,669592.06,True,False
48,08/11,"['TRANSFER FR A/C', 'HO PUI MENG', 'Medical Fee']",50.0,Debit,669642.06,True,False
49,08/11,"['TRANSFER FR A/C', 'LOW YIK CHUN', 'Salam Labour', 'Project 8 Conlay']",600.0,Debit,670242.06,True,False
50,08/11,"['TRANSFER FR A/C', 'LOW YIK CHUN', '8 Conlay', 'Sundry Expenses']",1000.0,Debit,671242.06,True,False
51,08/11,"['TRANSFER FR A/C', 'WONG CHIA MAY', 'Claim']",582.65,Debit,671824.71,True,False
