,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,738736.11,True,False
1,01/10,"['TT CREDIT WITHOUT FLOAT', 'CHONG MEI LING', '0', '0']",200000.0,Credit,538736.11,True,False
2,01/10,"['TRANSFER FR A/C', 'JAMILAH BINTI SENAW*', 'Salary Sept 19']",3610.55,Debit,542346.66,True,False
3,01/10,"['TRANSFER FR A/C', 'CHUAH MEI MEI', 'Salary Sept 19']",4117.75,Debit,546464.41,True,False
4,01/10,"['TRANSFER FR A/C', 'ZURAIDAH BINTI RAML*', 'Salary Sept 19']",1766.35,Debit,548230.76,True,False
5,01/10,"['TRANSFER FR A/C', 'ROSSIDI BIN HARON *', 'Salary Sept 19']",2802.55,Debit,551033.31,True,False
6,01/10,"['TRANSFER FR A/C', 'SAM KOK MENG', 'Salary Sept 19']",2320.45,Debit,553353.76,True,False
7,01/10,"['TRANSFER FR A/C', 'WONG CHIA MAY', 'Salary Sept 19']",5166.98,Debit,558520.74,True,False
8,01/10,"['TRANSFER FR A/C', 'GAN SHOOK EN', 'Salary Sept 19']",3440.39,Debit,561961.13,True,False
9,01/10,"['TRANSFER FR A/C', 'LOW YIK CHUN', 'Salary Sept 19']",4792.85,Debit,566753.98,True,False
10,01/10,"['TRANSFER FR A/C', 'NURUL HIDAYAH BINTI*', 'Salary Sept 19']",1367.15,Debit,568121.13,True,False
11,01/10,"['TRANSFER FR A/C', 'HO PUI MENG', 'Salary Sept 19']",2366.45,Debit,570487.58,True,False
12,01/10,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00005323']",13793.29,Debit,584280.87,True,False
13,01/10,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00015057']",660.0,Debit,584940.87,True,False
14,01/10,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00015104']",455.0,Debit,585395.87,True,False
15,01/10,"['TRANSFER FR A/C', 'LAI TEE CHIN', 'claim']",2000.0,Debit,587395.87,True,False
16,01/10,"['MISC NON CASH DEBIT', 'N1/CTY FACADE BUILD*', '1444274T000001', '0']",100009.0,Debit,687404.87,True,False
17,01/10,['CHEQUE PROCESSING FEE'],0.5,Debit,687405.37,True,False
18,02/10,"['ELECTRONIC REMITTANCE - GIR', 'SERAI HARMONI SB *', '00028506']",3355.0,Debit,690760.37,True,False
19,02/10,['CLEARING CHQ DEP'],2586.37,Credit,688174.0,True,False
20,02/10,['CLEARING CHQ DEP'],225.0,Credit,687949.0,True,False
21,02/10,"['PAYMENT FR A/C', 'TELEKOM MALAYSIA BH*', '1037126412']",336.1,Debit,688285.1,True,False
22,03/10,"['PAYMENT FR A/C', '1020190014401776C10*', 'KUMPULAN WANG SIMPAN', '1910031002150953']",12565.0,Debit,700850.1,True,False
23,03/10,"['PAYMENT FR A/C', '20191003100522_4881*', 'PERTUBUHAN KESELAMAT', '1910031006560643']",895.0,Debit,701745.1,True,False
24,03/10,"['PAYMENT FR A/C', '20191003100916_2321*', 'PERTUBUHAN KESELAMAT', '1910031010500687']",159.2,Debit,701904.3,True,False
25,03/10,"['PAYMENT FR A/C', 'PE3J19000821', 'LEMBAGA HASIL DALAM', '1910031017580113']",6943.5,Debit,708847.8,True,False
26,03/10,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', 'BMA515-74TH']",1324.0,Debit,710171.8,True,False
27,03/10,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00055432']",1266.0,Debit,711437.8,True,False
28,03/10,"['ELECTRONIC REMITTANCE - GIR', 'LINGKARAN SYSTEM AN*', '00055454']",1041.0,Debit,712478.8,True,False
29,03/10,"['ELECTRONIC REMITTANCE - GIR', 'LNGKARAN SYSTEM AND*', '00055487']",471.0,Debit,712949.8,True,False
30,03/10,"['PAYMENT FR A/C', 'MERCEDES-BENZ SERVI*', '10108734', 'WD3687D']",2614.0,Debit,715563.8,True,False
31,03/10,['INWARD CLEARING CHQ DEBIT 167723'],6454.6,Debit,722018.4,True,False
32,04/10,['CHEQUE PROCESSING FEE'],0.5,Debit,722018.9,True,False
33,07/10,['CLEARING CHQ DEP'],166229.0,Credit,555789.9,True,False
34,08/10,['CLEARING CHQ DEP'],4400.0,Credit,551389.9,True,False
35,08/10,"['TRANSFER FR A/C', 'LAI TEE CHIN', 'Advance']",6000.0,Debit,557389.9,True,False
36,09/10,"['TRANSFER FR A/C', 'LAI TEE CHIN', 'Bal Salary 919']",5005.25,Debit,562395.15,True,False
37,09/10,"['TRANSFER FR A/C', 'HASHMIR ANUAR B.ABD*', 'Salary Sep 19']",14315.05,Debit,576710.2,True,False
38,09/10,"['TRANSFER FR A/C', 'ROSSIDI BIN HARON *', 'Claim 3.10.19']",210.0,Debit,576920.2,True,False
39,09/10,"['TRANSFER FR A/C', 'SAM KOK MENG', '3.10.19 Claim']",277.0,Debit,577197.2,True,False
40,09/10,"['TRANSFER FR A/C', 'HASHMIR ANUAR B.ABD*', 'MRCB Tender']",1005.5,Debit,578202.7,True,False
41,09/10,"['TRANSFER FR A/C', 'HASHMIR ANUAR B.ABD*', 'Pay Back Bal']",10000.0,Debit,588202.7,True,False
42,09/10,"['ELECTRONIC REMITTANCE - GIR', 'OTM GROUP SDN BHD *', '00154393', '19501 02 03 19514']",8968.13,Debit,597170.83,True,False
43,09/10,['CASH WITHDRAWAL'],87000.0,Debit,684170.83,True,False
44,10/10,"['ELECTRONIC REMITTANCE - GIR', 'DHL EXPRESS MALAYSI*', '00173886']",3568.46,Debit,687739.29,True,False
45,10/10,"['TRANSFER FR A/C', 'LOW YIK CHUN', 'Sep 19 Claim']",761.63,Debit,688500.92,True,False
46,10/10,"['TRANSFER FR A/C', 'LOW YIK CHUN', 'Site Exp', '8 Conlay']",1000.0,Debit,689500.92,True,False
47,10/10,"['TRANSFER FR A/C', 'JAMILAH BINTI SENAW*', 'Sep 19 Claim']",220.2,Debit,689721.12,True,False
48,10/10,"['TRANSFER FR A/C', 'CHUAH MEI MEI', 'Sep 19 Claim']",100.0,Debit,689821.12,True,False
49,10/10,"['TRANSFER FR A/C', 'CHUAH MEI MEI', 'Petty Cash']",2000.0,Debit,691821.12,True,False
50,10/10,"['TRANSFER FR A/C', 'LOW YIK CHUN', 'Salam Labour']",2050.0,Debit,693871.12,True,False
51,10/10,"['ELECTRONIC REMITTANCE - GIR', 'VIA TAG ENTERPRISE *', '00173985']",4570.0,Debit,698441.12,True,False
52,10/10,"['TRANSFER FR A/C', 'HASHMIR ANUAR B.ABD*', 'Sep 19 Claim']",749.8,Debit,699190.92,True,False
53,10/10,['CHEQUE PROCESSING FEE'],0.5,Debit,699191.42,True,False
54,10/10,"['INTER-BANK PAYMENT INTO A/C', 'XING YANG CONSTRUCT', '1142535PAAA633', 'SUBCONTRACTOR PROJEC']",9548.12,Credit,689643.3,True,False
55,11/10,['INWARD CLEARING CHQ DEBIT 167719'],5000.0,Debit,694643.3,True,False
56,14/10,"['TRANSFER FR A/C', 'SD DREAM WORLD SDN *', 'SDIV12800418']",11900.67,Debit,706543.97,True,False
57,14/10,['CHEQUE PROCESSING FEE'],0.5,Debit,706544.47,True,False
58,15/10,"['TRANSFER FR A/C', 'ROSSIDI BIN HARON *', 'Petty Cash']",900.0,Debit,707444.47,True,False
59,15/10,"['TRANSFER FR A/C', 'ROSSIDI BIN HARON *', 'Claim']",320.0,Debit,707764.47,True,False
60,15/10,"['TRANSFER FR A/C', 'WONG CHIA MAY', 'Claim Sep 19']",260.2,Debit,708024.67,True,False
61,15/10,"['TRANSFER FR A/C', 'SAM KOK MENG', 'Claim']",382.0,Debit,708406.67,True,False
62,15/10,"['PAYMENT FR A/C', 'INDAH WATER KONSORT*', '10531549']",8.0,Debit,708414.67,True,False
63,15/10,"['PAYMENT FR A/C', 'TENAGA NASIONAL BER*', '210045304109']",129.85,Debit,708544.52,True,False
64,15/10,"['PAYMENT FR A/C', 'TENAGA NASIONAL BER*', '210045304000']",362.65,Debit,708907.17,True,False
65,15/10,"['PAYMENT FR A/C', 'TENAGA NASIONAL BER*', '210045303406']",237.85,Debit,709145.02,True,False
66,16/10,"['ELECTRONIC REMITTANCE -', 'CLOONE CORPORATION *', '00252285']",2650.0,Debit,711795.02,True,False
67,16/10,"['ELECTRONIC REMITTANCE -', 'YAYASAN NANYANG PRE*', '00252511']",300.0,Debit,712095.02,True,False
68,16/10,"['PAYMENT FR A/C', 'AMERICAN EXPRESS CR*', 'XXXX-XXXX-XXXX-369']",2499.43,Debit,714594.45,True,False
69,16/10,"['ELECTRONIC REMITTANCE -', 'LINGKARAN SYSTEM AN*', '00255748']",4022.73,Debit,718617.18,True,False
