,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit'],,,116134.55,False,False
1,,['Jumlah Kredit'],,,45930.75,False,False
2,,['Balance From Last Statement'],,,130615.43,False,False
3,01/04,"['DEP-ECP 185924', 'IMEPS20200401100002057863063 CIM', 'TNG DIGITAL SDN BHD- COLLECTION ACCOUNT CIM', 'UT EWPV001408 EP087826']",1.0,Credit,130616.43,False,False
4,01/04,"['TSFR FUND CR-ATM/EFT 155205', '3073XXXXXX WONG WAI YEE SALES']",4557.4,Credit,135173.83,False,False
5,01/04,"['TSFR FUND DR-ATM/EFT 394052', '3073XXXXXX WONG WAI YEE', 'YAT HENG TRADING']",19605.6,Debit,115568.23,False,False
6,01/04,"['GIRO PYMT-ATM/EFT 448919', 'JOMPAY - 741N5377 - TENAGA NASIONAL BERH']",3173.9,Debit,112394.33,False,False
7,,['Balance C/F'],,,112394.33,False,False
8,,['Balance B/F'],,,112394.33,False,False
9,01/04,"['GIRO PYMT-ATM/EFT 463340', 'JOMPAY - 741S6K9A - TENAGA NASIONAL BERH']",539.15,Debit,111855.18,False,False
10,01/04,"['GIRO PYMT-ATM/EFT 501071', 'JOMPAY - 74188KSL - TENAGA NASIONAL BERH']",18484.15,Debit,93371.03,False,False
11,02/04,"['INSTANT TRSF CR 018116 TEH TSE CHIET', 'FOODS']",45.0,Credit,93416.03,False,False
12,03/04,"['LOAN PYMT-ATM/EFT 041078', '8474683121/90010']",1569.0,Debit,91847.03,False,False
13,03/04,"['TSFR FUND DR-ATM/EFT 077144', '3073XXXXXX WONG WAI YEE', 'MARCH SALARIES']",44755.75,Debit,47091.28,False,False
14,03/04,"['TSFR FUND DR-ATM/EFT 212277', '3073XXXXXX WONG WAI YEE', 'VEGGIES PARADISE MAR']",1056.1,Debit,46035.18,False,False
15,04/04,"['INSTANT TRSF CR 049962 GOH HOOI YEE', 'LUNCH ORDER MISS GOH']",156.0,Credit,46191.18,False,False
16,04/04,"['TSFR FUND CR-ATM/EFT 273055', '3073XXXXXX WONG WAI YEE SALES']",208.5,Credit,46399.68,False,False
17,04/04,"['TSFR FUND CR-ATM/EFT 585284', '3073XXXXXX WONG WAI YEE SALES']",8025.7,Credit,54425.38,False,False
18,04/04,"['TSFR FUND CR-ATM/EFT 640863', '4137XXXXXX BAK YUET NGOH (MS)', 'EVELYN BAK']",85.0,Credit,54510.38,False,False
19,04/04,"['TSFR FUND DR-ATM/EFT 980299', '3073XXXXXX WONG WAI YEE', 'VEGGIES PARADISE INV']",66.5,Debit,54443.88,False,False
20,08/04,"['TSFR FUND DR-ATM/EFT 529722', '3073XXXXXX WONG WAI YEE', 'ONE PING INTERNATION']",507.0,Debit,53936.88,False,False
21,09/04,"['INSTANT TRSF CR 021040 CHUA TENG HUI', 'BILL PAYMENT', 'FW SEAFOOD RESTAURANT JINJANG']",110.0,Credit,54046.88,False,False
22,21/04,"['TSFR FUND DR-ATM/EFT 020519', '3128XXXXXX JUSENG HUAT TRADING SDN', 'INVI001113']",506.0,Debit,53540.88,False,False
23,22/04,"['TSFR FUND CR-ATM/EFT 295882', '3800XXXXXX WONG WAI YEE SALES']",5446.3,Credit,58987.18,False,False
24,22/04,"['TSFR FUND CR-ATM/EFT 331440', '3800XXXXXX WONG WAI YEE SALES']",5286.95,Credit,64274.13,False,False
25,,['Balance C/F'],,,64274.13,False,False
26,,['Balance B/F'],,,64274.13,False,False
27,22/04,"['TSFR FUND CR-ATM/EFT 351990', '3800XXXXXX WONG WAI YEE SALES']",5154.0,Credit,69428.13,False,False
28,22/04,"['TSFR FUND CR-ATM/EFT 363242', '3800XXXXXX WONG WAI YEE SALES']",6054.9,Credit,75483.03,False,False
29,29/04,"['DEP-ECP 126794', 'IMEPS20200429100002270765905 MBB', 'PERKESO SIP-BAYARAN MBB', 'PRIHATIN PKS1200 - BFL200428151920 PERKESO SI', 'P-BAYARAN']",10800.0,Credit,86283.03,False,False
30,29/04,"['TSFR FUND DR-ATM/EFT 897332', '3800XXXXXX WONG WAI YEE APRIL SALARY']",15000.0,Debit,71283.03,False,False
31,30/04,"['DR-ECP 013207 2004301050520984', 'KUMPULAN WANG SIMPANAN PEKERJA', '0420200019889750C112489502', 'FPX - MBB0228']",9299.0,Debit,61984.03,False,False
32,30/04,"['DR-ECP 092521 2004301058070406', 'LEMBAGA HASIL DALAM NEGERI E-C', 'CP2004022222 FPX - BCBB0235']",800.0,Debit,61184.03,False,False
33,30/04,"['DR-ECP 937400 2004301043450558', 'PERTUBUHAN KESELAMATAN SOSIAL', '20200430104345_7203797 FPX - RHB0218']",662.0,Debit,60522.03,False,False
34,30/04,"['DR-ECP 955637 2004301045380277', 'PERTUBUHAN KESELAMATAN SOSIAL', '20200430104538_25410586 FPX - RHB0218']",110.4,Debit,60411.63,False,False
35,,['Closing Balance In This Statement'],,,60411.63,False,False
