,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit'],,,255733.41,False,False
1,,['Jumlah Kredit'],,,568930.86,False,False
2,,['Balance From Last Statement'],,,27046.96,False,False
3,01/01,"['DEP-MERCHANT PYMT 6600572574', '190719 298.50 190718 96.66']",395.16,Credit,27442.12,False,False
4,01/01,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190755 766.38 190754 135.33']",901.71,Credit,28343.83,False,False
5,01/01,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190823 1642.39']",1642.39,Credit,29986.22,False,False
6,02/01,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190824 727.59 190825 802.81']",1530.4,Credit,31516.62,False,False
7,,['Balance C/F'],,,31516.62,False,False
8,,['Balance B/F'],,,31516.62,False,False
9,02/01,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190756 2601.63 190757 424.81']",3026.44,Credit,34543.06,False,False
10,02/01,"['DEP-ECP 215694', 'IMEPS20200102100002175569421 CIT', 'FAVE ASIA TECHNOLOGIES SDN BHD CIT', 'INTERBANK GIRO FAVE-MYR396LFXQ']",299.91,Credit,34842.97,False,False
11,02/01,"['TSFR FUND CR-ATM/EFT 141919', '3800XXXXXX WONG WAI YEE SALES']",7744.15,Credit,42587.12,False,False
12,02/01,"['TSFR FUND DR-ATM/EFT 230665', '3198XXXXXX SOARLEX ENGINEERING S/B', 'INV100721']",830.0,Debit,41757.12,False,False
13,02/01,"['INSTANT TRSF DR 283612', 'FVV UNICORN ENTERPRISE INV1464', 'STATIONERY']",450.0,Debit,41307.12,False,False
14,02/01,"['GIRO PYMT-ATM/EFT 801716', 'JOMPAY - 712NIVHV - TENAGA NASIONAL BERH']",15139.3,Debit,26167.82,False,False
15,03/01,"['DEP-MERCHANT PYMT 6600572574', '190720 995.00']",995.0,Credit,27162.82,False,False
16,03/01,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190758 553.26 190759 903.44']",1456.7,Credit,28619.52,False,False
17,03/01,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190827 605.85 190826 1598.60']",2204.45,Credit,30823.97,False,False
18,03/01,"['TSFR FUND CR-ATM/EFT 444256', '3800XXXXXX WONG WAI YEE SALES']",2020.15,Credit,32844.12,False,False
19,04/01,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190760 95.88']",95.88,Credit,32940.0,False,False
20,04/01,"['DEP-MERCHANT PYMT 6600572574', '190721 426.31']",426.31,Credit,33366.31,False,False
21,04/01,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190828 173.63 190829 4257.02']",4430.65,Credit,37796.96,False,False
22,04/01,"['TSFR FUND DR-ATM/EFT 126004', '3073XXXXXX WONG WAI YEE', 'DIRECTOR STAFF SALAR']",20970.55,Debit,16826.41,False,False
23,04/01,"['GIRO PYMT-ATM/EFT 178319', 'JOMPAY - 714F0P0V - TM TELEPHONE']",183.15,Debit,16643.26,False,False
24,,['Balance C/F'],,,16643.26,False,False
25,,['Balance B/F'],,,16643.26,False,False
26,05/01,"['DEP-MERCHANT PYMT 6600572574', '190722 295.52']",295.52,Credit,16938.78,False,False
27,05/01,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190830 2883.55']",2883.55,Credit,19822.33,False,False
28,05/01,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190762 4042.03 190761 108.24']",4150.27,Credit,23972.6,False,False
29,05/01,"['TSFR FUND CR-ATM/EFT 924492', 'SOH FAI YEE 1234 INSTANT TRANSFER']",600.0,Credit,24572.6,False,False
30,06/01,"['DEP-MERCHANT PYMT 6600572574', '190723 199.00 190724 1171.26']",1370.26,Credit,25942.86,False,False
31,06/01,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190764 137.10 190763 4088.68']",4225.78,Credit,30168.64,False,False
