,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit'],,,312316.04,False,False
1,,['Jumlah Kredit'],,,320292.08,False,False
2,,['Balance From Last Statement'],,,19070.92,False,False
3,01/12,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190721 986.57 190720 383.04']",1369.61,Credit,20440.53,False,False
4,01/12,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190781 1624.75 190780 414.58']",2039.33,Credit,22479.86,False,False
5,01/12,"['TSFR FUND DR-ATM/EFT 386682', '3073XXXXXX WONG WAI YEE', 'OPERATING EXPENSES']",9829.7,Debit,12650.16,False,False
6,02/12,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190722 756.45']",756.45,Credit,13406.61,False,False
7,,['Balance C/F'],,,13406.61,False,False
8,,['Balance B/F'],,,13406.61,False,False
9,02/12,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190782 1136.48']",1136.48,Credit,14543.09,False,False
10,02/12,"['TSFR FUND CR-ATM/EFT 164606', '3073XXXXXX WONG WAI YEE SALES']",3384.25,Credit,17927.34,False,False
11,02/12,"['TSFR FUND CR-ATM/EFT 589102', '3800XXXXXX WONG WAI YEE SALES']",29657.9,Credit,47585.24,False,False
12,03/12,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190723 104.19']",104.19,Credit,47689.43,False,False
13,03/12,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190783 6124.80']",6124.8,Credit,53814.23,False,False
14,04/12,"['DEP-MERCHANT PYMT 6600572574', '190692 298.50']",298.5,Credit,54112.73,False,False
15,04/12,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190724 417.89']",417.89,Credit,54530.62,False,False
16,04/12,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190785 559.49 190784 271.54']",831.03,Credit,55361.65,False,False
17,04/12,"['DEP-ECP 212537', 'IMEPS20191204100002176266178 CIT', 'FAVE ASIA TECHNOLOGIES SDN BHD CIT', 'INTERBANK GIRO FAVE-MYN026PC3I']",223.16,Credit,55584.81,False,False
18,04/12,"['TSFR FUND CR-ATM/EFT 209723', '3800XXXXXX WONG WAI YEE SALES']",11807.7,Credit,67392.51,False,False
19,04/12,"['TSFR FUND DR-ATM/EFT 727184', '3073XXXXXX WONG WAI YEE NOV SALARY']",40613.35,Debit,26779.16,False,False
20,04/12,"['TSFR FUND DR-ATM/EFT 847921', '3800XXXXXX WONG WAI YEE', 'NOV FOREIGNERS WAGES']",21962.1,Debit,4817.06,False,False
21,05/12,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190725 113.78']",113.78,Credit,4930.84,False,False
22,05/12,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190786 593.10 190787 504.13']",1097.23,Credit,6028.07,False,False
23,,['Balance C/F'],,,6028.07,False,False
24,,['Balance B/F'],,,6028.07,False,False
25,06/12,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190788 163.50']",163.5,Credit,6191.57,False,False
26,06/12,"['DEP-MERCHANT PYMT 6600572574', '190694 597.00 190693 228.30']",825.3,Credit,7016.87,False,False
