,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit'],,,452972.3,False,False
1,,['Jumlah Kredit'],,,339758.86,False,False
2,,['Balance From Last Statement'],,,340244.41,False,False
3,01/02,"['DEP-MERCHANT PYMT 6600572574', '190756 64.68 190755 1539.07']",1603.75,Credit,341848.16,False,False
4,01/02,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190802 6553.75']",6553.75,Credit,348401.91,False,False
5,01/02,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190875 3422.24 190876 14871.09']",18293.33,Credit,366695.24,False,False
6,01/02,"['TSFR FUND DR-ATM/EFT 356995', '3105XXXXXX RESOURCES MARINE PDT MKT', 'DEC PYMT']",17442.5,Debit,349252.74,False,False
7,,['Balance C/F'],,,349252.74,False,False
8,,['Balance B/F'],,,349252.74,False,False
9,01/02,"['TSFR FUND DR-ATM/EFT 372024', '3185XXXXXX EZIP KLEEN ENTERPRISE', 'CS738654 404921']",717.0,Debit,348535.74,False,False
10,01/02,"['TSFR FUND DR-ATM/EFT 481821', '3124XXXXXX INDAH KEJORA SDN BHD', 'JAN RENTAL']",15000.0,Debit,333535.74,False,False
11,01/02,"['TSFR FUND DR-ATM/EFT 494323', '3096XXXXXX BIG SEAFOOD MARKETING SD', 'DEC PARTIAL PYMT']",18000.0,Debit,315535.74,False,False
12,01/02,"['INSTANT TRSF DR 508048 AIK FAA TRADI', 'DEC PYMT PURCHASE']",7920.6,Debit,307615.14,False,False
13,01/02,"['TSFR FUND DR-ATM/EFT 524362', '3144XXXXXX WENG WAH COMMERCIAL LAUN', 'DEC PYMT']",1231.1,Debit,306384.04,False,False
14,01/02,"['INSTANT TRSF DR 536702', 'OCEAN COOL SDN BHD DEC PYMT PURCHASE']",313.6,Debit,306070.44,False,False
15,01/02,"['INSTANT TRSF DR 542739 CHIP JUN LPG', 'DEC PYMT PURCHASE']",3918.7,Debit,302151.74,False,False
16,02/02,"['DEP-MERCHANT PYMT 6600572574', '190757 1477.23']",1477.23,Credit,303628.97,False,False
17,02/02,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190803 2435.81']",2435.81,Credit,306064.78,False,False
18,02/02,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190877 12844.76']",12844.76,Credit,318909.54,False,False
19,03/02,"['DEP-MERCHANT PYMT 6600572574', '190758 528.74 190759 1057.04']",1585.78,Credit,320495.32,False,False
20,03/02,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190805 7334.37 190804 1377.18']",8711.55,Credit,329206.87,False,False
21,03/02,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190878 5425.33 190879 9714.92']",15140.25,Credit,344347.12,False,False
22,03/02,"['TSFR FUND CR-ATM/EFT 130030', '3207XXXXXX TIN YOKE KWAN', 'DEPOSIT PACKAGE 988']",600.0,Credit,344947.12,False,False
23,03/02,"['TSFR FUND CR-ATM/EFT 579422', '3198XXXXXX FULLWEALTH SEAFOOD RESTA', 'SALES']",29825.55,Credit,374772.67,False,False
24,,['Balance C/F'],,,374772.67,False,False
25,,['Balance B/F'],,,374772.67,False,False
26,03/02,"['TSFR FUND CR-ATM/EFT 600145', '3073XXXXXX WONG WAI YEE SALES']",6460.7,Credit,381233.37,False,False
27,03/02,"['GIRO PYMT-ATM/EFT 654036', 'JOMPAY - 723DVXFQ - MAXIS']",586.2,Debit,380647.17,False,False
28,03/02,"['CR CARD PYMT-ATM/EFT 658101', '4813870012832106&&']",341.0,Debit,380306.17,False,False
29,03/02,"['INSTANT TRSF DR 684850 WONG SC/Y C L', 'FEB RENTAL HOSTEL']",1300.0,Debit,379006.17,False,False
30,03/02,"['LOAN PYMT-ATM/EFT 714056', '8474683121/90010']",1569.0,Debit,377437.17,False,False
31,03/02,"['GIRO PYMT-ATM/EFT 744761', 'JOMPAY - 723PKK4J - SYABAS / AIR SELANGO']",636.3,Debit,376800.87,False,False
32,03/02,"['TSFR FUND DR-ATM/EFT 757007', '3073XXXXXX WONG WAI YEE', 'JAN DIRECTOR FEES']",3000.0,Debit,373800.87,False,False
33,03/02,"['TSFR FUND DR-ATM/EFT 781373', '3096XXXXXX BIG SEAFOOD MARKETING SD', 'DEC PYMT']",10237.7,Debit,363563.17,False,False
34,03/02,"['TSFR FUND DR-ATM/EFT 842572', '3073XXXXXX WONG WAI YEE JAN SALARY']",47461.6,Debit,316101.57,False,False
35,03/02,"['TSFR FUND DR-ATM/EFT 858063', '3128XXXXXX JUSENG HUAT TRADING SDN', 'PURCHASE']",1050.0,Debit,315051.57,False,False
36,03/02,"['TSFR FUND DR-ATM/EFT 894331', '3073XXXXXX WONG WAI YEE JAN WAGES']",20260.2,Debit,294791.37,False,False
37,04/02,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190807 6322.20 190806 1502.37']",7824.57,Credit,302615.94,False,False
38,04/02,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190881 8252.59 190880 1471.68']",9724.27,Credit,312340.21,False,False
39,04/02,['DEP-CASH CDT 1416 019758'],1950.0,Credit,314290.21,False,False
40,04/02,"['TSFR FUND CR-ATM/EFT 064512', '3073XXXXXX WONG WAI YEE SALES']",5788.95,Credit,320079.16,False,False
41,04/02,"['TSFR FUND CR-ATM/EFT 354306', '3073XXXXXX WONG WAI YEE SALES']",1904.7,Credit,321983.86,False,False
42,05/02,"['DEP-MERCHANT PYMT 6600572574', '190760 147.11 190761 170.34']",317.45,Credit,322301.31,False,False
43,05/02,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190808 290.67 190809 1678.42']",1969.09,Credit,324270.4,False,False
44,,['Balance C/F'],,,324270.4,False,False
45,,['Balance B/F'],,,324270.4,False,False
46,05/02,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190882 2647.75']",2647.75,Credit,326918.15,False,False
47,05/02,"['INSTANT TRSF CR 014866 CHIOK CHON HOO', 'BILL PAYMENT ANNUAL DINNER DEPOSIT']",600.0,Credit,327518.15,False,False
48,05/02,"['TSFR FUND DR-ATM/EFT 480778', '3800XXXXXX WONG WAI YEE', 'LOKE KHAI WENG BONUS']",10000.0,Debit,317518.15,False,False
49,05/02,"['TSFR FUND DR-ATM/EFT 488688', '3800XXXXXX WONG WAI YEE', 'COMPANY ANGPAU']",1000.0,Debit,316518.15,False,False
50,05/02,"['TSFR FUND DR-ATM/EFT 546771', '3800XXXXXX WONG WAI YEE', 'ANGPAU FOR STAFFS']",1000.0,Debit,315518.15,False,False
51,05/02,"['TSFR FUND DR-ATM/EFT 585738', '3800XXXXXX WONG WAI YEE 2019 BONUS']",28770.0,Debit,286748.15,False,False
52,06/02,"['DEP-MERCHANT PYMT 6600572574', '190762 926.05']",926.05,Credit,287674.2,False,False
53,06/02,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190811 1058.78 190810 80.46']",1139.24,Credit,288813.44,False,False
54,06/02,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190883 579.21 190884 7453.48']",8032.69,Credit,296846.13,False,False
55,06/02,"['INSTANT TRSF CR 009163 LEE SUH LING', 'FUND TRANSFER']",600.0,Credit,297446.13,False,False
56,07/02,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190886 3112.74 190885 1424.68']",4537.42,Credit,301983.55,False,False
57,07/02,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190813 516.44 190812 5563.33']",6079.77,Credit,308063.32,False,False
58,07/02,"['TSFR FUND CR-ATM/EFT 501796', '3815XXXXXX WONG WAI YEE SALES']",4253.35,Credit,312316.67,False,False
59,07/02,"['INSTANT TRSF DR 186545 WONG WAI YEE', 'SENG NGIT TONG RENOVATION PYMT']",11898.0,Debit,300418.67,False,False
60,07/02,"['TSFR FUND DR-ATM/EFT 220601', '3075XXXXXX FOOK KEE SDN BHD', 'INV8171061919']",9644.0,Debit,290774.67,False,False
61,,['Balance C/F'],,,290774.67,False,False
62,,['Balance B/F'],,,290774.67,False,False
63,07/02,"['INSTANT TRSF DR 278749', 'TIAMPAU TRADING DEC PYMT PURCHASE']",3565.0,Debit,287209.67,False,False
64,07/02,"['INSTANT TRSF DR 296293 DIZZAY ENTERP', 'CS14764 PEST CONTROL']",220.0,Debit,286989.67,False,False
65,07/02,"['TSFR FUND DR-ATM/EFT 305937', '3129XXXXXX KUM THIM FOOD INDUSTRIES', 'DEC PYMT']",2006.0,Debit,284983.67,False,False
66,07/02,"['INSTANT TRSF DR 325142', 'HAI FONG FROZEN FOOD DEC PYMT', 'PURCHASE']",8456.0,Debit,276527.67,False,False
67,07/02,"['INSTANT TRSF DR 444704', 'AJINOMOTO (MALAYSIA)', 'INV87453 1300025808 PURCHASE']",588.5,Debit,275939.17,False,False
68,07/02,"['INSTANT TRSF DR 450245', 'HUNG KEE TRADING DEC PYMT PURCHASE']",1423.0,Debit,274516.17,False,False
69,07/02,"['INSTANT TRSF DR 455945 CHOP KONG HAK', 'INV CKH66963 PURCHASE']",2044.2,Debit,272471.97,False,False
70,07/02,"['INSTANT TRSF DR 461115 PERNIAGAAN MA', 'DEC PYMT PURCHASE']",1824.0,Debit,270647.97,False,False
71,07/02,"['INSTANT TRSF DR 470861 SY PERN JAYA', 'DEC PYMT PURCHASE']",3060.0,Debit,267587.97,False,False
72,07/02,"['INSTANT TRSF DR 481171', 'ONE INDULGENCE SDN BHD DEC PYMT', 'PURCHASE']",1080.0,Debit,266507.97,False,False
73,07/02,"['TSFR FUND DR-ATM/EFT 487975', '3119XXXXXX XIN AN TRADING (M) SB', 'INV021902160']",502.0,Debit,266005.97,False,False
74,07/02,"['TSFR FUND DR-ATM/EFT 494132', '3133XXXXXX ENG KEE ROASTED DUCK', 'DEC PYMT']",1500.0,Debit,264505.97,False,False
75,07/02,"['INSTANT TRSF DR 499164', 'LEE TECK KEE SDN BHD DEC PYMT', '12356789']",575.0,Debit,263930.97,False,False
76,07/02,"['INSTANT TRSF DR 565036 HO THIAM LOONG', 'INV37386 12356789']",560.0,Debit,263370.97,False,False
77,08/02,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5501232243', '190814 2003.54']",2003.54,Credit,265374.51,False,False
78,08/02,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3301242871', '190887 3494.74']",3494.74,Credit,268869.25,False,False
79,,['Balance C/F'],,,268869.25,False,False
80,,['Balance B/F'],,,268869.25,False,False
