,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit'],,,800973.01,False,False
1,,['Jumlah Kredit'],,,927130.93,False,False
2,,['Balance From Last Statement'],,,80349.59,False,False
3,02/12,"['INSTANT TRSF DR 025452', 'MOHAMMAD INDERANIZAM BIN MARIA', 'FLIGHTS']",1728.0,Debit,78621.59,False,False
4,11/12,"['INSTANT TRSF DR 243674 CHAI CHUNG MI', 'BIRD NEST']",1500.0,Debit,77121.59,False,False
5,12/12,['CHEQ 122005'],1500.0,Debit,75621.59,False,False
6,12/12,['CHQ PROCESS FEE DR 122005'],0.5,Debit,75621.09,False,False
7,12/12,"['DR-ECP 370172 1912121149460187', 'KUMPULAN WANG SIMPANAN PEKERJA', '1220190801969372C110738626', 'FPX - MBB0228']",1296.0,Debit,74325.09,False,False
8,,['Balance C/F'],,,74325.09,False,False
9,,['Balance B/F'],,,74325.09,False,False
10,12/12,"['DR-ECP 420934 1912121159270224', 'LEMBAGA HASIL DALAM NEGERI MAL', 'C 2353881104 FPX - PBB0233']",208.0,Debit,74117.09,False,False
11,12/12,"['DR-FGP 469137 1912124208980147', 'PERTUBUHAN KESELAMATAN SOSIAL', 'F8602012942V20191100 FPX - RHB0218']",118.1,Debit,73998.99,False,False
12,12/12,"['DR-ECP 489644 1912121212540760', 'PERTUBUHAN KESELAMATAN SOSIAL-', 'F8602012942V201911E0 FPX - RHB0218']",21.0,Debit,73977.99,False,False
13,12/12,['1712'],3820.0,Debit,70157.99,False,False
14,12/12,['RMT CHRG DR'],5.65,Debit,70152.34,False,False
15,12/12,"['INSTANT TRSF DR 159440 SEDC', 'GTC SPIKS LOAN 1', 'GOLDEN THRONE CONSTRUCTION SB']",4516.0,Debit,65636.34,False,False
16,18/12,['DEP-LOC CHEQ 709085 AT PDG'],833314.48,Credit,898950.82,False,False
17,20/12,"['DEP-ECP 101337', 'IMEPS20191220100002187 148842 RHB', 'CMS QUARRIES SDN BHD FORMERLY KNOWN RHB', 'CMS RESOURCES SDN BH13431932150062']",93816.45,Credit,992767.27,False,False
18,27/12,"['TSFR FUND DR-ATM/EFT 462662', 'IBG TRANSFER - MBB KH1906016', 'KEMENA HOLDING SB']",353304.32,Debit,639462.95,False,False
19,27/12,"['TSFR FUND DR-ATM/EFT 485816', '3212XXXXXX WLG TAX ADVISORY SDN.BHD', 'GOLDEN THRONE CONSTR']",7243.4,Debit,632219.55,False,False
20,28/12,"['TSFRFUND DR-ATM/EFT 434816', 'IBG TRANSFER - MBB KH1904046', 'KEMENA HOLDING SB']",421681.89,Debit,210537.66,False,False
21,28/12,"['TSFR FUND DR-ATM/EFT 578239', '6883XXXXXX JUDITH MITCHEL ANAK FEBI', 'DEC SALARY']",980.8,Debit,209556.86,False,False
22,28/12,"['INSTANT TRSF DR 582943', 'MOHAMMAD INDERANIZAM BIN MARIA', 'DEC SALARY']",2649.35,Debit,206907.51,False,False
23,30/12,"['TSFR FUND DR-ATM/EFT 858236', '3213XXXXXX PE MANAGEMENT ADVISORY S', 'PA1910114']",400.0,Debit,206507.51,False,False
24,,['Closing Balance In This Statement'],,,206507.51,False,False
