,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit'],,,3560255.66,False,False
1,,"['Toe pte atu canon tecenrad at', 'incoming cheques. Apply for the service today at your accountholding', 'Bil. Kredit / No. of Credits', 'branch.', 'Muka Surat 1 Daripada 3', 'Page 1 of 3', 'TAR', 'URUSNIAGA REDS', 'DATE', 'TRANSACTION', 'beEBIT', 'CREDIT', 'BALANCE']",,,4487671.27,False,True
2,,['Balance From Last Statement'],,,3154506.84,False,False
3,03/02,"['TSFR FUND DR-ATM/EFT 216721', '3154XXXXXX KEMENA HOLDING SDN BHD', 'PARTIAL KH1907056']",500000.0,Debit,2654506.84,False,False
4,04/02,"['TSFR FUND DR-ATM/EFT 707294', '4992XXXXXX BONG SHEAU MEI', 'SEP TO JAN SHEAU MEI']",3500.0,Debit,2651006.84,False,False
5,04/02,"['INSTANT TRSF DR 717283', 'MOHAMMAD INDERANIZAM BIN MARIA', 'HAMPER CNY']",800.0,Debit,2650206.84,False,False
6,04/02,"['TSFR FUND DR-ATM/EFT 727605', '6332XXXXXX LAW CHE ONG', 'GTG DINNER YEESANG']",467.5,Debit,2649739.34,False,False
7,,['Balance C/F'],,,2649739.34,False,False
8,,['Balance B/F'],,,2649739.34,False,False
9,04/02,"['TSFR FUND DR-ATM/EFT 780704', '3154XXXXXX KEMENA HOLDING SDN BHD', 'PARTIAL INV1907056']",400000.0,Debit,0.0,False,True
10,05/02,"['GIRO PYMT-ATM/EFT 265408', 'JOMPAY - 7259A7E2 - WOONGJIN COWAY (MALA']",89.0,Credit,2249650.34,False,True
11,05/02,"['INSTANT TRSF DR 282527 SOLUTION TECH', 'INV 7459']",80.0,Debit,2249570.34,False,False
12,07/02,"['TSFR FUND DR-ATM/EFT 287511', '3154XXXXXX KEMENA HOLDING SDN BHD', 'PARTIAL INV1907056']",500000.0,Debit,1749570.34,False,False
13,10/02,"['TSFR FUND DR-ATM/EFT 747401', '3154XXXXXX KEMENA HOLDING SDN BHD', 'BALO7056 PART 08013']",500000.0,Debit,1249570.34,False,False
14,11/02,"['DR-ECP 606332 2002111211520262', 'PERTUBUHAN KESELAMATAN SOSIAL', '20200211121151_6347257 FPX - RHB0218']",236.2,Debit,1249334.14,False,False
15,11/02,"['DR-ECP 633397 2002111217000311', 'PERTUBUHAN KESELAMATAN SOSIAL', '20200211121659_24514861 FPX - RHB0218']",42.0,Debit,1249292.14,False,False
16,11/02,"['DR-ECP 888536 20021 11302260883', 'LEMBAGA HASIL DALAM NEGERI MAL', 'C 2353881104 FPX - PBB0233']",208.0,Debit,1249084.14,False,False
17,11/02,"['DR-ECP 919913 2002111308500226', 'KUMPULAN WANG SIMPANAN PEKERJA', '0220200801969372C111526977', 'FPX - MBB0228']",1296.0,Debit,1247788.14,False,False
18,13/02,"['TSFR FUND DR-ATM/EFT 889467', '3154XXXXXX KEMENA HOLDING SDN BHD', 'PARTIAL INV08013']",500000.0,Debit,747788.14,False,False
19,17/02,"['INSTANT TRSF DR 639719', 'CHANG LI CHUNG TRANSPORT COMPANY', 'BAL INV CLC0137']",42000.0,Debit,705788.14,False,False
20,18/02,"['TSFRFUND DR-ATM/EFT 328785', '3154XXXXXX KEMENA HOLDING SDN BHD', 'BAL 08013']",500000.0,Debit,205788.14,False,False
21,19/02,"['TSFRFUND DR-ATM/EFT 869910', '3154XXXXXX KEMENA HOLDING SDN BHD', 'BAL BANTING']",101323.36,Debit,104464.78,False,False
22,,['Balance C/F'],,,104464.78,False,False
23,,['Balance B/F'],,,104464.78,False,False
24,24/02,"['iNSTANT TRSF DR 828774', 'TETUAN PERUNDING DZKIR', 'GOLDEN THRONE KURSUS B28']",300.0,Debit,104164.78,False,False
25,24/02,"['INSTANT TRSF DR 847211 SEDC', 'GOLDEN THRONE CONSTRUCTION ANSURAN 3', 'SPIKS LOAN']",4516.0,Debit,99648.78,False,False
26,25/02,['DEP-LOC CHEQ 008363 AT PDG'],3008212.31,Credit,3107861.09,False,False
27,27/02,"['TSFR FUND DR-ATM/EFT 535494', 'IBG TRANSFER - RHB PHASE 1 PARTIAL', 'GOLDEN THRONE SDN BHD']",500000.0,Debit,2607861.09,False,False
28,28/02,['DEP-LOC CHEQ 008361 AT PDG'],1467885.12,Credit,4075746.21,False,False
29,28/02,"['DEP-ECP 196614', 'IMEPS20200228100002184667850 RHB', 'CMS PREMIX SDN BHD RHB', 'CMS PREMIX SDN BHD 17281134040019']",11573.84,Credit,4087320.05,False,False
30,28/02,"['GIRO PYMT-ATM/EFT 883698', 'SILICONNET TECHNOLOGIES S']",1600.0,Debit,4085720.05,False,False
31,29/02,"['INSTANT TRSF DR 708932', 'MOHAMMAD INDERANIZAM BIN MARIA', 'FEB SALARY']",2649.35,Debit,4083070.7,False,False
32,29/02,"['TSFR FUND DR-ATM/EFT 715274', '6883XXXXXX JUDITH MITCHEL ANAK FEBI', 'FEB SALARY']",1148.25,Debit,4081922.45,False,False
33,,['Closing Balance In This Statement'],,,4081922.45,False,False
