,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,"['ORIGINAL SCE', 'leh', 'setakat', "",000.'"", 'agi setiap', 'ror RHB BANK BE rere']",,,250000.0,False,False
1,,"['a5 Jalan Kul', 'GOLDEN THRONE CONSTRUCTION SDN. BRO', 'NYAJA', 'AKAUN', '] STATEMENT OF ACCOUNT', 'NO des] 1ST FLOOR', 'AA ORD', 'Nompat', 'Akaun / Account Number', '3811638514', 'JLN FOOCHOW NO 2', '93300 KUCHING SARAWAK', 'fénis Akaun / Account Type', 'RM Current Account-i', 'Tarikh Penyata / Statement Date', '31 Jan 2020', 'TEGASAN / HIGHLIGHTS', 'RINGKASAN / SUMMARY']",250000.0,,,False,True
2,,"['» ~Gunakan ATM / Perbankan Dalam Talian PBe untuk GIRO Antara Bank', '(IBG) atau Pindahan Dana Segera untuk pembayaran Kad Kredit /']",3154506.84,,,False,False
3,,['Jumlah Debit'],,,734771.68,False,False
4,,['Jumlah Kredit'],,,3682771.01,False,False
5,,['Balance From Last Statement'],,,206507.51,False,False
6,07/01,"['INSTANT TRSF DR 580205', 'KEMENA HOLDING SDN B', 'INV KH1906015 09055 05026 09053 09054']",87545.92,Debit,118961.59,False,False
7,17/01,"['INSTANT TRSF DR 041866', 'TETUAN PERUNDING DZKIR', 'GOLDEN THRONE CONSTRUCTION', 'CE36 KERJA TANAH']",300.0,Debit,118661.59,False,False
8,20/01,"['DEP-ECP 113520', 'IMEPS20200120100002186275315 RHB', 'CMS QUARRIES SDN BHD FORMERLY KNOWN RHB', 'CMS RESOURCES SDN BH10325293630074']",143736.53,Credit,262398.12,False,False
9,,['Balance C/F'],,,262398.12,False,False
10,,['Balance B/F'],,,262398.12,False,False
11,22/01,"['INSTANT TRSF DR 514028', 'SEE HUA MARKETING SD', 'GOLDEN THRONE M2BAT40659']",3434.4,Debit,258963.72,False,False
12,22/01,"['INSTANT TRSF DR 528171 SEDC', 'ANSURAN 02 LOAN']",4516.0,Debit,254447.72,False,False
13,22/01,"['TSFR FUND DR-ATM/EFT 721923', 'IBG TRANSFER - MBB KH1904043', 'KEMENA HOLDING SDN BHD']",133673.76,Debit,120773.96,False,False
14,24/01,['DEP-LOC CHEQ 709091 AT JTZ'],3539034.48,Credit,3659808.44,False,False
15,24/01,"['DR-ECP 374145 2001240904320813', 'KUMPULAN WANG SIMPANAN PEKERJA', '0120200801969372C11 1324035', 'FPX - MBRQ228']",1296.0,Debit,3658512.44,False,False
16,24/01,"['DR-ECP 408940 2001240911390527', 'LEMBAGA HASIL DALAM NEGERI MAL', 'C 2353881104 FPX - PBB0233']",208.0,,,False,True
17,24/01,"['INSTANT TRSF DR 590766', 'MOHAMMAD INDERANIZAM BIN MARIA', 'JAN SALARY']",2649.35,,3655655.09,False,False
18,24/01,"['TSFR FUND DR-ATM/EFT 596585', '6883XXXXXX JUDITH MITCHEL ANAK FEBI', 'JAN SALARY']",1148.25,Debit,3654506.84,False,False
19,31/01,"['TSFR FUND DR-ATM/EFT 102592', 'IBG TRANSFER - MBB KH1904047 PARTIAL', 'KEMENA HOLDING SDN BHD']",500000.0,Debit,3154506.84,False,False
20,,['Closing Balance In This Statement'],,,3154506.84,False,False
