,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumiah Debit'],,,815755.39,False,False
1,,['Jumlah Kredit'],,,124738.96,False,False
2,,['Balance From Last Statement'],,,1160855.63,False,False
3,01/07,['HANDLING CHRG'],25.0,Debit,1160830.63,False,False
4,01/07,"['TSFR FUND DR-ATM/EFT 360551', '6332XXXXXX LAW CHE ONG', 'EPF LATE CHARGES']",70.0,Debit,1160760.63,False,False
5,01/07,"['INSTANT TRSF DR 385555', 'MOHAMMAD INDERANIZAM BIN MARIA', 'ENTERTAINMENT']",131.25,Debit,1160629.38,False,False
6,01/07,"['INSTANT TRSF DR 428223', 'SEE HUA MARKETING SD', '439942 GOLDEN THRONE CONSTRUCTION']",312.0,Debit,1160317.38,False,False
7,,['Balance C/F'],,,1160317.38,False,False
8,,['Balance B/F'],,,1160317.38,False,False
9,01/07,"['TSFR FUND DR-ATM/EFT 496741', '3154XXXXXX KEMENA HOLDING SDN BHD', 'BAL KH20022019 02022']",384941.16,Debit,775376.22,False,False
10,02/07,"['DEP-ECP 237146', 'IMEPS20200702100002273802744 MBB', 'PERKESO SIP-BAYARAN MBB', 'F8602012942V PRIHATIN PKS1200 - BPERKESO Sl', 'P-BAYARAN']",3600.0,Credit,778976.22,False,False
11,02/07,"['TSFR FUND DR-ATMI/EFT 357678', '3154XXXXXX KEMENA HOLDING SDN BHD', '02024 42 43 44 47 48']",155437.25,Debit,623538.97,False,False
12,02/07,"['TSFR FUND DR-ATM/EFT 545875', '3154XXXXXX KEMENA HOLDING SDN BHD', 'KH1911023']",106145.39,Debit,517393.58,False,False
13,02/07,"['TSFR FUND DR-ATM/EFT 641312', '6332XXXXXX LAW CHE ONG', 'DURIAN ENTERTAINMENT']",1056.0,Debit,516337.58,False,False
14,03/07,['~=HANDLING CHRG'],24.0,Debit,516313.58,False,False
15,06/07,['HANDLING CHRG'],25.0,Debit,516288.58,False,False
16,06/07,['HANDLING CHRG'],25.0,Debit,516263.58,False,False
17,06/07,['HANDLING CHRG'],25.0,Debit,516238.58,False,False
18,07/07,"['DR-ECP 386194 2007071351490402', 'KUMPULAN WANG SIMPANAN PEKERJA', '0720200801969372C 113310484', 'FPX - MBB0228']",1432.0,Debit,514806.58,False,False
19,07/07,"['DR-ECP 410851 2007071353420508', 'KUMPULAN WANG SIMPANAN PEKERJA', '0720200801969372C113310493', 'FPX - MBB0228']",800.0,Debit,514006.58,False,False
20,07/07,"['INSTANT TRSF DR 768125', 'CMS PREMIX SDN BHD E0072020']",10350.0,Debit,503656.58,False,False
21,09/07,['HANDLING CHRG'],50.0,Debit,503606.58,False,False
22,09/07,"['11107,', 'LEMBAGA HASIL DALAM NEGCRI MAL', 'C 2353881104 FPX - PBB0233']",212.0,Debit,503394.58,False,False
23,09/07,"['GIRO PYMT-ATM/EFT 037357', 'JOMPAY - 77B3JDVN - COWAY (MALAYSIA) SDN']",89.0,Debit,503305.58,False,False
24,09/07,"['TSFR FUND DR-ATM/EFT 040063', '6332XXXXXX LAW CHE ONG AIRASIA']",1512.0,Debit,501793.58,False,False
25,09/07,"['INSTANT TRSF DR 042785', 'MOHAMMAD INDERANIZAM BIN MARIA', 'AIRASIA AND HOTEL']",760.19,Debit,501033.39,False,False
26,,['Balance C/F'],,,501033.39,False,False
27,,['Balance B/F'],,,501033.39,False,False
28,,"['INSTANT TRSF DR 045837', 'MOHAMMAD INDERANIZAM BIN MARIA', 'TRUCOLOUR IMAGE']",170.0,Debit,500863.39,False,False
29,,"['TSFR FUND DR-ATM/EFT 072925', '6816XXXXXX MOHAMAD IMRAN B ABD RAH', 'ENTERTAINMENT']",38.7,Debit,500824.69,False,False
30,,"['TSFR FUND DR-ATM/EFT 112656', '6332XXXXXX LAW CHE ONG SIBU HOTEL']",245.34,Debit,500579.35,False,False
31,,"['DR-ECP 980215 2007110736560719', 'PERTUBUHAN KESELAMATAN SOSIAL', '202007 11073656_8276095 FPX - RHBO0218']",226.2,Debit,500353.15,False,False
32,,"['DR-ECP 984847 20071 10738290463', 'PERTUBUHAN KESELAMATAN SOSIAL', '202007 11073828_26236251 FPX - RHB0218']",40.2,Debit,500312.95,False,False
33,13/07,"['TSFR FUND DR-ATM/EFT 019439', '6332XXXXXX LAW CHE ONG', 'CAR RENT ENTERTAIN']",652.2,Debit,499660.75,False,False
34,13/07,"['INSTANT TRSF DR 059406', 'MOHAMMAD NAZMI AIZUD ALLOWANCE']",100.0,Debit,499560.75,False,False
35,13/07,"['DR-ECP 250983 2007131129400257', 'LEMBAGA HASIL DALAM NEGERI MAL', 'C 2353881104 FPX - PBB0233']",4372.0,Debit,495188.75,False,False
36,13/07,"['DR-ECP 269116 2007131131020508', 'LEMBAGA HASIL DALAM NEGERI MAL', 'C 2353881104 FPX - PBBO0233']",13128.0,Debit,482060.75,False,False
37,13/07,"['DR-ECP 295819 2007131132430294', 'LEMBAGA HASIt DALAM NEGERI MAL', 'C 2353881104 FPX - PBB0233']",1666.0,Debit,480394.75,False,False
