,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit'],,,1852809.42,False,False
1,,['Jumiah Kredit'],,,2608630.93,False,False
2,,['Balance From Last Statement'],,,405034.12,False,False
3,05/06,"['INSTANT TRSF DR 942190', 'ADITECH MARKETING & SERVICE CO', 'INV 34454']",170.0,Debit,404864.12,False,False
4,05/06,"['11406', '3213XXXXXX PE MANAGEMENT ADVISORY S', 'PA2002166 2002209']",1417.6,Debit,403446.52,False,False
5,05/06,"['GIRO PYMT-ATM/EFT 295039', 'JOMPAY - 76BXESLN - COWAY (MALAYSIA) SDN']",89.0,Debit,403357.52,False,False
6,05/06,"['TSFR FUND DR-ATM/EFT 315327', '4992XXXXXX BONG SHEAU MEI', 'WATER AND ELECTRIC']",754.0,Debit,402603.52,False,False
7,,['Balance C/F'],,,402603.52,False,False
8,,['Balance B/F'],,,402603.52,False,False
9,15/06,"['+ TSFR FUND DR-ATM/EFT 632158', '3112XXXXXX CHAI CHIANG CO SDN BHD', '0010979 JUNE RENTAL']",199.5,Debit,402404.02,False,False
10,15/06,"['DR-ECP 917264 2006150829090137', 'KUMPULAN WANG SIMPANAN PEKERJA', '0620200801969372C113072079', 'FPX - MBB0228']",1296.0,Debit,401108.02,False,False
11,15/06,"['DR-ECP 959981 2006150836590023', 'PERTUBUHAN KESELAMATAN SOSIAL', '20200615083652_7971104 FPX - RHBO218']",118.1,Debit,400989.92,False,False
12,15/06,"['DR-ECP 967024 2006150838160120', 'PERTUBUHAN KESELAMATAN SOSIAL', '20200615083815_25965800 FPX - RHB0218']",21.0,Debit,400968.92,False,False
13,15/06,"['17106', 'IMEPS$20200617100002189995966 RHB', 'CMS PREMIX (MIRI) SDN BHD RHB', 'CMS PREMIX (MIRI) $D16134968120035']",109781.7,Credit,510750.62,False,False
14,15/06,"['RMT CR 092391 AT CPC', 'CMS QUARRIES SDN B. FROM RHB REFLEX', '41092391RHBBMYKL']",2498849.23,Credit,3009599.85,False,False
15,15/06,['HANDLING CHRG'],24.0,Debit,3009575.85,False,False
16,20/06,"['+ TSFRFUND DR-ATM/EFT 221421', '6332XXXXXX LAW CHE ONG STATIONERY']",90.0,Debit,3009485.85,False,False
17,20/06,"['TSFR FUND DR-ATM/EFT 225683', '6332XXXXXX LAW CHE ONG ENTERTAINMENT']",108.0,Debit,3009377.85,False,False
18,20/06,"['TSFR FUND DR-ATM/EFT 229447', '6332XXXXXX LAW CHE ONG', 'TENDER PURCHASE']",498.0,Debit,3008879.85,False,False
19,23/06,"['+ TSFR FUND DR-ATM/EFT 050668', '3154XXXXXX KEMENA HOLDING SDN BHD', 'KH2002018']",458967.76,Debit,2549912.09,False,False
20,23/06,"['TSFR FUND DR-ATM/EFT 144886', '6883XXXXXX JUDITH MITCHEL ANAK FEBI', 'CIKGU MANIS SDN BHD']",350.0,Debit,2549562.09,False,False
21,23/06,"['24106', '3215XXXXXX CBC MOTOR COMPANY', 'IMRAN A RAHMAN MYVI']",30.0,Debit,2549532.09,False,False
22,23/06,"['TSFR FUND DR-ATM/EFT 877003', '3154XXXXXX KEMENA HOLDING SDN BHD', 'KH2002016 20 23 25']",473411.68,Debit,2076120.41,False,False
23,,['Balance C/F'],,,2076120.41,False,False
24,,['Balance B/F'],,,2076120.41,False,False
25,26/06,"['TSFR FUND DR-ATM/EFT 078561', '3154XXXXXX KEMENA HOLDING SDN BHD', 'KH2002017 02019']",401272.93,Debit,1674847.48,False,False
26,26/06,"['TSFR FUND DR-ATM/EFT 229515', '4992XXXXXX BONG SHEAU MEI', 'ELECTRIC AND WATER']",342.85,Debit,1674504.63,False,False
27,26/06,"['INSTANT TRSF DR 240208', 'MOHAMMAD NAZMI AIZUD', 'FACE MASKS X 2 BOX']",110.0,Debit,1674394.63,False,False
28,26/06,"['TSFR FUND DR-ATM/EFT 261114', '6332XXXXXX LAW CHE ONG CIDB RENEWAL']",60.0,Debit,1674334.63,False,False
29,26/06,"['TSFR FUND DR-ATM/EFT 439854', '6332XXXXXX LAW CHE ONG', 'AIRASIA TICKETS']",506.4,Debit,1673828.23,False,False
30,26/06,"['TSFR FUND DR-ATM/EFT 665309', '6883XXXXXX JUDITH MITCHEL ANAK FEBI', 'JUNE SALARY']",1148.25,Debit,1672679.98,False,False
31,26/06,"['INSTANT TRSF DR 670297', 'MOHAMMAD INDERANIZAM BIN MARIA', 'JUNE SALARY']",2649.35,Debit,1670030.63,False,False
32,26/06,"['INSTANT TRSF DR 866743', 'LTC WEST GATE SDN BH INV980120', 'GOLDEN THRONE CONSTRUCTION']",9150.0,Debit,1660880.63,False,False
33,30/06,['+=HANDLING CHRG'],25.0,Debit,1660855.63,False,False
34,30/06,"['TSFR FUND DR-ATM/EFT 331130', '3154XXXXXX KEMENA HOLDING SDN BHD', 'KH2002019 PARTIAL']",500000.0,Debit,1160855.63,False,False
35,,['Closing Balance In This Statement'],,,1160855.63,False,False
