,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit'],,,142886.95,False,False
1,,['Jumlah Kredit'],,,0.0,False,False
2,,['Balance From Last Statement'],,,223236.54,False,False
3,04/11,['HANDLING CHRG'],24.0,Debit,223212.54,False,False
4,04/11,['HANDLING CHRG'],25.0,Debit,223187.54,False,False
5,07/11,"['DR-ECP 077542 1911071515220920', 'LEMBAGA HASIL DALAM NEGERI MAL', 'C 2353881104 FPX - PBB0233']",17137.55,Debit,206049.99,False,False
6,07/11,"['DR-ECP 169978 1911071533530084', 'LEMBAGA HASIL DALAM NEGERI MAL', 'C 2353881104 FPX - PBB0233']",208.0,Debit,205841.99,False,False
7,07/11,"['TSFR FUND DR-ATM/EFT 403955', 'MOHAMMAD INDERANIZAM', 'ENTERTAINMENT 08877']",474.0,Debit,205367.99,False,False
8,,['Balance C/F'],,,205367.99,False,False
9,,['Balance B/F'],,,205367.99,False,False
10,07/11,"['TSFR FUND DR-ATM/EFT 415550', 'MOHAMMAD INDERANIZAM', 'DIRECTOR FEES 08877']",40000.0,Debit,165367.99,False,False
11,07/11,"['TSFR FUND DR-ATMI/EFT 431705', 'MOHAMMAD NAZMI AIZUD COMMISSION 08877']",40000.0,Debit,125367.99,False,False
12,07/11,"['TSFR FUND OR-ATM/EFT 442548', '6332XXXXXX LAW CHE ONG COMMISSION']",40000.0,Debit,85367.99,False,False
13,08/11,"['DR-ECP 347519 1911080800190261', 'KUMPULAN WANG SIMPANAN PEKERJA', '1120190801969372C 110213603', 'FPX - MBB0228']",984.0,Debit,84383.99,False,False
14,08/11,"['DR-ECP 365944 1911080809480413', 'PERTUBUHAN KESELAMATAN SOSIAL', 'F8602012942V20191000 FPX - RHB0218']",90.0,Debit,84293.99,False,False
15,08/11,"['DR-ECP 375295 1911080814360674', 'PERTUBUHAN KESELAMATAN SOSIAL-', 'F8602012942V201910E0 FPX - RHB0218']",16.0,Debit,84277.99,False,False
16,14/11,"['DR-ECP 968443 1911140940580537', 'KUMPULAN WANG SIMPANAN PEKERJA', '1120190801969372C110374157', 'FPX - MBB0228']",312.0,Debit,83965.99,False,False
17,21/11,"['=TSFRFUND DR-ATM/EFT 709111', 'MR LAW CHE ONG COWAY ENT STAT 08877']",431.2,Debit,83534.79,False,False
18,28/11,"['=TSFR FUND DR-ATM/EFT 620997', '6883XXXXXX JUDITH MITCHEL ANAK FEBI', 'NOVEMBER SALARY']",535.85,Debit,82998.94,False,False
19,28/11,"['TSFR FUND DR-ATM/EFT 632867', 'MOHAMMAD INDERANIZAM', 'NOVEMBER SALARY 08877']",2649.35,Debit,80349.59,False,False
20,,['Closing Balance In This Statement'],,,80349.59,False,False
