,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit'],,,835208.27,False,False
1,,['Jumlah Kredit'],,,738960.33,False,False
2,,['Balance From Last Statement'],,,213697.03,False,False
3,30/11,['0112'],7160.0,Debit,206537.03,False,False
4,02/12,['DEP-LOC CHEQ 920723 AT BSL'],2880.0,Credit,209417.03,False,False
5,02/12,"['TSFR FUND DR-ATM/EFT 015290', '3147XXXXXX GREEN NATURE CONCEPT SDN', '02 DEC STATEMENT']",7759.29,Debit,201657.74,False,False
6,02/12,"['TSFR FUND DR-ATM/EFT 031024', 'IBG TRANSFER - MBB KL130170340524', 'PAC LEASE BERHAD']",5256.0,Debit,196401.74,False,False
7,02/12,"['TSFR FUND DR-ATM/EFT 037940', 'IBG TRANSFER - MBB JSK5339', 'HAP SENG CREDIT SDN BHD']",6047.0,Debit,190354.74,False,False
8,,['Balance C/F'],,,190354.74,False,False
9,,['Balance B/F'],,,190354.74,False,False
10,02/12,"['TSFR FUND DR-ATM/EFT 048417', '3150XXXXXX HIAP SENG MOTOR & SPRAYE', 'STATEMENT']",13468.2,Debit,176886.54,False,False
11,03/12,['DEP-HSE CHEQ 459258 AT PKG'],8128.0,Credit,185014.54,False,False
12,03/12,"['eas', '3205XXXXXX TRUE LOGISTICS SDN BHD', 'iN', 'AUG 2019']",36374.47,Credit,221389.01,False,False
13,03/12,"['INSTANT TRSF DR 274642 ABADI ASIL SD', 'TOP UP TOP UP']",5000.0,Debit,216389.01,False,False
14,03/12,"['0412', '3136XXXXXX NANYANG EXPERTISE SB 123']",123276.4,Credit,339665.41,False,False
15,03/12,"['TSFR FUND CR-ATM/EFT 423435', '3215XXXXXX MUTIARA GLOBAL TRANSPORT', 'PYMT INV KL190824']",17221.88,Credit,356887.29,False,False
16,03/12,['CHEQ 116615'],3090.85,Debit,353796.44,False,False
17,03/12,['CHQ PROCESS FEE DR 116615'],0.5,Debit,353795.94,False,False
18,03/12,['CHEQ 116616'],11231.79,Debit,342564.15,False,False
19,03/12,['CHQ PROCESS FEE DR 116616'],0.5,Debit,342563.65,False,False
20,03/12,['CHEQ 116617'],23041.2,Debit,319522.45,False,False
21,03/12,"['CHQ PROCESS FEE DR 116617', 'CHEQUE PROCESS FEE 1@RM0.50']",0.5,Debit,319521.95,False,False
22,03/12,"['INSTANT TRSF DR 523437 BT QUARRY SDN', 'CRUSHER RUN 60 TONS']",2340.0,Debit,317181.95,False,False
23,05/12,"['TSFR FUND DR-ATM/EFT 817328', '3211XXXXXX TFS TRANSPORT ADVANCE']",8000.0,Debit,309181.95,False,False
24,05/12,"['INSTANT TRSF DR 997915', 'HARFADILAH BINTI SAHRIL SALARY', 'NOV 2019']",1059.95,Debit,308122.0,False,False
25,06/12,['DEP-LOC CHEQ 009497 AT BHU'],41821.71,Credit,349943.71,False,False
26,06/12,['CHEQ 116620 116620'],6000.0,Debit,343943.71,False,False
27,06/12,['CHQ PROCESS FEE DR 116620'],0.5,Debit,343943.21,False,False
28,06/12,"['INSTANT TRSF DR 259111 YONMING AUTO', 'INV 44355 GEAR BOX']",4700.0,Debit,339243.21,False,False
29,06/12,"['INSTANT TRSF DR 591199 BT QUARRY SDN', 'CRUSHER RUN 90 TONS']",3510.0,Debit,335733.21,False,False
30,06/12,"['TSFR FUND DR-ATIWEFT 600072', '4098XXXXXX ONG POH MOY', 'TME BUILDERS SDN BHD']",1489.52,Debit,334243.69,False,False
31,06/12,"['INSTANT TRSF DR 929516 TEOH FU SOON', 'STICKER 7 UNITS DEC 2019']",1260.0,Debit,332983.69,False,False
32,,['Balance C/F'],,,332983.69,False,False
33,,['Balance B/F'],,,332983.69,False,False
34,06/12,"['TSFR FUND DR-ATM/EFT 955428', '4428XXXXXX TEOH KIAT WEI DEC 19']",1600.0,Debit,331383.69,False,False
35,06/12,"['INSTANT TRSF DR 966064 CHONG CHUN KIT', 'FEE DEC 19']",1000.0,Debit,330383.69,False,False
36,06/12,"['INSTANT TRSF DR 971064', 'MUHAMED SHAFIQ BIN S SEPANG DEC 19']",200.0,Debit,330183.69,False,False
37,07/12,"['INSTANT TRSF DR 816559', 'HYPEREX GLOBAL ENTERPRISE FINE SAND', '35 TONS']",1540.0,Debit,328643.69,False,False
38,07/12,"['INSTANT TRSF DR 825959', 'PERSATUAN KEBAJIKAN KANAK-KANAK', 'TERENCAT AKAL MALAYS DONATION MR ANG']",500.0,Debit,328143.69,False,False
39,09/12,"['INSTANT TRSF DR 314535 ABADI ASIL SD', 'TOP UP TOP UP']",5000.0,Debit,323143.69,False,False
40,09/12,"['TSFR FUND DR-ATM/EFT 328397', '3147XXXXXX GREEN NATURE CONCEPT SDN', '09 DEC 19 STATEMENT']",9634.67,Debit,313509.02,False,False
41,09/12,"['INSTANT TRSF DR 364604 BT QUARRY SDN', 'CRUSHER RUN 60 TONS']",2340.0,Debit,311169.02,False,False
42,10/11,['CHEQ 116618'],200.0,Debit,310969.02,False,False
43,10/11,['CHQ PROCESS FEE DR 116618'],0.5,Debit,310968.52,False,False
44,10/11,"['INSTANT TRSF DR 807465 BT QUARRY SDN', 'QUARRY DUST 70']",2870.0,Debit,308098.52,False,False
45,11/12,"['INSTANT TRSF DR 601664', 'ZUL FAJAR ENTERPRISE TOP UP TOP UP']",5000.0,Debit,303098.52,False,False
46,11/12,"['TSFR FUND DR-ATM/EFT 704927', 'IBG TRANSFER - MBB KL130170946425', 'PAC LEASE BERHAD']",5133.0,Debit,297965.52,False,False
47,12/12,['DEP-LOC CHEQ 004970'],80000.0,Credit,377965.52,False,False
48,12/12,"['DEP-ECP 207369', 'IMEPS20191212100002081400481 AMB', 'BP CONCRETE SDN BHD AMB', 'KL190537 PV1912/019-BP']",2134.11,Credit,380099.63,False,False
49,12/12,['DEP-LOC CHEQ 989238 AT KLG'],2608.0,Credit,382707.63,False,False
50,12/12,"['CHQ PROCESS FEE DR', 'CHEQUE PROCESS FEE 7@RMO0.50']",3.5,Debit,382704.13,False,False
51,12/12,['CHEQ 116621'],510.0,Debit,382194.13,False,False
52,12/12,['CHEQ 116622'],3371.0,Debit,378823.13,False,False
53,12/12,['CHQ PROCESS FEE DR 116622'],0.59,Debit,378822.63,False,True
54,,['Balance C/F'],,,378822.63,False,False
55,,['Balance B/F'],,,378822.63,False,False
56,12/12,['CHEQ 116623'],742.0,Debit,378080.63,False,False
57,12/12,['CHEQ 116624'],39500.0,Debit,338580.63,False,False
58,12/12,['CHQ PROCESS FEE DR 116624'],0.5,Debit,338580.13,False,False
59,12/12,['CHEQ 116625'],1022.0,Debit,337558.13,False,False
60,12/12,['CHQ PROCESS FEE DR 116625'],0.5,Debit,337557.63,False,False
61,12/12,['CHEQ 116626'],7680.0,Debit,329877.63,False,False
62,12/12,['CHQ PROCESS FEE DR 116626'],0.5,Debit,329877.13,False,False
63,12/12,['CHEQ 116627'],25562.41,Debit,304314.72,False,False
64,12/12,['CHQ PROCESS FEE DR 116627'],0.5,Debit,304314.22,False,False
65,12/12,['ceca'],11621.46,Debit,292692.76,False,False
66,12/12,['CHQ PROCESS FEE DR 116628'],0.5,Debit,292692.26,False,False
67,12/12,['CHEQ 116629'],7700.0,Debit,284992.26,False,False
68,12/12,['CHQ PROCESS FEE DR 116629'],0.5,Debit,284991.76,False,False
69,12/12,['CHEQ 116631'],39.31,Debit,284952.45,False,False
70,12/12,['CHQ PROCESS FEE DR 116631'],0.5,Debit,284951.95,False,False
71,12/12,['CHEQ 116632'],6758.8,Debit,278193.15,False,False
72,12/12,['CHQ PROCESS FEE DR 116632'],0.5,Debit,278192.65,False,False
