,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit'],,,873904.82,False,False
1,,['Jumlah Kredit'],,,704112.93,False,False
2,,['Balance From Last Statement'],,,24440.85,True,False
3,01/11,['DEP-LOC CHEQ 002116 AT MSI'],29089.0,Credit,4648.15,False,False
4,01/11,"['DEP-ECP 121046', 'IMEPS20191101100002323392044 ABB', 'BENG TAT INDUSTRIAL HARDWARE SDN BHD ABB', 'APV 910 116 FOR SEPT 2019']",1787.0,Credit,6435.15,False,False
5,01/11,"['DEP-ECP 152185', 'IMEPS20191101100002053781479 CIM', 'STC MACHINERY SDN BHD CIM', 'PMT OF ACCOUNT PURCHASES']",63646.0,Credit,70081.15,False,False
6,01/11,"['DEP-ECP 211489', 'IMEPS20191101100002264087523', 'ESC GASES (M) SDN. B UOB', ""PV-19/10/0109 MAY'19""]",1290.0,Credit,71371.15,False,False
7,,['Balance C/F'],,,71371.15,False,False
8,,['Balance B/F'],,,71371.15,False,False
9,01/11,"['TSFR FUND CR-ATM/EFT 588641', '3186XXXXXX WAN YEN HARDWARE HSE S/B', 'JULY 2019']",1035.0,Credit,72406.15,False,False
10,01/11,"['TSFR FUND CR-ATM/EFT 045345', '3209XXXXXX KS HARDWARE &ENGINEERING', 'JULY 2019']",740.0,Credit,73146.15,False,False
11,01/11,"['TSFR FUND DR-ATM/EFT 125020', ""JET SENG TRANSPORT A OCT'19"", 'INV:203579']",1138.7,Debit,72007.45,False,False
12,01/11,"['TSFR FUND DR-ATM/EFT 125045', ""MASTER AGENCIES (M) AUG'19"", 'INV:5119080675']",74.32,Debit,71933.13,False,False
13,01/11,"['TSFR FUND DR-ATM/EFT 125166', 'LEE JIE YING JIMMY-EXPENSES CLAIM']",3100.61,Debit,68832.52,False,False
14,02/11,['DEP-CASH CDT 2707 005298'],100.0,Credit,68932.52,False,False
15,04/11,"['DEP-ECP NIRUL SDN BHD', '03109XXXXXXNRL01 20191102E0003000', 'AUG ACCOUNT']",1095.0,Credit,70027.52,False,False
16,04/11,['DEP-LOC CHEQ 088402 AT KLI'],1002.5,Credit,71030.02,False,False
17,04/11,"['DEP-ECP 095259', 'IMEPS20191104100002054647205 CIM', 'JAYA MACHINERY & SERVICE SDN. BHD. CIM', 'PURCHASES INVOICE CS-000482']",465.0,Credit,71495.02,False,False
18,04/11,"['DEP-ECP 098523', 'IMEPS20191104100002054651600 CIM', 'PROFESSIONAL TOOL REPAIR & SERVICE CTR CIM', 'XREF123456789A AC JUNE 19']",102.54,Credit,71597.56,False,False
19,04/11,"['DEP-ECP 104311', 'IMEPS20191104100002124284607 ABM', 'TAI SENG TRADING ABM', 'XREF123456789A TAI SENG TRADING']",122.5,Credit,71720.06,False,False
20,04/11,"['DEP-ECP 126213', 'IMEPS20191104100002274812132 MBB', 'EASTERN GASES TRADING SDN MBB', ""PRIVATE TRANSACTION PYMT FOR JUL'19""]",300.0,Credit,72020.06,False,False
21,04/11,"['INSTANT TRSF CR 021900 LI CHUNXIAO', 'CS000770']",290.0,Credit,72310.06,False,False
22,,['Balance C/F'],,,72310.06,False,False
23,,['Balance B/F'],,,72310.06,False,False
24,04/11,"['INSTANT TRSF CR 022030 LI CHUNXIAO', 'CS000787']",1300.0,Credit,73610.06,False,False
