,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit / Total Debits ~'],,,194201.94,False,False
1,,['Jumlah Kredit / Total Credits'],,,220480.0,False,False
2,30/06,['8alance From Last Statement'],,,596304.76,True,False
3,02/07,['DEP-LOC CHEQ 985279 AT TDY'],3130.0,Credit,593174.76,True,False
4,08/07,"['GST DR', 'MNAB SRS 690 816 HANDLING CHARGE', '0000000000005000 AUDIT CONFIRMATION,', 'JBUBDCM 7039']",0.0,,593174.76,True,False
5,08/07,"['HANDLING CHRG AUDIT CONFIRMATION', '20200708000 JBUBDCM 7039']",50.0,Debit,593224.76,True,False
6,10/07,"['CEP-ECP 209143', 'IMEPS20200710100002182356601 RHB', 'NEWLIKE MACHINE SOLUTIONS SDN BHD RHB -']",80000.0,Credit,513224.76,True,False
7,,['Balance C/F'],,,513224.76,True,False
8,,['Balance B/F'],,,513224.76,True,False
9,13/07,['TRADE FINANCE DEBIT 075358'],84231.68,Debit,597456.44,True,False
10,14/07,['TRADE FINANCE DEBIT 264603'],1141.3,Debit,598597.74,True,False
11,23/07,['DEP-LOC CHEQ 171797 AT TDY'],350.0,Credit,598247.74,False,False
12,24/07,"[""' DEP-ECP 210511"", 'IMEPS20200724100002185907602 RHB', 'NEWLIKE MACHINE SOLUTIONS SDN BHD RHB', 'XREF123456789A FUND TRANSFER']",87000.0,Debit,511247.74,True,False
13,24/07,['ume'],71435.62,Debit,582683.36,True,False
14,29/07,"['DEP-ECP 097562', 'IMEPS20200729100002189009721 RHB', 'NEWLIKE MACHINE SOLUTIONS SDN BHD RHB', 'XREF123456789A FUND TRANSFER']",30000.0,Credit,552683.36,True,False
15,29/07,"['DEP-ECP 097736', 'IMEPS20200729100002189009902 RHB', 'NEWLIKE MACHINE SOLUTIONS SDN BHD RHB', 'XREF123456789A FUND TRANSFER']",20000.0,Credit,532683.36,True,False
16,29/07,['MISC DR'],243.6,Debit,532926.96,True,False
17,29/07,['MISC DR'],1158.11,Debit,534085.07,True,False
18,29/07,['MISC DR'],31000.0,Debit,565085.07,True,False
19,29/07,"['GST DR 336559', 'CHQB SRS 265 865 CHEQUE PROCESS FEE', '00000000000000050 CHEQUE PROCESS FEE', '0000000500000001']",0.0,,565085.07,True,False
20,29/07,['CHEQ 336559'],140.0,Debit,565225.07,True,False
21,29/07,"['CHQ PROCESS FEE DR 336559', 'CHEQUE PROCESS FEE 71@RM0.50']",0.89,Debit,585225.57,True,True
22,30/07,['TRADE FINANCE DEBIT 266985'],1821.23,Credit,567046.8,True,True
23,31/07,['OD INT DR'],2958.28,Debit,570005.08,True,False
24,31/07,"['COMT FEE DR', 'MNDB OSS 009 264 COMT FEE DR']",21.62,Debit,570026.7,True,False
25,,['Closing Balance In This Statement'],,,570026.7,True,False
