,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit / Total Debits'],,,33166.79,False,False
1,,['Jumlah Kredit / Total Credits'],,,50000.0,False,False
2,,['Balance From Last Statement'],,,609110.8,True,False
3,17/03,"['DEP-ECP 191754', 'iIMEPS20200317100002188158256 RHB', 'NEWLIKE MACHINE SOLUTIONS SDN BHD RHB', 'XREF123456789A FUND TRANSFER']",50000.0,Credit,559110.8,True,False
4,20/03,"['RMT DR IBG FR JBU TO RHB TRANSFER', 'NEWLIKE MACHINE SOLUTIONS SDN BHD']",17000.0,Debit,576110.8,True,False
5,20/03,['RMT CHRG DR'],2.0,Debit,576112.8,True,False
6,23/03,['AUTOMATED LOAN PYMT TO 2095707807'],5452.0,Debit,581564.8,True,False
7,27/03,"['CHQ PROCESS FEE DR', 'CHEQUE PROCESS FEE 3@RM0.40']",1.5,Debit,581566.3,True,False
8,,['Balance C/F'],,,581566.3,True,False
9,,['Balance B/F'],,,581566.3,True,False
10,27/03,['CHEQ 336552'],3532.35,Debit,585098.65,True,False
11,27/03,['CHEQ 336553'],1750.61,Debit,586849.26,True,False
12,27/03,"['GST DR 336554', 'CHQB SRS 265 865 CHEQUE PROCESS FEE', '00000000000000150 CHEQUE PROCESS FEE', 'onsen', '0000000500000003']",0.0,,586849.26,True,False
13,27/03,['CHEQ 336554'],1499.85,Debit,588349.11,True,False
14,31/03,['OD INT DR'],3412.15,Debit,591761.26,True,False
15,31/03,"['COMT FEE DR', 'MNDB OSS 009 264 COMT FEE DR']",13.13,Debit,591774.39,True,False
16,31/03,"['GST DR 336551', 'CHQB SRS 265 865 CHEQUE PROCESS FEE', '00000000000000050 CHEQUE PROCESS FEE', '0000000500000001']",0.0,,591774.39,True,False
17,31/03,['CHEQ 336551'],502.7,Debit,592277.09,True,False
18,31/03,"['CHQ PROCESS FEE DR 336551', 'CHEQUE PROCESS FEE 1@RMO0.50']",0.5,Debit,592277.59,True,False
19,,['Closing Balance In This Statement'],,,592277.59,True,False
