,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit / Total Debits'],,,30235.75,False,False
1,,['Jumlah Kredit / Total Credits'],,,27314.87,False,False
2,,['Balance From Last Statement'],,,7382.09,False,False
3,01/04,"['INSTANT TRSF DR 702336 YAP PUI KEI', 'MARCH SALARY BASIC']",1587.25,Debit,5794.84,False,False
4,01/04,"['INSTANT TRSF DR 744031 YAP PUI YEE', 'MARCH SALARY BASIC']",2210.25,Debit,3584.59,False,False
5,01/04,"['INSTANT TRSF DR 785739 LEE KAH YOOK', 'MARCH SALARY BASIC']",1587.25,Debit,1997.34,False,False
6,04/04,"['INSTANT TRSF CR 017070 KUAH HOOI BOON', 'KUAH MASKX10']",280.0,Credit,2277.34,False,False
7,05/04,"['INSTANT TRSF DR 236433', 'VITAL DESIGN SDN BHD', 'MARSEA MEMBER FOR 4PERSON', '1SENIOR AND 3 JUNIOR']",429.0,Debit,1848.34,False,False
8,,['Balance C/F'],,,1848.34,False,False
9,,['Balance B/F'],,,1848.34,False,False
10,07/04,"['DEP-ECP 146198', 'IMEPS20200407100002291097936 OCB', 'AROMA LA VIDA SDN BH OCB', 'AROMA LA VIDA S/B COMM 16/3 - 31/3/20']",179.1,Credit,2027.44,False,False
11,08/04,"['TSFR FUND CR-ATM/EFT 893300', 'YAP PUI YEE RED ANGEL', 'INSTANT TRANSFER']",764.15,Credit,2791.59,False,False
12,17/04,"['INSTANT TRSF CR 010796 TAN DEE LEE', 'FUND TRANSFER APR19CONFORT,EASYGO']",316.0,Credit,3107.59,False,False
13,17/04,"['INSTANT TRSF CR 010913 TAN DEE LEE', 'FUND TRANSFER BODY OIL']",1000.0,Credit,4107.59,False,False
14,17/04,"['INSTANT TRSF CR 018651', 'SO BEAUTY SKIN CARE STUDI 00192297']",4500.0,Credit,8607.59,False,False
15,17/04,"['TSFR FUND CR-ATM/EFT 576927', '4061XXXXXX YAP YOON KUONG ACCOUNT USE']",10000.0,Credit,18607.59,False,False
16,18/04,"['TSFR FUND CR-ATM/EFT 368329', '4061XXXXXX YAP YOON KUONG ACCOUNT USE']",6000.0,Credit,24607.59,False,False
17,20/04,"['DEP-MERCHANT PYMT 6600071141', '191149 1980.00']",1980.0,Credit,26587.59,False,False
18,20/04,"['TSFR FUND DR-ATM/EFT 508011', 'IBG TRANSFER - MBB MARCH ACCOUNT', 'BLISS SYNERGY ENTERP']",19317.0,Debit,7270.59,False,False
19,20/04,"['INSTANT TRSF DR 534681 CAROL YAP', 'APRIL PAYMENT APRIL PAYMENT']",5000.0,Debit,2270.59,False,False
20,27/04,"['INSTANT TRSF DR 854912', 'KMS MANAGEMENT SDN BHD SSM LICENCE', 'BORANG D']",105.0,Debit,2165.59,False,False
21,30/04,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191179 2295.62']",2295.62,Credit,4461.21,False,False
22,,['Closing Balance In This Statement'],,,4461.21,False,False
