,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit / Total Debits'],,,65299.35,False,False
1,,['Jumlah Kredit / Total Credits'],,,70018.57,False,False
2,,['Balance From Last Statement'],,,34511.08,False,False
3,01/12,"['DEP-MERCHANT PYMT 6600071141', '191119 267.30']",267.3,Credit,34778.38,False,False
4,01/12,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191122 840.59']",840.59,Credit,35618.97,False,False
5,01/12,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191117 1058.60']",1058.6,Credit,36677.57,False,False
6,01/12,"['TSFR FUND DR-ATM/EFT 907307', 'IBG TRANSFER - HLB MG PRODUCTS', 'GOO PECK SEE']",5104.15,Debit,31573.42,False,False
7,,['Balance C/F'],,,31573.42,False,False
8,,['Balance B/F'],,,31573.42,False,False
9,01/12,"['TSFR FUND DR-ATM/EFT 915428', 'IBG TRANSFER - MBB BS001521', 'BLISS SYNERGY ENTERPRISE']",3562.0,Debit,28011.42,False,False
10,02/12,"['DEP-MERCHANT PYMT 6600071141', '191120 1668.15']",1668.15,Credit,29679.57,False,False
11,02/12,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191118 1964.00']",1964.0,Credit,31643.57,False,False
12,03/12,"['DEP-ECP 159324', 'IMEPS20191203100002224961849 HSB', 'GLOBAL PYMT CARD PRO M S/B HSB', '000000015558850 LP KLHA45941']",2834.2,Credit,34477.77,False,False
13,03/12,"['INSTANT TRSF CR 014737', 'LOVE LATCH SDN BHD 00047155']",190.15,Credit,34667.92,False,False
14,03/12,"['INSTANT TRSF DR 008859', 'YAHYA BIN ABDUL WAHAB', 'SO BEAUTY LICENCE RUNNING FEES', 'RUNNING FEES']",300.0,Debit,34367.92,False,False
15,03/12,"['INSTANT TRSF DR 852639 CHAI JIA YEEN', '1ST FLOOR TNB PAY BACK']",490.15,Debit,33877.77,False,False
16,04/12,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191124 1559.42']",1559.42,Credit,35437.19,False,False
