,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit / Total Debits'],,,26439.67,False,False
1,,['Jumlah Kredit / Total Credits'],,,41348.99,False,False
2,,['Balance From Last Statement'],,,3776.64,False,False
3,01/02,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191148 294.60']",294.6,Credit,4071.24,False,False
4,01/02,"['DEP-MERCHANT PYMT 6600071141', '191139 3920.40']",3920.4,Credit,7991.64,False,False
5,01/02,"['TSFR FUND CR-ATM/EFT 998776', '4856XXXXXX PHONG HUI QI', 'HUI QI PERECT SERUM']",358.2,Credit,8349.84,False,False
6,02/02,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191136 661.87']",661.87,Credit,9011.71,False,False
7,,['Balance C/F'],,,9011.71,False,False
8,,['Balance B/F'],,,9011.71,False,False
9,03/02,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191137 194.44']",194.44,Credit,9206.15,False,False
10,03/02,"['GST DR 288842', 'CHQB SRS 265 865 CHEQUE PROCESS FEE', '00000000000000050 CHEQUE PROCESS FEE', '0000000500000001']",0.0,,9206.15,False,False
11,03/02,['CHEQ 288842'],500.0,Debit,8706.15,False,False
12,03/02,['CHQ PROCESS FEE DR 288842'],0.5,Debit,8705.65,False,False
13,04/02,"['TSFR FUND CR-ATM/EFT 134341', '4679XXXXXX GOH MEI YI SO BEAUTY']",1000.0,Credit,9705.65,False,False
14,04/02,"['INSTANT TRSF CR 017775 GOH MEI YI', 'FUND TRANSFER SO BEAUTY']",1000.0,Credit,10705.65,False,False
15,05/02,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191138 66.78']",66.78,Credit,10772.43,False,False
16,05/02,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191149 1068.42']",1068.42,Credit,11840.85,False,False
17,05/02,['DEP-LOC CHEQ 000005 AT BMJ'],1980.0,Credit,13820.85,False,False
18,06/02,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191150 524.39']",524.39,Credit,14345.24,False,False
19,08/02,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191139 706.25']",706.25,Credit,15051.49,False,False
20,09/02,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191151 170.87']",170.87,Credit,15222.36,False,False
21,10/02,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191140 2109.34']",2109.34,Credit,17331.7,False,False
