,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit / Total Debits'],,,83689.01,False,False
1,,['Jumlah Kredit / Total Credits'],,,48235.35,False,False
2,,['Balance From Last Statement'],,,39230.3,False,False
3,01/01,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191133 794.54']",794.54,Credit,40024.84,False,False
4,01/01,"['TSFR FUND CR-ATM/EFT 648952', '3213XXXXXX NDS EXQUISITE BEAUTY S/B', 'NDS-PAPER MASK']",1620.0,Credit,41644.84,False,False
5,02/01,"['TSFR FUND DR-ATM/EFT 153873', 'IBG TRANSFER - MBB BS001535', 'BLISS SYNERGY ENTERPRISE']",15800.0,Debit,25844.84,False,False
6,03/01,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191134 289.89']",289.89,Credit,26134.73,False,False
7,,['Balance C/F'],,,26134.73,False,False
8,,['Balance B/F'],,,26134.73,False,False
9,04/01,"['DEP-MERCHANT PYMT 6600071141', '191131 97.02']",97.02,Credit,26231.75,False,False
10,05/01,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191135 66.78']",66.78,Credit,26298.53,False,False
11,06/01,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191129 982.00']",982.0,Credit,27280.53,False,False
12,06/01,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191136 1105.19']",1105.19,Credit,28385.72,False,False
13,06/01,"['INSTANT TRSF DR 219897 YAP YOON KUONG', 'JAN PAYMENT JAN 1ST PAYMENT']",2000.0,Debit,26385.72,False,False
14,07/01,"['INSTANT TRSF CR 020319', 'LOVE LATCH SDN BHD 00117930']",216.8,Credit,26602.52,False,False
15,08/01,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191130 2631.76']",2631.76,Credit,29234.28,False,False
16,08/01,"['DR-ECP 169756 2001081353510280', 'KUMPULAN WANG SIMPANAN PEKERJA', '1120190015170239C111057428', 'FPX - MBB0228']",2414.0,Debit,26820.28,False,False
17,08/01,"['TSFR FUND DR-ATM/EFT 228673', '4061XXXXXX YAP YOON KUONG OWN USE']",3000.0,Debit,23820.28,False,False
18,08/01,"['INSTANT TRSF DR 610486 YAP PUI KEI', 'DEC 19 SALARY SALARY AND COMM']",3435.44,Debit,20384.84,False,False
19,08/01,"['INSTANT TRSF DR 629395 YAP PUI YEE', 'DEC 19 SALARY SALARY AND COMM']",4666.85,Debit,15717.99,False,False
20,08/01,"['INSTANT TRSF DR 664349 LEE KAH YOOK', 'DEC 19 SALARY SALARY AND COMM']",4625.55,Debit,11092.44,False,False
21,08/01,"['TSFR FUND DR-ATM/EFT 694329', '4807XXXXXX SOO CHIA YEN', 'DEC 19 SALARY N COMM']",3060.46,Debit,8031.98,False,False
22,10/01,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191137 773.82']",773.82,Credit,8805.8,False,False
23,10/01,"['DEP-MERCHANT PYMT 6600071141', '191132 978.12']",978.12,Credit,9783.92,False,False
24,,['Balance C/F'],,,9783.92,False,False
25,,['Balance B/F'],,,9783.92,False,False
