,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit / Total Debits'],,,63922.06,False,False
1,,['Jumlah Kredit / Total Credits'],,,52618.19,False,False
2,,['Balance From Last Statement'],,,18685.96,False,False
3,01/03,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191143 520.66']",520.66,Credit,19206.62,False,False
4,01/03,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191168 5695.60']",5695.6,Credit,24902.22,False,False
5,02/03,"['DEP-MERCHANT PYMT 6600071141', '191145 562.32']",562.32,Credit,25464.54,False,False
6,02/03,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191169 646.16']",646.16,Credit,26110.7,False,False
7,,['Balance C/F'],,,26110.7,False,False
8,,['Balance B/F'],,,26110.7,False,False
9,02/03,"['INSTANT TRSF CR 015839', 'LOVE LATCH SDN BHD 00024880']",315.95,Credit,26426.65,False,False
10,02/03,"['TSFR FUND DR-ATM/EFT 842394', 'IBG TRANSFER - MBB BS001581 BS001591', 'BLISS SYNERGY ENTERPRISE']",16223.6,Debit,10203.05,False,False
11,02/03,"['TSFR FUND DR-ATM/EFT 872163', 'IBG TRANSFER - HLB COURIER CHARGES', 'FUYANGGUAN HEALTH CARE']",15.0,Debit,10188.05,False,False
12,04/03,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191144 1944.36']",1944.36,Credit,12132.41,False,False
13,05/03,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191170 66.78']",66.78,Credit,12199.19,False,False
14,05/03,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191145 135.52']",135.52,Credit,12334.71,False,False
15,08/03,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191171 5842.90']",5842.9,Credit,18177.61,False,False
16,08/03,"['TSFR FUND CR-ATM/EFT 415017', '6350XXXXXX CHU YUE HONG HONG']",1000.0,Credit,19177.61,False,False
17,09/03,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191172 174.80']",174.8,Credit,19352.41,False,False
18,09/03,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191146 360.39']",360.39,Credit,19712.8,False,False
19,09/03,"['DEP-MERCHANT PYMT 6600071141', '191146 760.32']",760.32,Credit,20473.12,False,False
20,09/03,"['DEP-ECP 158073', 'IMEPS20200309100002221006925 HSB', 'GLOBAL PYMT CARD PRO M S/B HSB', '000000015558800 LP KLHE50507']",2046.98,Credit,22520.1,False,False
21,10/03,"['INSTANT TRSF CR 033639 LIM LI WEN', 'PEPTIDE MASK']",1430.0,Credit,23950.1,False,False
22,10/03,"['INSTANT TRSF DR 199041 QUAH SIEW TENG', 'FEB 20 SALARY FEB 20 SALARY']",672.0,Debit,23278.1,False,False
23,10/03,"['TSFR FUND DR-ATM/EFT 589144', '4807XXXXXX SOO CHIA YEN FEB 20 SALARY']",2416.94,Debit,20861.16,False,False
24,,['Balance C/F'],,,20861.16,False,False
25,,['Balance B/F'],,,20861.16,False,False
26,10/03,"['TSFR FUND DR-ATM/EFT 619943', 'IBG TRANSFER - HLB FEB 20 SALARY', 'LEE KAH YOOK']",3371.65,Debit,17489.51,False,False
27,10/03,"['TSFR FUND DR-ATM/EFT 638771', 'IBG TRANSFER - CIM FEB 20 SALARY', 'YAP PUI YEE']",3386.95,Debit,14102.56,False,False
28,10/03,"['TSFR FUND DR-ATM/EFT 723628', 'IBG TRANSFER - CIM FEB 20 SALARY', 'YAP PUI KEI']",2806.52,Debit,11296.04,False,False
29,10/03,"['DR-ECP 828315 2003101758120268', 'KUMPULAN WANG SIMPANAN PEKERJA', '0120200015170239C111935260', 'FPX - MBB0228']",2443.0,Debit,8853.04,False,False
30,11/03,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191173 360.39']",360.39,Credit,9213.43,False,False
31,11/03,"['INSTANT TRSF CR 019016 QU YI TENG', 'SMAS SMAS']",572.0,Credit,9785.43,False,False
32,11/03,"['GST DR 288843', 'CHQB SRS 265 865 CHEQUE PROCESS FEE', '00000000000000050 CHEQUE PROCESS FEE', '0000000500000001']",0.0,,9785.43,False,False
33,11/03,['CHEQ 288843'],4550.0,Debit,5235.43,False,False
34,11/03,['CHQ PROCESS FEE DR 288843'],0.5,Debit,5234.93,False,False
35,12/03,"['DEP-MERCHANT PYMT 6600071141', '191147 637.96']",637.96,Credit,5872.89,False,False
36,12/03,"['INSTANT TRSF CR 005427', 'SO BEAUTY SKIN CARE STUDI 00243159']",8000.0,Credit,13872.89,False,False
37,12/03,"['INSTANT TRSF DR 140692 LAI MONG TIEN', 'FEB 20 COMM AROMA COMM']",81.9,Debit,13790.99,False,False
38,13/03,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191174 1649.76']",1649.76,Credit,15440.75,False,False
39,13/03,"['TSFR FUND CR-ATM/EFT 129376', '4061XXXXXX YAP YOON KUONG ACCOUNT USE']",4000.0,Credit,19440.75,False,False
40,13/03,"['TSFR FUND DR-ATM/EFT 309561', 'IBG TRANSFER - CIM JAN AND FEB RENTAL', 'ET HOMES SDN BHD']",16000.0,Debit,3440.75,False,False
41,13/03,"['TSFR FUND DR-ATM/EFT 673142', 'IBG TRANSFER - HLB GRAPEFRUIT EO', 'AROMA LA VIDA SDN BHD']",94.0,Debit,3346.75,False,False
42,,['Balance C/F'],,,3346.75,False,False
43,,['Balance B/F'],,,3346.75,False,False
44,14/03,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191175 1944.36']",1944.36,Credit,5291.11,False,False
45,14/03,"['TSFR FUND CR-ATM/EFT 003632', '3196XXXXXX CEDAR WELLNESS SDN BHD', 'COMMISSION FEB20']",300.0,Credit,5591.11,False,False
46,15/03,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191147 66.78']",66.78,Credit,5657.89,False,False
47,15/03,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191176 3892.80']",3892.8,Credit,9550.69,False,False
48,16/03,"['DEP-MERCHANT PYMT 6600071141', '191148 492.23']",492.23,Credit,10042.92,False,False
49,16/03,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191177 1992.58']",1992.58,Credit,12035.5,False,False
50,16/03,"['DEP-ECP 160830', 'IMEPS20200316100002226112616 HSB', 'GLOBAL PYMT CARD PRO M S/B HSB', '000000015558850 LP KLHE79380']",1677.02,Credit,13712.52,False,False
51,18/03,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191148 780.69']",780.69,Credit,14493.21,False,False
52,20/03,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191178 514.18']",514.18,Credit,15007.39,False,False
53,20/03,"['DEP-ECP 109133', 'IMEPS20200320100002290455974 OCB', 'AROMA LA VIDA SDN BH OCB', 'AROMA LA VIDA S/B COMM 1/3 - 15/3/2020']",2234.7,Credit,17242.09,False,False
54,22/03,"['INSTANT TRSF DR 631031 CHOK SIOK LIAN', 'COLLAGEN AND WHITENING CAPSULE', '100BOXES']",9860.0,Debit,7382.09,False,False
