,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Jumlah Debit / Total Debits'],,,71277.77,False,False
1,,['Jumlah Kredit / Total Credits'],,,87657.34,False,False
2,,['Balance From Last Statement'],,,18131.51,False,False
3,01/11,"['DEP-MERCHANT PYMT 6600071141', '170731 136.62']",136.62,Credit,18268.13,False,False
4,01/11,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '170780 1675.29']",1675.29,Credit,19943.42,False,False
5,01/11,"['TSFR FUND DR-ATM/EFT 144785', 'IBG TRANSFER - MBB INV BS001508', 'BLISS SYNERGY ENTERPRISE']",10130.0,Debit,9813.42,False,False
6,03/11,"['DEP-MERCHANT PYMT 6600071141', '170732 746.46']",746.46,Credit,10559.88,False,False
7,,['Balance C/F'],,,10559.88,False,False
8,,['Balance B/F'],,,10559.88,False,False
9,03/11,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '170760 7991.52']",7991.52,Credit,18551.4,False,False
10,05/11,"['TSFR FUND DR-ATM/EFT 181423', '4061XXXXXX YAP YOON KUONG OWN USE']",8000.0,Debit,10551.4,False,False
11,05/11,"['TSFR FUND DR-ATM/EFT 212771', 'IBG TRANSFER - HLB SMAS MASK', 'GOO PECK SEE']",4306.05,Debit,6245.35,False,False
12,05/11,"['TSFR FUND DR-ATM/EFT 298688', 'IBG TRANSFER - MBB BALANCE QUO10 0046', 'STLYEE CATERING SERVICES']",1894.0,Debit,4351.35,False,False
13,05/11,"['TSFR FUND DR-ATM/EFT 375810', 'KOTAK VENTURES BALANCE OF QUO168', 'BALANCE OF QUO168']",799.0,Debit,3552.35,False,False
14,05/11,"['TSFR FUND DR-ATM/EFT 387039', 'CHARLIE CHAPLIN PART IV19180 IV19180']",350.0,Debit,3202.35,False,False
15,06/11,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191105 972.18']",972.18,Credit,4174.53,False,False
16,07/11,"['DEP-ECP 219712', 'IMEPS20191107100002278037592 MBB', 'SO BEAUTY SKIN CARE STUDI MBB', 'PRIVATE TRANSACTION ACCOUNT USE']",14000.0,Credit,18174.53,False,False
17,08/11,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191105 901.48 835136 942.72']",1844.2,Credit,20018.73,False,False
18,08/11,"['DEP-MERCHANT PYMT 6600071141', '835107 1980.00']",1980.0,Credit,21998.73,False,False
19,08/11,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191106 2258.60']",2258.6,Credit,24257.33,False,False
20,09/11,"['DEP-MERCHANT PYMT', 'MASTERCARD PYMT 5500166042', '191106 433.55']",433.55,Credit,24690.88,False,False
21,09/11,"['DEP-MERCHANT PYMT', 'VISA CARD PYMT 3300172055', '191107 706.25']",706.25,Credit,25397.13,False,False
22,09/11,"['TSFR FUND CR-ATM/EFT 989319', 'TAN LEE LEE SKIN CARE PRODUCTS', 'INSTANT TRANSFER']",1123.75,Credit,26520.88,False,False
23,,['Balance C/F'],,,26520.88,False,False
24,,['Balance B/F'],,,26520.88,False,False
