,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,321013.01,True,False
1,01/04,"['TRANSFER TO LOAN', '0000122200052017273L']",13022.0,Debit,334035.01,True,False
2,01/04,"['CR ADVICE - IBG', 'PV-03600', 'MYLAB SCIENTIFIC SDN', 'GAIA SCIENCE M SDN']",400.0,Credit,333635.01,True,False
3,01/04,"['CR ADVICE - IBG', 'CARLSBERG BREWERY MA', '2006649410001']",40380.0,Credit,293255.01,True,False
4,02/04,"['IBFT FRM OTHS TO CA', 'HUSSAIN PURCHASE USM', 'BLADE AND SAPHIRE HA', 'ALZAHRANI HUSSAIN SA', 'GAIA SCIENCE (M) SDN']",740.0,Credit,292515.01,True,False
5,02/04,"['IB2G IBG Dr CA', 'AOBIBG02042019774673', 'ADV CASH TO UTHM JB', 'AC19D002#03-040419', 'I164128593466', 'V1841107146103', 'ZULFADLI BIN ZUBER']",400.0,Debit,292915.01,True,False
6,02/04,"['IB2G IBG Dr CA', 'AOBIBG02042019774660', 'ADV CASH TO SOUTH', 'AC19D001#03-050419', 'I162834019423', 'V1881004086853', 'MUHAMMAD AZRI BIN']",700.0,Debit,293615.01,True,False
7,03/04,"['IBFT FRM OTHS TO CA', 'shalini krishnan', 'Aimst university', 'SHALINI A/P KRISHNAN', 'GAIA SCIENCE (M) SDN']",249.0,Credit,293366.01,True,False
8,03/04,"['IBFT FRM OTHS TO CA', 'Silicone Tubing', 'INSTANT TRANSFER', 'TRASTEKNIK RESOURCES', 'GAIA SCIENCE (M) SDN']",730.0,Credit,292636.01,True,False
9,04/04,"['CR ADVICE - IBG', 'PROFORMA INVOICE:190', 'SYDNEY CAKE HOUSE SD', '73712HAAT385']",1200.0,Credit,291436.01,True,False
10,05/04,"['CR ADVICE - IBG', 'Outward ACH from GAI', 'GAIA SCIENCE (M) SDN', 'MC19D005']",40000.0,Credit,251436.01,True,False
11,05/04,"['111780', 'LOCAL CHQ DEP/MISC', 'PUBLIC']",13361.0,Credit,238075.01,True,False
12,05/04,"['IB2G IBG Dr CA', 'AOBIBG05042019788636', 'CLAIM 1602-150319', 'AC19D004#MEGAN', 'I112884031644', 'V1820524085716', 'LEE PEI YEE']",1233.23,Debit,239308.24,True,False
