,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,389136.53,True,False
1,01/02,"['TRANSFER TO LOAN', '0000122200052017273L']",13022.0,Debit,402158.53,True,False
2,02/02,"['IB2G IBG Dr CA', 'AOBIBG01022019588432', 'GAIA#INV20181106', 'AC19B001#YS ADVERTIS', 'I23000019122', 'YS ADVERTISING SIGNB']",636.0,Debit,402794.53,True,False
3,02/02,"['IB2G IBG Dr CA', 'AOBIBG01022019588469', 'GAIA#SOPNSORSHIP', 'AC19B003#UiTM', 'I105140003422', 'BENDAHARI UiTM']",1500.0,Debit,404294.53,True,False
4,02/02,"['IB2G IBG Dr CA', 'AOBIBG01022019588476', ""CLAIM OCT'18"", 'AC19B004#STEVEN', 'I164726068024', 'V1760925145001', 'STEVEN SURESH SUBRAM']",2601.27,Debit,406895.8,True,False
5,02/02,"['IB2G IBG Dr CA', 'AOBIBG01022019588443', 'RFD JOB POSTING', 'AC19B002#BEE BEE', 'I107059680524', 'V1760619075244', 'GOH BEE BEE']",636.0,Debit,407531.8,True,False
6,12/02,"['CR ADVICE - IBG', 'BEBK021137491676', 'MY CO2 SDN BHD', 'SOM19010003']",32400.0,Credit,375131.8,True,False
7,13/02,"['FPX ABB as Byr (CA)', 'AOBB2B13022019421736', '1902131148000052', 'B3200072521W20190100', 'PERTUBUHAN KESELAMAT']",1514.5,Debit,376646.3,True,False
8,13/02,"['FPX ABB as Byr (CA)', 'AOBB2B13022019421772', '1902131151190525', 'B3200072521W201901E0', 'PERTUBUHAN KESELAMAT']",269.4,Debit,376915.7,True,False
9,13/02,"['IB2G BILLS PAYMNT CA', 'AOBBPT13022019253992', 'LHDN C20926719040', '000000253992']",1360.0,Debit,378275.7,True,False
10,13/02,"['FPX ABB as Byr (CA)', 'AOBB2B13022019421658', '1902131141040922', '0220190017012525C106', 'KUMPULAN WANG SIMPAN']",36490.0,Debit,414765.7,True,False
11,15/02,"['CR ADVICE - IBG', 'Outward ACH from GAI', 'GAIA SCIENCE (M) SDN', 'MC19B009']",25000.0,Credit,389765.7,True,False
12,15/02,"['CR ADVICE - IBG', 'INTERBANK GIRO', 'COLGATE-PALMOLIVE MA', '04590GZ8SEX']",800.0,Credit,388965.7,True,False
13,15/02,"['CR ADVICE - IBG', 'Payment against PFIV', 'ATLAS BIOTECH SDN BH', '1255678TAAA179']",2736.0,Credit,386229.7,True,False
14,16/02,"['IB2G IBG Dr CA', 'AOBIBG15022019614963', 'GAIA SC*BUCHI TRAINI', 'AC19B009*NOR HAZINAH', 'I164490228771', 'NOR HAZINAH BINTI A']",140.0,Debit,386369.7,True,False
15,18/02,"['CR ADVICE - IBG', 'PFIVM190130-012', 'SRI HIJRAH (M) SDN B', 'BIL 00002401 (50%)']",1323.5,Credit,385046.2,True,False
16,22/02,"['555310', 'LOCAL CHQ DEP/MISC', 'HSBC BANK']",56140.0,Credit,328906.2,True,False
17,25/02,"['NBPS IBG Dr CA', 'AOBJOM25022019538500', '62QMKDLE', '3002831000', 'SYABAS', '32037861', '1']",55.9,Debit,328962.1,True,False
18,25/02,"['NBPS IBG Dr CA', 'AOBJOM25022019538508', '62QVH672', 'L942173100103', 'TM TELEPHONE MULTIM', '007512846929', '1']",218.05,Debit,329180.15,True,False
19,25/02,"['NBPS IBG Dr CA', 'AOBJOM25022019538503', '62QHMYDH', '66073016', 'IWK SDN BHD - JOMPAY', '0380653889', '1']",32.0,Debit,329212.15,True,False
20,25/02,"['NBPS IBG Dr CA', 'AOBJOM25022019538491', '62QVQF8E', '220205400005', 'TENAGA NASIONAL BERH', '1481190732', '1']",131.5,Debit,329343.65,True,False
21,25/02,"['NBPS IBG Dr CA', 'AOBJOM25022019538505', '62QYVA6G', '1002270617', 'TM UNIFI', '002427551409', '1']",339.1,Debit,329682.75,True,False
22,25/02,"['NBPS IBG Dr CA', 'AOBJOM25022019538493', '62QNQ2PU', '220205406205', 'TENAGA NASIONAL BERH', '1481190741', '1']",680.2,Debit,330362.95,True,False
23,25/02,"['NBPS IBG Dr CA', 'AOBJOM25022019538498', '62QBQ5WI', '1002831000', 'SYABAS', '32037944', '1']",36.0,Debit,330398.95,True,False
24,26/02,"['IB2G BLKTRF Dr CA(m)', 'AOBPR26022019465225', ""SAL FEB'19+S.INC18""]",76125.1,Debit,406524.05,True,False
25,27/02,"['CR ADVICE - IBG', 'PROFORMA INVOICE:190', 'SYDNEY CAKE HOUSE SD', '73712HAAS805']",1200.0,Credit,405324.05,True,False
26,28/02,"['IB2G IBG Dr CA', 'AOBIBG28022019662007', 'FUNDS FROM ALLIANCE', 'MB19B032', 'I1413010360', 'V3873470D', 'GAIA SCIENCE (M) SDN']",16200.0,Debit,421524.05,True,False
27,28/02,"['IB2G IBG Dr CA', 'AOBIBG28022019662033', ""GAIA#JAN'19"", 'AC19B033', 'I794156111983', 'V323332X', 'DHL EXPRESS (MALAYSI']",3192.81,Debit,424716.86,True,False
28,28/02,"['IB2G IBG Dr CA', 'AOBIBG28022019662103', 'GAIA#SMINV19279896', 'AC19B038#SENDI MAHIR', 'I26000018780', 'V3333138T', 'SENDI MAHIR SDN BHD']",440.0,Debit,425156.86,True,False
29,28/02,"['IB2G IBG Dr CA', 'AOBIBG28022019662088', 'GAIA#BR4120350159', 'I98992000554545', 'V3735420H', 'COWAY (M) SDN BHD']",90.0,Debit,425246.86,True,False
30,28/02,"['IB2G IBG Dr CA', 'AOBIBG28022019662042', 'GAIA#INV.00020303', 'AC19B034#LIAN BROTHE', 'I3159756109', 'V3880416U', 'LIAN BROTHERS ENTERP']",217.5,Debit,425464.36,True,False
31,28/02,"['IB2G IBG Dr CA', 'AOBIBG28022019662053', ""GAIA#DEC'18"", 'AC19B035#CITY-LINK', 'I512101133447', 'V364844A', 'CITY-LINK EXPRESS (M']",326.13,Debit,425790.49,True,False
32,28/02,"['IB2G IBG Dr CA', 'AOBIBG28022019662074', 'RFD EPEROLEHAN FEE', 'AC19B036#RENEWAL', 'I107059680524', 'V1760619075244', 'GOH BEE BEE']",50.0,Debit,425840.49,True,False
33,28/02,"['CR ADVICE - IBG', 'BEBK022874095577', 'LOTUS LABORATORY SER', 'LOTUS LAB']",17750.0,Credit,408090.49,True,False
34,28/02,['COMMITMENT FEE'],56.04,Debit,408146.53,True,False
35,28/02,['ODP Int/CLF Pft'],2668.26,Debit,410814.79,True,False
36,,['ENDING BALANCE'],,,410814.79,True,False
37,,['TOTAL DEBIT'],,,159027.76,False,False
38,,['TOTAL CREDIT'],,,137349.5,False,False
