,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,450843.97,True,False
1,01/01,"['TRANSFER TO LOAN', '0000122200052017273L']",13022.0,Debit,463865.97,True,False
2,02/01,"['IB2G IBG Dr CA', 'AOBIBG31122018434704', ""GAIA#OCT'18"", 'AC18L030#MSIG INS', 'I514011279262', 'V346983W', 'MSIG INSURANCE (M) S']",150.93,Debit,464016.9,True,False
3,02/01,"['IB2G IBG Dr CA', 'AOBIBG31122018434752', ""GAIA#OCT'18"", 'AC18L032#CITY-LINK', 'I512101133447', 'V364844A', 'CITY-LINK EXPRESS (M']",424.84,Debit,464441.74,True,False
4,02/01,"['IB2G IBG Dr CA', 'AOBIBG31122018434856', ""GAIA#DEC'18"", 'AC18L038#CUSTOM DUTY', 'I7768000236182', 'V327993T', 'TNT EXPRESS WORLDWID']",2529.4,Debit,466971.14,True,False
5,02/01,"['IB2G IBG Dr CA', 'AOBIBG31122018434763', ""GAIA#NOV'18"", 'AC18L033#DHL EXPRESS', 'I794156111983', 'V323332X', 'DHL EXPRESS (MALAYSI']",1882.4,Debit,468853.54,True,False
6,02/01,"['IBFT FRM OTHS TO CA', 'SOM18120042', 'APPLE PC ENTERPRISE', 'GAIA SCIENCE (M) SDN']",2080.5,Credit,466773.04,True,False
7,02/01,"['IB2G IBG Dr CA', 'AOBIBG02012019444077', ""GAIA#OCT'18"", 'AC18L035', 'I3159756109', 'V3880416U', 'LIAN BROTHERS ENTERP']",302.0,Debit,467075.04,True,False
8,02/01,"['IB2G IBG Dr CA', 'AOBIBG02012019444066', ""GAIA#OCT'18"", 'AC18L34#FUJI XEROX', 'I98888000107379', 'V3993478A', 'FUJI XEROX ASIA PACI']",1808.32,Debit,468883.36,True,False
9,02/01,"['IB2G IBG Dr CA', 'AOBIBG02012019444087', ""GAIA#NOV'18"", 'AC18L036#SN MULTILIN', 'I512316114732', 'V3767539M', 'SN MULTILINK (M) SDN']",810.0,Debit,469693.36,True,False
10,02/01,"['IB2G IBG Dr CA', 'AOBIBG02012019444046', 'GAIA#INV.G20568', 'AC18L031#SGS', 'I31600025099', 'V31097795X', 'SGS NETWORKS SDN BHD']",250.0,Debit,469943.36,True,False
11,02/01,"['IB2G IBG Dr CA', 'AOBIBG02012019444117', ""GAIA#NOV'18"", 'AC18L039#TNT EXPRESS', 'I7768000236182', 'V327993T', 'TNT EXPRESS WORLDWID']",2460.44,Debit,472403.8,True,False
12,02/01,"['IB2G IBG Dr CA', 'AOBIBG02012019444097', ""GAIA#OCT'18"", 'AC18L037#SCHENKER', 'I0019505000', 'V3147186D', 'SCHENKER LOGISTICS (']",3058.9,Debit,475462.7,True,False
13,02/01,"['CR ADVICE - IBG', 'BORNEO INDAH SDN BHD', 'MO/PO18544']",43600.0,Credit,431862.7,True,False
14,02/01,"['743237', 'LOCAL CHQ DEP/MISC', 'UOBM']",1750.0,Credit,430112.7,True,False
15,02/01,"['503461', 'LOCAL CHQ DEP/MISC', 'HSBC BANK']",450.0,Credit,429662.7,True,False
16,04/01,"['IB2G IBG Dr CA', 'AOBIBG03012019451496', 'GAIA#INV.6402787', 'AC19A001', 'I11600030929', 'V3795266K', 'INNOCHANNEL SDN BHD']",4290.0,Debit,433952.7,True,False
17,04/01,"['IB2G IBG Dr CA', 'AOBIBG03012019451504', 'GAIA#FS022135', 'AC19A002#PO32198', 'I353340854101', 'V3306965V', 'FISHER SCIENTIFIC (M']",5000.0,Debit,438952.7,True,False
18,04/01,"['IB2G IBG Dr CA', 'AOBIBG03012019451515', 'GAIA#FSMS146121', 'AC19A003#PO32866', 'I353340854101', 'V3306965V', 'FISHER SCIENTIFIC (M']",5574.3,Debit,444527.0,True,False
19,04/01,"['CR ADVICE - IBG', 'BEBK010430821217', 'BIOTEK ABADI SDN BHD', 'SOM19010002']",13680.0,Credit,430847.0,True,False
20,07/01,"['IBFT FRM OTHS TO CA', 'SARANG JAYA SDN BHD', 'PFIVM190107-003', 'BESTNADE SDN BHD', 'GAIA SCIENCE (M) SDN']",5000.0,Credit,425847.0,True,False
21,08/01,"['072427', 'LOCAL CHQ DEP/MISC', 'ISLAM']",3100.0,Credit,422747.0,True,False
22,09/01,"['CR ADVICE - IBG', 'DT-30%', 'DAHAN TECH', 'SOM19010008']",28800.0,Credit,393947.0,True,False
23,10/01,"['CR ADVICE - IBG', 'BEBK010935702219', 'MY CO2 SDN BHD', 'SOM19010003']",54000.0,Credit,339947.0,True,False
24,11/01,"['IB2G IBG Dr CA', 'AOBIBG10012019493979', 'FUNDS TO SCB', 'AC19A004#GAIA SCB', 'I633409982469', 'V3873470D', 'GAIA SCIENCE (M) SDN']",17500.0,Debit,357447.0,True,False
25,11/01,"['IB2G IBG Dr CA', 'AOBIBG10012019494491', 'CIME PROF SVC UM0573', 'GAIASCIENCE*AC19A005', 'I8001279998', 'BENDAHARI UNIVERSITI']",4700.0,Debit,362147.0,True,False
26,11/01,"['CR ADVICE - IBG', 'ANP 21803119', 'HOVID BERHAD', '108664 LGS05']",900.0,Credit,361247.0,True,False
27,12/01,"['FPX ABB as Byr (CA)', 'AOBB2B11012019324474', '1901111741010948', '0120190017012525C106', 'KUMPULAN WANG SIMPAN']",25670.0,Debit,386917.0,True,False
28,12/01,"['FPX ABB as Byr (CA)', 'AOBB2B11012019324525', '1901111802090714', 'B3200072521W201812E0', 'PERTUBUHAN KESELAMAT']",286.4,Debit,387203.4,True,False
29,12/01,"['FPX ABB as Byr (CA)', 'AOBB2B11012019324513', '1901111759290653', 'B3200072521W20181200', 'PERTUBUHAN KESELAMAT']",1610.1,Debit,388813.5,True,False
30,12/01,"['IB2G BILLS PAYMNT CA', 'AOBBPT11012019250798', 'LHDN C20926719040', '000000250798']",1360.0,Debit,390173.5,True,False
31,16/01,"['IB2G IBG Dr CA', 'AOBIBG16012019516228', 'FUNDS FROM ALLIANCE', 'AC19A010#GAIA UOB', 'I1413010360', 'V3873470D', 'GAIA SCIENCE (M) SDN']",38000.0,Debit,428173.5,True,False
32,18/01,"['NBPS IBG Dr CA', 'AOBJOM17012019507134', '61H54UQT', '220205406205', 'TENAGA NASIONAL BERH', '1467897152', '1']",680.65,Debit,428854.15,True,False
