,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,356963.43,True,False
1,01/06,"['TRANSFER TO LOAN', '0000122200052017273L']",13022.0,Debit,369985.43,True,False
2,03/06,"['CR ADVICE - IBG', 'ANP 21805535', 'HOVID BERHAD', '111227 LGS05']",5700.0,Credit,364285.43,True,False
3,03/06,"['CR ADVICE - IBG', 'BEBK060124933360', 'S & P INDUSTRIES SDN', 'SNP PV 1906042']",2432.5,Credit,361852.93,True,False
4,03/06,"['000017', 'LOCAL CHQ DEP/MISC', 'HLBANK']",6640.0,Credit,355212.93,True,False
5,03/06,"['CR ADVICE - IBG', 'TIDY NON-WOVEN SDN B', 'GAIA_310519']",19500.0,Credit,335712.93,True,False
6,03/06,"['IB2G IBG Dr CA', 'AOBIBG03062019973436', 'RFD PO33099 INVOLT', 'AC19F003#CHANG', 'I3118393632', 'V1701231075133', 'CHANG HUAI CHOONG']",1525.0,Debit,337237.93,True,False
7,03/06,"['IB2G IBG Dr CA', 'AOBIBG03062019973425', 'RFD PO32783 GSS', 'AC19F002#CHANG', 'I3118393632', 'V1701231075133', 'CHANG HUAI CHOONG']",2019.41,Debit,339257.34,True,False
8,03/06,"['IB2G IBG Dr CA', 'AOBIBG03062019973401', 'GAIA#INV.01059449', 'AC19F001#SCHENKER', 'I0019505000', 'V3147186D', 'SCHENKER LOGISTICS']",2759.05,Debit,342016.39,True,False
9,10/06,"['IB2G IBG Dr CA', 'AOBIBG10062019986134', 'FUNDS FROM ALLIANCE', 'AC19F004', 'I1413010360', 'V3873470D', 'GAIA SCIENCE (M) SDN']",12000.0,Debit,354016.39,True,False
10,11/06,"['IB2G IBG Dr CA', 'AOBIBG11062019990223', 'GAIA#INV.13634', 'AC19F005#PO33091', 'I014075111249', 'V3138475', 'ENGINEERING LABORATO']",350.0,Debit,354366.39,True,False
11,13/06,"['FPX ABB as Byr (CA)', 'AOBB2B13062019914005', '1906131638360137', 'B3200072521W20190500', 'PERTUBUHAN KESELAMAT']",1764.0,Debit,356130.39,True,False
12,13/06,"['FPX ABB as Byr (CA)', 'AOBB2B13062019914163', '1906131650010263', 'B3200072521W201905E0', 'PERTUBUHAN KESELAMAT']",313.8,Debit,356444.19,True,False
13,13/06,"['FPX ABB as Byr (CA)', 'AOBB2B13062019913592', '1906131604310156', '0620190017012525C108', 'KUMPULAN WANG SIMPAN']",35706.0,Debit,392150.19,True,False
14,13/06,"['IB2G BILLS PAYMNT CA', 'AOBBPT13062019269019', 'LHDN C20926719040', '000000269019']",1360.0,Debit,393510.19,True,False
15,14/06,"['IB2G IBG Dr CA', 'AOBIBG14062019001393', 'GAIA#SMINV19286608', 'AC19F011#SENDI MAHIR', 'I26000018780', 'V3333138T', 'SENDI MAHIR SDN BHD']",820.0,Debit,394330.19,True,False
16,14/06,"['IB2G IBG Dr CA', 'AOBIBG14062019001311', 'FUNDS FROM ALLIANCE', 'AC19F010', 'I1413010360', 'V3873470D', 'GAIA SCIENCE (M) SDN']",1080.0,Debit,395410.19,True,False
17,17/06,"['CR ADVICE - IBG', 'Outward ACH from GAI', 'GAIA SCIENCE (M) SDN', 'MC19F016']",30000.0,Credit,365410.19,True,False
18,17/06,"['IBFT FRM OTHS TO CA', 'CRYOLAB', 'ZA EDUMED RESOURCES', 'GAIA SCIENCE (M) SDN']",3800.0,Credit,361610.19,True,False
19,17/06,"['CR ADVICE - IBG', '20120619/PO', 'MODERN-LAB CHEMICALS', 'SOM19060009']",3000.0,Credit,358610.19,True,False
20,18/06,"['IB2G IBG Dr CA', 'AOBIBG17062019006905', 'GAIA#UC2-INV1900534', 'AC19F012#ULTRA CLEAN', 'I8008211728', 'V31040447X', 'ULTRA CLEANING SDN']",320.0,Debit,358930.19,True,False
21,18/06,"['IB2G IBG Dr CA', 'AOBIBG17062019006924', 'GAIA#EXHIBITION', 'AC19F013#04-050719', 'I3118325015', 'UNIVERSITI TUNKU ABD']",3000.0,Debit,361930.19,True,False
22,18/06,"['IB2G IBG Dr CA', 'AOBIBG17062019006944', 'GAIA#SPONSORSHIP', 'AC19F014#UMT', 'I8601751742', 'UNIVERSITI MALAYSIA']",3000.0,Debit,364930.19,True,False
23,19/06,"['CR ADVICE - IBG', 'PRIVATE TRANSACTION', 'BIOGARD ASIA (M) SDN', 'MB19F015']",5000.0,Credit,359930.19,True,False
24,19/06,"['CR ADVICE - IBG', 'Pv2018101115', 'GENOMAX TECHNOLOGIES', 'SOM19050050']",5795.0,Credit,354135.19,True,False
25,19/06,"['CR ADVICE - IBG', 'PRIVATE TRANSACTION', 'O & E TECHNOLOGIES S', 'SUPPLIER']",2415.0,Credit,351720.19,True,False
26,20/06,"['IB2G IBG Dr CA', 'AOBIBG20062019019337', 'AC19F015*PO33102', 'GAIA*REMI SCIENTIFIC', 'I3119508210', 'V3597549A', 'REMI SCIENTIFIC SDN']",4800.0,Debit,356520.19,True,False
27,24/06,"['IBFT FRM OTHS TO CA', 'KCL', 'INSTANT TRANSFER', 'AMAN SAINTIFIK RESOU', 'GAIA SCIENCE (M) SDN']",150.0,Credit,356370.19,True,False
28,24/06,"['690757', 'LOCAL CHQ DEP/MISC', 'UOBM']",1261.0,Credit,355109.19,True,False
29,24/06,"['677095', 'LOCAL CHQ DEP/MISC', 'HSBC BANK']",17500.0,Credit,337609.19,True,False
30,24/06,"['673996', 'LOCAL CHQ DEP/MISC', 'HSBC BANK']",6200.0,Credit,331409.19,True,False
31,24/06,"['IB2G IBG Dr CA', 'AOBIBG24062019028970', 'GAIA SCIENCE*EXHIBIT', 'AC19F016*', 'I794146966242', 'DIABETES MALAYSIA']",5000.0,Debit,336409.19,True,False
32,25/06,"['IBFT FRM OTHS TO CA', 'Gaia Science (M) SB', 'Sieve Shaker Payment', 'SAZWAN BIN SAHAR', 'GAIA SCIENCE (M) SDN']",9975.0,Credit,326434.19,True,False
33,25/06,"['NBPS IBG Dr CA', 'AOBJOM25062019643644', '66QDSYTI', '3002831000', 'SYABAS', '39164312', '1']",36.0,Debit,326470.19,True,False
34,25/06,"['NBPS IBG Dr CA', 'AOBJOM25062019643652', '66Q8W95Y', '1002270617', 'TM UNIFI', '002625357641', '1']",339.9,Debit,326810.09,True,False
35,25/06,"['NBPS IBG Dr CA', 'AOBJOM25062019643649', '66QYF0Y3', 'L942173100103', 'TM TELEPHONE MULTIM', '007852022818', '1']",235.1,Debit,327045.19,True,False
