,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,410814.79,True,False
1,01/03,"['TRANSFER TO LOAN', '0000122200052017273L']",13448.56,Debit,424263.35,True,False
2,01/03,"['CR ADVICE - IBG', '8) DoA - DARI M/CON', 'DEWAN BANDARAYA KUAL', 'BEFTCA0377232 (37254']",775120.0,Credit,350856.65,False,False
3,01/03,"['086874', 'LOCAL CHQ DEP/MISC', 'MAYBANK']",1500.0,Credit,352356.65,False,False
4,01/03,"['CR ADVICE - IBG', 'CARLSBERG BREWERY MA', '2006609710001']",2200.0,Credit,354556.65,False,False
5,02/03,"['IB2G IBG Dr CA', 'AOBIBG01032019666147', ""GAIA#JAN'19"", 'AC19C005#MULTI-TRANS', 'I8600505232', 'V364279H', 'MULTI-TRANS SDN BHD']",6604.43,Debit,347952.22,False,False
6,02/03,"['IB2G IBG Dr CA', 'AOBIBG01032019666136', 'GAIA#P40000002998686', 'AC19C004#MSIG INS', 'I514011279262', 'V346983W', 'MSIG INSURANCE (M)']",314.47,Debit,347637.75,False,False
7,02/03,"['IB2G IBG Dr CA', 'AOBIBG01032019666084', ""GAIA#JAN'19"", 'AC19C001#SUM YAU', 'I3131084128', 'V3686755X', 'SUM YAU INSTRUMENT']",3460.0,Debit,344177.75,False,False
8,02/03,"['IB2G IBG Dr CA', 'AOBIBG01032019666119', ""GAIA#JAN'19"", 'AC19C003#SN MULTILIN', 'I512316114732', 'V3767539M', 'SN MULTILINK (M) SDN']",5340.0,Debit,338837.75,False,False
9,02/03,"['IB2G IBG Dr CA', 'AOBIBG01032019666107', ""GAIA#JAN'19"", 'AC19C002#TNT EXPRESS', 'I7768000236182', 'V327993T', 'TNT EXPRESS WORLDWID']",6714.12,Debit,332123.63,False,False
10,03/03,"['IBFT FRM OTHS TO CA', 'PFIVM 190215-004', 'IE191502', 'INSTRUMENT ENGINEERI', 'GAIA SCIENCE (M) SDN']",10200.0,Credit,342323.63,False,False
11,04/03,"['021794', 'LOCAL CHQ DEP/MISC', 'RHBBANK']",210375.0,Credit,552698.63,False,False
12,04/03,"['021683', 'LOCAL CHQ DEP/MISC', 'RHBBANK']",5060.0,Credit,557758.63,False,False
13,04/03,"['IB2G IBG Dr CA', 'AOBIBG04032019675468', 'GAIA#P40000002444338', 'AC19C012#MSIG INS', 'I514011279262', 'V346983W', 'MSIG INSURANCE (M) S']",14.9,Debit,557743.73,False,False
14,04/03,"['IB2G IBG Dr CA', 'AOBIBG04032019675382', ""GAIA#JAN'19"", 'AC19C007#FUJI XEROX', 'I98888000107379', 'V3993478A', 'FUJI XEROX ASIA PACI']",2296.49,Debit,555447.24,False,False
15,04/03,"['IB2G IBG Dr CA', 'AOBIBG04032019675499', 'GAIA#EXHIBITION', 'AC19C014#BIOMEDICAL', 'I352512164101', 'SUNWAY UNIVERSITY']",4000.0,Debit,551447.24,False,False
16,04/03,"['IB2G IBG Dr CA', 'AOBIBG04032019675396', 'GAIA#INV.JK46956', 'AC19C008#JK ADVANCE', 'I633194844399', 'V3538658V', 'JK ADVANCE TECH SDN']",400.0,Debit,551047.24,False,False
17,04/03,"['IB2G IBG Dr CA', 'AOBIBG04032019675457', 'GAIA#REFUND OVERPAID', 'AC19C011#KAPAR', 'I012062200847', 'V338727D', 'KAPAR COCONUT IND']",1090.0,Debit,549957.24,False,False
18,04/03,"['IB2G IBG Dr CA', 'AOBIBG04032019675413', 'RFD HANA FAREWELL', 'AC19C009#ON 260219', 'I114236125111', 'V1680224115061', 'TAN HOCK SENG']",196.1,Debit,549761.14,False,False
19,04/03,"['IB2G IBG Dr CA', 'AOBIBG04032019675433', 'RFD AISHAH WEL.LUNCH', 'AC19C010#ON 010319', 'I114236125111', 'V1680224115061', 'TAN HOCK SENG']",99.95,Debit,549661.19,False,False
20,04/03,"['IB2G IBG Dr CA', 'AOBIBG04032019675368', 'FUNDS FROM ALLIANCE', 'AC19C006#GAIA UOB', 'I1413010360', 'V3873470D', 'GAIA SCIENCE (M) SDN']",28900.0,Debit,520761.19,False,False
21,05/03,"['IB2G IBG Dr CA', 'AOBIBG05032019676788', ""GAIA#JAN'19"", 'AC19C013#METRO', 'I512343513259', 'V3499001X', 'METRO LOGISTICS SDN']",14372.73,Debit,506388.46,False,False
22,05/03,"['IB2G IBG Dr CA', 'AOBIBG05032019680652', 'GAIA#200077730', 'AC19C015#PO32968', 'I514271130072', 'V3295722W', 'BIOMARKETING SERVICE']",630.0,Debit,505758.46,False,False
23,05/03,"['IB2G IBG Dr CA', 'AOBIBG05032019680678', 'GAIA#PO32710', 'AC19C017#REXIMIUS', 'I512884059816', 'V31025994T', 'REXIMIUS SDN BHD']",30000.0,Debit,475758.46,False,False
24,05/03,"['IB2G IBG Dr CA', 'AOBIBG05032019680669', 'GAIA#INV.19-00194', 'AC19C016#PO32978', 'I3115801809', 'V3117689H', 'APP ENGINEERING SDN']",2040.0,Debit,473718.46,False,False
25,05/03,"['IB2G IBG Dr CA', 'AOBIBG05032019680682', 'FUNDS FROM ALLIANCE', 'AC19C018', 'I1413010360', 'V3873470D', 'GAIA SCIENCE (M) SDN']",101500.0,Debit,372218.46,False,False
26,06/03,"['CR ADVICE - IBG', 'ANP 21804009', 'HOVID BERHAD', '109598 LGS05']",5700.0,Credit,377918.46,False,False
27,06/03,"['IBFT FRM OTHS TO CA', 'INM19020008', 'APPLE PC ENTERPRISE', 'GAIA SCIENCE (M) SDN']",18724.5,Credit,396642.96,False,False
28,06/03,"['IB2G IBG Dr CA', 'AOBIBG06032019685257', 'GAIA#CLAIM 1611-1512', 'AC19C027#TUNG', 'I164061749497', 'V1800411145323', 'TUNG HON FAI']",1427.8,Debit,395215.16,False,False
29,06/03,"['IB2G IBG Dr CA', 'AOBIBG06032019685115', 'GAIA#INV.11793', 'AC19C019#GAIN O LINE', 'I562777206938', 'V3SA0135993U', 'GAIN O LINE AIRCOND']",850.0,Debit,394365.16,False,False
30,06/03,"['IB2G IBG Dr CA', 'AOBIBG06032019685145', ""GAIA#CLAIM JAN'19"", 'AC19C021#CHANG', 'I3118393632', 'V1701231075133', 'CHANG HUAI CHOONG']",1254.61,Debit,393110.55,False,False
31,06/03,"['IB2G IBG Dr CA', 'AOBIBG06032019685234', ""GAIA#CLAIM JAN'19"", 'AC19C025#STEVEN', 'I164726068024', 'V1760925145001', 'STEVEN SURESH SUBRAM']",2866.5,Debit,390244.05,False,False
32,06/03,"['IB2G IBG Dr CA', 'AOBIBG06032019685157', ""GAIA#CLAIM JAN'19"", 'AC19C022#CHANG', 'I3118393632', 'V1701231075133', 'CHANG HUAI CHOONG']",2481.81,Debit,387762.24,False,False
33,06/03,"['IB2G IBG Dr CA', 'AOBIBG06032019685220', ""GAIA#CLAIM JAN'19"", 'AC19C024#ZUL', 'I164128593466', 'V1841107146103', 'ZULFADLI BIN ZUBER']",202.2,Debit,387560.04,False,False
34,06/03,"['IB2G IBG Dr CA', 'AOBIBG06032019685210', 'GAIA#GAIA 1 MEETING', 'AC19C023#CHANG', 'I3118393632', 'V1701231075133', 'CHANG HUAI CHOONG']",774.05,Debit,386785.99,False,False
35,06/03,"['IB2G IBG Dr CA', 'AOBIBG06032019685130', 'GAIA#INV.5272', 'AC19C020#PO32938', 'I3984869936', 'V3716179D', 'MUSER APAC SDN BHD']",1376.0,Debit,385409.99,False,False
36,06/03,"['IB2G IBG Dr CA', 'AOBIBG06032019685245', 'GAIA#BRUNEI MEDICORP', 'AC19C026#15-170119', 'I164061749497', 'V1800411145323', 'TUNG HON FAI']",4252.71,Debit,381157.28,False,False
37,08/03,"['DuitNow CR Trf CA', 'RPP190308000044791', 'SOM19030007', 'R n R INDUSTRIAL PRO']",12000.0,Credit,393157.28,False,False
38,08/03,"['IB2G IBG Dr CA', 'AOBIBG07032019689139', 'GAIA#RENEWAL FEES', 'AC19C036#SENNEGO', 'I562142800978', 'COMMERCE DOT COM']",349.0,Debit,392808.28,False,False
39,08/03,"['IB2G IBG Dr CA', 'AOBIBG07032019689042', ""GAIA#FEB'19"", 'AC19C030#QUINOCYCLE', 'I3160234006', 'V3001928439T', 'QUINOCYCLE WASTE SYS']",800.0,Debit,392008.28,False,False
40,08/03,"['IB2G IBG Dr CA', 'AOBIBG07032019689013', 'GAIA#FORUM TPCF', 'AC19C029#V BIG WAVE', 'I562106662835', 'V31154249H', 'FIRM MOTION SDN BHD']",900.0,Debit,391108.28,False,False
41,08/03,"['IB2G IBG Dr CA', 'AOBIBG07032019689057', ""GAIA#DEC'18"", 'AC19C033#PLT', 'I3124863111', 'V3272778W', 'PLT SCIENTIFIC SDN']",11160.0,Debit,379948.28,False,False
42,08/03,"['IB2G IBG Dr CA', 'AOBIBG07032019689105', ""GAIA#DEC'18"", 'AC19C035#CHEMOPHARM', 'I1743034924', 'V3025504W', 'CHEMOPHARM SDN BHD']",37545.0,Debit,342403.28,False,False
43,08/03,"['IB2G IBG Dr CA', 'AOBIBG07032019689091', ""GAIA#DEC'18"", 'AC19C034#METTLER', 'I512473112445', 'V3375197K', 'METTLER-TOLEDO (M)']",45578.6,Debit,296824.68,False,False
44,08/03,"['IB2G IBG Dr CA', 'AOBIBG07032019689700', 'ADV CASH TO PERAK', 'AC19C028#031119', 'I162834019423', 'V1881004086853', 'MUHAMMAD AZRI BIN']",380.0,Debit,296444.68,False,False
45,08/03,"['IB2G IBG Dr CA', 'AOBIBG07032019689049', 'GAIA#INV.01040215', 'AC19C032#SCHENKER', 'I0019505000', 'V3147186D', 'SCHENKER LOGISTICS']",279.8,Debit,296164.88,False,False
46,08/03,"['IB2G IBG Dr CA', 'AOBIBG07032019689721', 'ADV CASH TO KELANTAN', 'AC19C038#12-150319', 'I164128593466', 'V1841107146103', 'ZULFADLI BIN ZUBER']",960.0,Debit,295204.88,False,False
47,08/03,"['IB2G IBG Dr CA', 'AOBIBG07032019689706', 'FUNDS FROM ALLIANCE', 'AC19C037', 'I1413010360', 'V3873470D', 'GAIA SCIENCE (M) SDN']",108000.0,Debit,187204.88,False,False
48,08/03,"['CR ADVICE - IBG', 'ANP 21804092', 'HOVID BERHAD', '109702 LGS05']",2315.0,Credit,189519.88,False,False
49,11/03,"['IB2G IBG Dr CA', 'AOBIBG08032019693839', 'GAIA#000101196849', 'AC19C038#UNITED PARC', 'I794157060762', 'V3172982M', 'UNITED PARCEL SERVIC']",379.2,Debit,189140.68,False,False
50,11/03,"['IBFT FRM OTHS TO CA', 'SOM19030016', 'PABV-17096', 'ARAS BAKTI RESOURCES', 'GAIA SCIENCE (M) SDN']",3400.0,Credit,192540.68,False,False
51,11/03,"['IB2G IBG Dr CA', 'AOBIBG11032019699238', ""GAIA#CAREER FAIR '19"", 'AC19C039#UKM', 'I8002234307', 'UNIVERSITI KEBANGSAA']",1100.0,Debit,191440.68,False,False
52,11/03,"['IB2G IBG Dr CA', 'AOBIBG11032019699247', 'GAIA#SFCHT2019', 'AC19C040#UKM', 'I8002234307', 'UNIVERSITI KEBANGSAA']",2000.0,Debit,189440.68,False,False
53,13/03,"['IBFT FRM OTHS TO CA', 'HEXTAR KCS SDN BHD', 'INSTANT TRANSFER', 'HEXTAR KCS SDN BHD', 'GAIA SCIENCE (M) SDN']",4575.5,Credit,194016.18,False,False
54,13/03,"['FPX ABB as Byr (CA)', 'AOBB2B13032019533542', '1903131850530104', 'B3200072521W20190200', 'PERTUBUHAN KESELAMAT']",1416.5,Debit,192599.68,False,False
55,13/03,"['IB2G IBG Dr CA', 'AOBIBG13032019706678', 'GAIA*ADVANCE CASH ET', 'AC19C043*RAFEEQ', 'I162889053563', 'V1870615145353', 'RAFEEQ BIN RAMLI']",150.0,Debit,192449.68,False,False
56,13/03,"['IB2G BILLS PAYMNT CA', 'AOBBPT13032019257855', 'LHDN C20926719040', '000000257855']",1360.0,Debit,191089.68,False,False
57,13/03,"['FPX ABB as Byr (CA)', 'AOBB2B13032019533164', '1903131727100044', '0320190017012525C107', 'KUMPULAN WANG SIMPAN']",21432.0,Debit,169657.68,False,False
58,13/03,"['IB2G IBG Dr CA', 'AOBIBG13032019704855', 'GAIA#INV.19C13762', 'AC19C042#PO32980', 'I12160017134054', 'V3194001T', 'LABQUIP (M) SDN BHD']",1950.0,Debit,167707.68,False,False
59,13/03,"['IB2G IBG Dr CA', 'AOBIBG13032019704849', 'FUNDS TO SCB', 'AC19C041#GAIA SCB', 'I633409982469', 'V3873470D', 'GAIA SCIENCE (M) SDN']",17500.0,Debit,150207.68,False,False
60,13/03,"['FPX ABB as Byr (CA)', 'AOBB2B13032019533552', '1903131856110373', 'B3200072521W201902E0', 'PERTUBUHAN KESELAMAT']",252.0,Debit,149955.68,False,False
61,14/03,"['IB2G IBG Dr CA', 'AOBIBG14032019711282', 'GAIA#435576140618', 'AC19C066#FEDEX', 'I7714700129606673', 'V3207528U', 'FEDERAL EXPRESS SERV']",109.6,Debit,149846.08,False,False
62,14/03,"['IB2G IBG Dr CA', 'AOBIBG14032019711275', 'RFD MOF REG. FEE', 'AC19C050', 'I107059680524', 'V1760619075244', 'GOH BEE BEE']",400.0,Debit,149446.08,False,False
63,14/03,"['IB2G IBG Dr CA', 'AOBIBG14032019711256', 'GAIA#DUTY', 'AC19C048', 'I7014825761', 'PARTHIBEN SUBRAMANIA']",3360.0,Debit,146086.08,False,False
64,14/03,"['IB2G IBG Dr CA', 'AOBIBG14032019711266', 'GAIA#SKL19030048', 'AC19C049#SAM PEST', 'I3204003108', 'V31010694D', 'SAM PEST MANAGEMENT']",150.0,Debit,145936.08,False,False
65,14/03,"['IB2G IBG Dr CA (M)', 'AOBBY14032019538836', ""GAIASC-CLM JAN'19"", 'AC19C051', 'I162834019423', 'V1881004086853']",129.9,Debit,145806.18,False,False
66,14/03,"['IB2G IBG Dr CA (M)', 'AOBBY14032019538836', ""GAIASC-CLM FEB'19"", 'AC19C052', 'I162834019423', 'V1881004086853']",428.4,Debit,145377.78,False,False
67,14/03,"['IB2G IBG Dr CA (M)', 'AOBBY14032019538836', ""GAIASC-CLM FEB'19"", 'AC19C053', 'I164128593466', 'V1841107146103']",452.8,Debit,144924.98,False,False
68,14/03,"['IB2G IBG Dr CA (M)', 'AOBBY14032019538836', 'GAIASC-CLM 1601-1602', 'AC19C054', 'I12243020122095', 'V1951227105178']",498.38,Debit,144426.6,False,False
69,14/03,"['IB2G IBG Dr CA (M)', 'AOBBY14032019538836', ""GAIASC-CLM FEB'19"", 'AC19C056', 'I114236295846', 'V1910304105681']",167.4,Debit,144259.2,False,False
70,14/03,"['IB2G IBG Dr CA (M)', 'AOBBY14032019538836', 'GAIASC-CLM 0101-2802', 'AC19C062', 'I164557059952', 'V1810724086378']",424.25,Debit,143834.95,False,False
71,14/03,"['IB2G IBG Dr CA (M)', 'AOBBY14032019538836', 'GAIASC-CLM 1601-1502', 'AC19C061', 'I4133889017', 'V1750225085942']",454.64,Debit,143380.31,False,False
72,14/03,"['IB2G IBG Dr CA (M)', 'AOBBY14032019538836', 'GAIASC-CLM 1612-1501', 'AC19C060', 'I4133889017', 'V1750225085942']",502.39,Debit,142877.92,False,False
73,14/03,"['IB2G IBG Dr CA (M)', 'AOBBY14032019538836', ""GAIASC-CLM FEB'19"", 'AC19C065', 'I162889053563', 'V1870615145353']",569.72,Debit,142308.2,False,False
74,14/03,"['IB2G IBG Dr CA (M)', 'AOBBY14032019538836', ""GAIASC-CLM FEB'19"", 'AC19C063', 'I3118393632', 'V1701231075133']",971.11,Debit,141337.09,False,False
75,14/03,"['IB2G IBG Dr CA (M)', 'AOBBY14032019538836', 'GAIASC-CLM 1712-1501', 'AC19C058', 'I158284082949', 'V1880824085843']",1169.33,Debit,140167.76,False,False
76,14/03,"['IB2G IBG Dr CA (M)', 'AOBBY14032019538836', 'GAIASC-CLM 1601-1502', 'AC19C059', 'I158284082949', 'V1880824085843']",1198.57,Debit,138969.19,False,False
77,14/03,"['IB2G IBG Dr CA (M)', 'AOBBY14032019538836', ""GAIASC-CLM FEB'19"", 'AC19C064', 'I3118393632', 'V1701231075133']",1677.95,Debit,137291.24,False,False
78,14/03,"['IB2G IBG Dr CA (M)', 'AOBBY14032019538836', 'GAIASC-CLM 1601-1502', 'AC19C055', 'I112884031644', 'V1820524085716']",1907.66,Debit,135383.58,False,False
