,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,232639.42,True,False
1,01/05,"['TRANSFER TO LOAN', '0000122200052017273L']",13046.99,Debit,245686.41,True,False
2,02/05,"['CR ADVICE - IBG', 'Outward ACH from GAI', 'GAIA SCIENCE (M) SDN', 'MC19D042']",40000.0,Credit,205686.41,True,False
3,03/05,"['IB2G IBG Dr CA', 'AOBIBG03052019871955', 'FUNDS FROM ALLIANCE', 'AC19E001', 'I1413010360', 'V3873470D', 'GAIA SCIENCE (M) SDN']",8700.0,Debit,214386.41,True,False
4,06/05,"['CR ADVICE - IBG', 'BEBK050561258276', 'S & P INDUSTRIES SDN', 'DEPOSIT SOM19030029']",2432.5,Credit,211953.91,True,False
5,06/05,"['631963', 'LOCAL CHQ DEP/MISC', 'HSBC BANK']",4700.0,Credit,207253.91,True,False
6,06/05,"['237089', 'LOCAL CHQ DEP/MISC', 'HLBANK']",17550.0,Credit,189703.91,True,False
7,06/05,"['266866', 'LOCAL CHQ DEP/MISC', 'MAYBANKIS']",5320.0,Credit,184383.91,True,False
8,06/05,"['613382', 'LOCAL CHQ DEP/MISC', 'HSBC BANK']",790.0,Credit,183593.91,True,False
9,06/05,"['IB2G IBG Dr CA', 'AOBIBG06052019883075', 'GAIA#INV20190411', 'AC19E002#YS ADVERTIS', 'I23000019122', 'YS ADVERTISING SIGNB']",1272.0,Debit,184865.91,True,False
10,07/05,"['IBFT FRM OTHS TO CA', 'KAPAR COCONUT', 'SOM19040051', 'NURUL AIN BINTI TUZA', 'GAIA SCIENCE (M) SDN']",100.0,Credit,184765.91,True,False
11,08/05,"['CR ADVICE - IBG', 'IBG TRANSACTION', 'ETIKA BEVERAGES SDN', 'IBG TRANSACTION']",3000.0,Credit,181765.91,True,False
12,08/05,"['774905', 'LOCAL CHQ DEP/MISC', 'HSBC BANK']",1300.0,Credit,180465.91,True,False
13,08/05,"['951011', 'LOCAL CHQ DEP/MISC', 'CITIBANK']",900.0,Credit,179565.91,True,False
14,09/05,"['IB2G IBG Dr CA', 'AOBIBG08052019891425', 'FUNDS FROM ALLIANCE', 'AC19E005', 'I1413010360', 'V3873470D', 'GAIA SCIENCE (M) SDN']",24000.0,Debit,203565.91,True,False
15,09/05,"['IB2G IBG Dr CA', 'AOBIBG08052019891445', 'GAIA#INV.1905-134', 'AC19E006#PO33065', 'I556169216717', 'V3914100V', 'UNIWELD INDUSTRIAL']",380.0,Debit,203945.91,True,False
16,09/05,"['IB2G IBG Dr CA', 'AOBIBG08052019890811', 'Transfer From ABMB', 'AC19E004', 'I512884005367', 'V3873470D', 'GAIA SCIENCE (M) SDN']",4500.0,Debit,208445.91,True,False
17,09/05,"['IB2G IBG Dr CA', 'AOBIBG08052019890790', 'Transfer From ABMB', 'AC19E003', 'I8008347649', 'V3873470D', 'GAIA SCIENCE (M) SDN']",124000.0,Debit,332445.91,True,False
18,10/05,"['CR ADVICE - IBG', 'ANP 21805143', 'HOVID BERHAD', '110796 LGS05']",5700.0,Credit,326745.91,True,False
19,10/05,"['IBFT FRM OTHS TO CA', 'SOM19030016', 'PABV17096', 'ARAS BAKTI RESOURCES', 'GAIA SCIENCE (M) SDN']",3400.0,Credit,323345.91,True,False
20,10/05,"['031578', 'LOCAL CHQ DEP/MISC', 'CIMB BANK']",1290.0,Credit,322055.91,True,False
21,10/05,"['IB2G IBG Dr CA', 'AOBIBG09052019894949', 'GAIA#IV-03404', 'AC19E008#IKM', 'I3127731017', 'INSTITUT KIMIA MALAY']",1200.0,Debit,323255.91,True,False
22,10/05,"['IB2G IBG Dr CA', 'AOBIBG09052019894679', 'GAIA#INV.SM0414', 'AC19E007#PO33007', 'I512343519901', 'V3001640750K', 'SURIA MAJU MARKETING']",15000.0,Debit,338255.91,True,False
23,13/05,['CDM CA CSH DEP-W/O C'],1700.0,Credit,336555.91,True,False
24,13/05,"['031578', 'LOCAL CHQ RTD/MISC', '41 First Drawer Sign', 're Differs']",1290.0,Debit,337845.91,True,False
25,13/05,"['IBFT FRM OTHS TO CA', 'SOM19050024', 'INSTANT TRANSFER', 'SNZ SUPPLIES & MARKE', 'GAIA SCIENCE (M) SDN']",1290.0,Credit,336555.91,True,False
26,13/05,"['635093', 'LOCAL CHQ DEP/MISC', 'HSBC BANK']",12575.0,Credit,323980.91,True,False
27,13/05,"['CR ADVICE - IBG', 'BEBK051388532380', 'CHAN OI LIN', 'SOM19050022']",720.0,Credit,323260.91,True,False
28,13/05,"['IB2G BILLS PAYMNT CA', 'AOBBPT13052019265462', 'LHDN C20926719040', '000000265462']",1360.0,Debit,324620.91,True,False
29,13/05,"['FPX ABB as Byr (CA)', 'AOBB2B13052019781668', '1905132051260314', 'B3200072521W20190400', 'PERTUBUHAN KESELAMAT']",1617.7,Debit,326238.61,True,False
30,13/05,"['FPX ABB as Byr (CA)', 'AOBB2B13052019781675', '1905132056430511', 'B3200072521W201904E0', 'PERTUBUHAN KESELAMAT']",287.8,Debit,326526.41,True,False
31,13/05,"['FPX ABB as Byr (CA)', 'AOBB2B13052019781653', '1905132036120332', '0520190017012525C108', 'KUMPULAN WANG SIMPAN']",28963.0,Debit,355489.41,True,False
