,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,24071.96,False,False
1,02/04,"['452899', 'LOCAL CHQ DEP/MISC', 'PUBLIC']",4850.0,Credit,28921.96,False,False
2,10/04,"['IB2G FND TRF CA - CA', 'AOBFTR10042020882929', 'Lim Ooi Thiam', ""Salary Feb'20"", 'LIM OOI THIAM', 'POTENTIAL MACHINERY']",3000.0,Debit,25921.96,False,False
3,13/04,"['IB2G FND TRF CA - CA', 'AOBFTR13042020883794', 'Ong Sew Kee', ""Salary FEB'20"", 'ONG SEW KEE', 'POTENTIAL MACHINERY']",6529.15,Debit,19392.81,False,False
4,17/04,"['NBPS IBG Dr CA', 'AOBJOM17042020927989', '74HDBMMF', '1063446106', 'MAXIS', '631564909']",311.2,Debit,19081.61,False,False
5,17/04,"['CR ADVICE - IBG', 'AKAUN KERAJAAN MALAY', 'R305765376']",0.83,Credit,19082.44,False,False
6,27/04,"['CR ADVICE - IBG', 'PRIHATIN PKS1200 - B', 'PERKESO SIP-BAYARAN', 'FL200424999885']",6000.0,Credit,25082.44,False,False
7,28/04,"['IB2G FND TRF CA - CA', 'AOBFTR28042020892765', 'POTENTIAL', 'POTENTIAL MACHINERY', 'YTC ELECTRICAL WORKS']",5221.0,Credit,30303.44,False,False
8,28/04,"['006192', 'ACH INCLEARING-CHEQUE']",110.0,Debit,30193.44,False,False
9,29/04,['CA DR CHQ PRO FEE'],0.5,Debit,30192.94,False,False
10,29/04,"['CR ADVICE - IBG', 'PUJIAN HANDAL SDN BH', 'all dec n jan inv']",9012.0,Credit,39204.94,False,False
11,29/04,"['FPX ABB as Byr (CA)', 'AOBB2B29042020605888', '2004291123240515', '20200429112324_66487', 'PERTUBUHAN KESELAMAT']",221.6,Debit,38983.34,False,False
12,29/04,"['FPX ABB as Byr (CA)', 'AOBB2B29042020607561', '2004291351070603', 'PETD20001677', 'LEMBAGA HASIL DALAM']",470.85,Debit,38512.49,False,False
13,29/04,"['FPX ABB as Byr (CA)', 'AOBB2B29042020605910', '2004291126180363', '20200429112617_25398', 'PERTUBUHAN KESELAMAT']",39.4,Debit,38473.09,False,False
14,29/04,"['FPX ABB as Byr (CA)', 'AOBB2B29042020605746', '2004291111150721', '0420200016299626C112', 'KUMPULAN WANG SIMPAN']",2406.0,Debit,36067.09,False,False
15,29/04,"['IB2G FND TRF CA - CA', 'AOBFTR29042020893890', 'LamKoongSumCarServ', ""Rental-Apr'20"", 'LAM KOONG SUM CAR SE', 'POTENTIAL MACHINERY']",3267.0,Debit,32800.09,False,False
16,30/04,"['CR ADVICE - IBG', 'TOWER BUILD STEEL SD', 'PV2004-0023']",8206.0,Credit,41006.09,False,False
17,,['ENDING BALANCE'],,,41006.09,False,False
18,,['TOTAL DEBIT'],,,16355.7,False,False
19,,['TOTAL CREDIT'],,,33289.83,False,False
