,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,45099.43,False,False
1,03/02,"['IB2G FND TRF CA - CA', 'AOBFTR03022020801338', 'payment', 'POTENTIAL MACHINERY', 'YTC ELECTRICAL WORKS']",7490.0,Credit,52589.43,False,False
2,03/02,"['IB2G FND TRF CA - CA', 'AOBFTR03022020802135', 'Lim Seong Liyn', ""Salary Jan'20"", 'LIM SEONG LIYN', 'POTENTIAL MACHINERY']",2031.25,Debit,50558.18,False,False
3,03/02,"['IB2G FND TRF CA - CA', 'AOBFTR03022020802047', 'Lim Ooi Thiam', ""Salary Dec'19"", 'LIM OOI THIAM', 'POTENTIAL MACHINERY']",3000.0,Debit,47558.18,False,False
4,03/02,"['IB2G FND TRF CA - SA', 'AOBFTR03022020802147', 'Thong Suit Fun', ""Salary Jan'20"", 'THONG SUIT FUN', 'POTENTIAL MACHINERY']",2232.05,Debit,45326.13,False,False
5,03/02,"['IB2G FND TRF CA - CA', 'AOBFTR03022020802139', 'Md Nazib B Md Yusof', ""Salary+Petrol Jan'20"", 'MOHD NAZIB BIN MOHD', 'POTENTIAL MACHINERY']",3066.35,Debit,42259.78,False,False
6,03/02,"['IB2G FND TRF CA - CA', 'AOBFTR03022020802271', 'Lim Ooi Thiam', ""Return#Loan#1#03'18"", 'LIM OOI THIAM', 'POTENTIAL MACHINERY']",10000.0,Debit,32259.78,False,False
7,03/02,"['IB2G FND TRF CA - SA', 'AOBFTR03022020802162', 'Tan Say Yong', 'TSY+Itsoma@29,871.01', 'TAN SAY YONG', 'POTENTIAL MACHINERY']",1000.0,Debit,31259.78,False,False
8,03/02,"['IB2G FND TRF CA - SA', 'AOBFTR03022020802142', 'Nazri Bin Hassan', ""Salary Jan'20"", 'NAZRI BIN HASSAN', 'POTENTIAL MACHINERY']",832.05,Debit,30427.73,False,False
9,03/02,"['IB2G FND TRF CA - CA', 'AOBFTR03022020802020', 'Ong Sew Kee', ""Salary Dec'19"", 'ONG SEW KEE', 'POTENTIAL MACHINERY']",6529.2,Debit,23898.53,False,False
10,03/02,"['006195', 'HOUSE CHEQUE/MISC', 'ALLIANCEB']",3630.0,Debit,20268.53,False,False
11,04/02,['CA DR CHQ PRO FEE'],0.5,Debit,20268.03,False,False
12,04/02,"['CR ADVICE - IBG', 'INV.19106539', 'RAGAWANG CORPORATION', '447230VABB285']",118.0,Credit,20386.03,False,False
13,04/02,"['CR ADVICE - IBG', 'INV.19106551,1910655', 'RAGAWANG CORPORATION', '447230VABB259']",971.0,Credit,21357.03,False,False
14,05/02,"['DuitNow CR Trf CA', 'RPP200205003675840', 'SPARE PART', 'REPAIR MACHINERY', 'PEMBINAAN FOKUS IKHL']",1911.0,Credit,23268.03,False,False
15,05/02,"['CR ADVICE - IBG', ""AP PAYMENT-NOV'19"", 'UTRACON STRUCTURAL S', ""AP PAYMENT-NOV'19""]",7165.0,Credit,30433.03,False,False
16,06/02,"['IB2G BLKTRF Cr CA', 'AOBPR06022020193781', 'PAYROLL', 'INV SEPT OCT 19']",324.0,Credit,30757.03,False,False
17,10/02,"['NBPS IBG Dr CA', 'AOBJOM06022020861974', '72AFSXMW', '1017066026', 'TM UNIFI', '003053391987-Feb20']",232.15,Debit,30524.88,False,False
18,10/02,"['FPX ABB as Byr (CA)', 'AOBB2B10022020215335', '2002101245250017', 'PEAB20003822', 'LEMBAGA HASIL DALAM']",470.85,Debit,30054.03,False,False
19,10/02,"['FPX ABB as Byr (CA)', 'AOBB2B10022020215607', '2002101313220494', '20200210131322_24486', 'PERTUBUHAN KESELAMAT']",39.4,Debit,30014.63,False,False
