,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,53848.56,False,False
1,01/07,"['DuitNow CR Trf CA', 'RPP200701008416435', 'man Long machinery', '8679', 'MAN LONG MACHINERY &']",1195.0,Credit,55043.56,False,False
2,01/07,"['DuitNow CR Trf CA', 'RPP200701008427305', 'machinary', 'payment', 'CHARLES KONG CHING H']",76.0,Credit,55119.56,False,False
3,01/07,"['IB2G FND TRF CA - CA', 'AOBFTR01072020971948', 'payment', 'POTENTIAL MACHINERY', 'YTC ELECTRICAL WORKS']",200.0,Credit,55319.56,False,False
4,01/07,"['CR ADVICE - IBG', 'PUJIAN HANDAL SDN BH', 'all MAR inv']",1347.45,Credit,56667.01,False,False
5,01/07,"['NBPS IBG Dr CA', 'AOBJOM01072020002708', '771FSTL9', 'D929574640106', 'TM Streamy and Voice', '008903941980']",141.0,Debit,56526.01,False,False
6,01/07,"['IB2G FND TRF CA - SA', 'AOBFTR01072020971612', 'Md Asnu B Md Noor', ""Salary June'20"", 'MOHD ASNU BIN MOHD N', 'POTENTIAL MACHINERY']",1176.96,Debit,55349.05,False,False
7,02/07,"['IB2G BLKTRF Dr CA(m)', 'AOBPR01072020976047', 'Payroll 202006']",8038.05,Debit,47311.0,False,False
8,02/07,"['IB2G FND TRF CA - CA', 'AOBFTR02072020973432', 'Lam Koong Sum Car', 'Rental 202007', 'LAM KOONG SUM CAR SE', 'POTENTIAL MACHINERY']",3630.0,Debit,43681.0,False,False
9,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020053122', 'Transfer From ABMB', ""Feb'20"", 'I3186419531', 'Tromac Intertrade SB']",449.3,Debit,43231.7,False,False
10,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020052452', 'Transfer From ABMB', ""Jan'20"", 'I8604121468', 'HL Jaya Mach.SB']",536.0,Debit,42695.7,False,False
11,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020052622', 'Transfer From ABMB', ""Feb'20"", 'I3180857122', 'Jade Marketing']",1930.0,Debit,40765.7,False,False
12,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020052859', 'Transfer From ABMB', ""Jan'20"", 'I1403003722', 'Lepcon Tools (M) SB']",7374.0,Debit,33391.7,False,False
13,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020052795', 'Transfer From ABMB', ""Nov'19"", 'I100810016883', 'Laku Ind.SB']",2430.0,Debit,30961.7,False,False
14,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020052757', 'Transfer From ABMB', ""Jan'20"", 'I3201379012', 'Kien Leong Mach SB']",3835.65,Debit,27126.05,False,False
15,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020052535', 'Transfer From ABMB', ""Nov'19"", 'I17900013963', 'Ikhlas Mach Rental']",4606.45,Debit,22519.6,False,False
16,02/07,"['IB2G FND TRF CA - CA', 'AOBFTR02072020973233', 'Jaya Poligon SB', ""Jan'20"", 'JAYA POLIGON SDN BHD', 'POTENTIAL MACHINERY']",1126.0,Debit,21393.6,False,False
17,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020052949', 'Transfer From ABMB', ""Feb+Mar'20"", 'I1983031000', 'MSEAL SB']",105.0,Debit,21288.6,False,False
18,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020052898', 'Transfer From ABMB', ""Mar'20"", 'I35600054671', 'MK Lubricant SB']",732.0,Debit,20556.6,False,False
19,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020053041', 'Transfer From ABMB', ""Sept'20"", 'I562384529178', 'Pavilion Rental']",4940.0,Debit,15616.6,False,False
20,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020053003', 'Transfer From ABMB', ""Jan'20"", 'I514365706980', 'Overseas Motors Corp']",180.0,Debit,15436.6,False,False
21,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020052703', 'Transfer From ABMB', ""Jan+Feb'20"", 'I514440122869', 'KTS Bearing SB']",1009.0,Debit,14427.6,False,False
22,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020053199', 'Transfer From ABMB', ""Jan'20"", 'I507161205655', 'United Staco Mach.SB']",843.4,Debit,13584.2,False,False
23,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020052824', 'Transfer From ABMB', ""Jan'20"", 'I03600215515', 'LB Auto Supply']",1900.0,Debit,11684.2,False,False
24,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020052577', 'Transfer From ABMB', ""Mar'20"", 'I3182869213', 'IOT Lubricating Oil']",2073.0,Debit,9611.2,False,False
25,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020053309', 'Transfer From ABMB', 'CIN2005286-WXB3269', 'I3989975000', 'My Elink Consultancy']",1574.83,Debit,8036.37,False,False
26,02/07,"['IB2G IBG Dr CA', 'AOBIBG02072020053163', 'Transfer From ABMB', ""Jan'20"", 'I514561100438', 'UMS Corp.SB']",277.14,Debit,7759.23,False,False
