,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,52645.12,False,False
1,01/06,"['CR ADVICE - IBG', 'POTENTIAL MACHINERY', 'GLOBAL ASIATIC SDN B', ""OCT'19""]",4529.5,Credit,57174.62,False,False
2,01/06,"['IB2G IBG Dr CA', 'AOBIBG01062020962754', 'Transfer From ABMB', ""Jan'20"", 'I514338504906', 'STL Seals & O Rings']",45.5,Debit,57129.12,False,False
3,01/06,"['IB2G IBG Dr CA', 'AOBIBG01062020962734', 'Transfer From ABMB', ""Jan'20"", 'I3207496617', 'PTN Ind.(M)SB']",440.0,Debit,56689.12,False,False
4,01/06,"['IB2G IBG Dr CA', 'AOBIBG01062020962392', 'Transfer From ABMB', ""Dec'19"", 'I514244515213', 'HQ Auto SB']",140.0,Debit,56549.12,False,False
5,01/06,"['IB2G IBG Dr CA', 'AOBIBG01062020962368', 'Transfer From ABMB', ""Dec'19"", 'I3138638134', 'GR Jaya SB']",319.0,Debit,56230.12,False,False
6,01/06,"['IB2G IBG Dr CA', 'AOBIBG01062020962339', 'Transfer From ABMB', ""Dec'19"", 'I3177846425', 'Evergreen Binary SB']",3430.5,Debit,52799.62,False,False
7,01/06,"['IB2G IBG Dr CA', 'AOBIBG01062020962260', 'Transfer From ABMB', ""Dec'19"", 'I3177358329', 'ACT Marketing']",1351.25,Debit,51448.37,False,False
8,01/06,"['IB2G IBG Dr CA', 'AOBIBG01062020962596', 'Transfer From ABMB', ""Dec'19"", 'I3201379012', 'Kien Leong Mach.SB']",2523.4,Debit,48924.97,False,False
9,01/06,"['IB2G FND TRF CA - CA', 'AOBFTR01062020932163', 'Jaya Poligon SB', ""Nov+Dec'19"", 'JAYA POLIGON SDN BHD', 'POTENTIAL MACHINERY']",2330.0,Debit,46594.97,False,False
10,01/06,"['IB2G IBG Dr CA', 'AOBIBG01062020962975', 'Transfer From ABMB', ""Dec'19"", 'I03600215515', 'LB Auto Supply']",1900.0,Debit,44694.97,False,False
11,01/06,"['IB2G IBG Dr CA', 'AOBIBG01062020962469', 'Transfer From ABMB', ""Feb'20"", 'I3182869213', 'IOT Lubricating Oil']",1610.0,Debit,43084.97,False,False
12,01/06,"['IB2G IBG Dr CA', 'AOBIBG01062020962443', 'Transfer From ABMB', ""Oct'19"", 'I17900013963', 'Ikhlas Mach.Rental']",4793.55,Debit,38291.42,False,False
13,01/06,"['IB2G IBG Dr CA', 'AOBIBG01062020962671', 'Transfer From ABMB', ""Dec'19"", 'I100810016883', 'Laku Industries SB']",8300.0,Debit,29991.42,False,False
14,01/06,"['IB2G IBG Dr CA', 'AOBIBG01062020962289', 'Transfer From ABMB', ""Dec'19"", 'I3146335833', 'Colson Mach.SB']",1400.2,Debit,28591.22,False,False
15,01/06,"['IB2G IBG Dr CA', 'AOBIBG01062020962714', 'Transfer From ABMB', ""Aug'19"", 'I562384529178', 'Pavilion Rental &']",6448.2,Debit,22143.02,False,False
16,01/06,"['IB2G IBG Dr CA', 'AOBIBG01062020962790', 'Transfer From ABMB', ""Dec'19"", 'I514561100438', 'UMS Corp.SB']",130.0,Debit,22013.02,False,False
17,01/06,"['IB2G IBG Dr CA', 'AOBIBG01062020962816', 'Transfer From ABMB', ""Dec'19"", 'I507161205655', 'United Staco Mach.SB']",498.0,Debit,21515.02,False,False
18,01/06,"['CR ADVICE - IBG', 'PUJIAN HANDAL SDN BH', 'all feb inv']",7077.0,Credit,28592.02,False,False
19,01/06,"['CR ADVICE - IBG', 'BEBK060114195445', 'WL GREAT BUILDER ENG', 'CS8342 8366 8420']",1444.0,Credit,30036.02,False,False
20,02/06,"['IB2G FND TRF CA - CA', 'AOBFTR02062020933628', 'payment', 'POTENTIAL MACHINERY', 'YTC ELECTRICAL WORKS']",530.0,Credit,30566.02,False,False
21,02/06,"['IBG RETURNED CREDIT', 'AOBIBG01062020962289', 'Colson Mach.SB', 'Transfer From ABMB', 'Invalid Account Numb']",1400.2,Credit,31966.22,False,False
22,02/06,"['IB2G IBG Dr CA', 'AOBIBG02062020966421', 'Transfer From ABMB', 'I3146335833', 'Colson Mach.SB']",1400.2,Debit,30566.02,False,False
23,02/06,"['IB2G FND TRF CA - SA', 'AOBFTR02062020934152', 'Md Asnu Bin Md Noor', 'Salary 202005', 'MOHD ASNU BIN MOHD N', 'POTENTIAL MACHINERY']",924.64,Debit,29641.38,False,False
24,02/06,"['IB2G BLKTRF Dr CA(m)', 'AOBPR02062020801664', 'Payroll 202005']",7938.05,Debit,21703.33,False,False
25,04/06,"['IB2G FND TRF CA - CA', 'AOBFTR04062020937471', 'PAYMENT', 'POTENTIAL MACHINERY', 'YTC ELECTRICAL WORKS']",3031.0,Credit,24734.33,False,False
26,04/06,"['IB2G FND TRF CA - CA', 'AOBFTR04062020938122', 'LamKoongSunCarServic', 'Rental June 2020', 'LAM KOONG SUM CAR SE', 'POTENTIAL MACHINERY']",3630.0,Debit,21104.33,False,False
27,04/06,"['IB2G IBG Dr CA', 'AOBIBG04062020974849', 'Transfer From ABMB', ""Dec'19+Jan'20"", 'I3082082424', 'Iklim Hdw.& Mach.SB']",3325.0,Debit,17779.33,False,False
28,04/06,"['IB2G IBG Dr CA', 'AOBIBG04062020974740', 'Transfer From ABMB', ""Dec'19"", 'I8604121468', 'HL Jaya Mach.SB']",763.0,Debit,17016.33,False,False
29,04/06,"['IB2G IBG Dr CA', 'AOBIBG04062020974711', 'Transfer From ABMB', ""Sept'19"", 'I3185062805', 'Global Asiatic SB']",4597.0,Debit,12419.33,False,False
30,05/06,"['161027', 'LOCAL CHQ DEP/MISC', 'PUBLIC']",769.0,Credit,13188.33,False,False
31,05/06,"['006200', 'ACH INCLEARING-CHEQUE']",715.0,Debit,12473.33,False,False
32,06/06,['CA DR CHQ PRO FEE'],0.5,Debit,12472.83,False,False
33,09/06,"['NBPS IBG Dr CA', 'AOBJOM09062020978138', '7699SEQV', 'D929574640106', 'TM Streamy and Voice', '008831904399 (520)']",141.0,Debit,12331.83,False,False
34,09/06,"['IB2G IBG Dr CA', 'AOBIBG09062020983535', 'Transfer From ABMB', ""May'20"", 'I514048417031', 'Stephen Hansford']",305.0,Debit,12026.83,False,False
35,09/06,"['NBPS IBG Dr CA', 'AOBJOM09062020978139', '769BD715', '1017066026', 'TM unifi home', '003283288607 (620)']",232.15,Debit,11794.68,False,False
36,10/06,"['743875', 'LOCAL CHQ DEP/MISC', 'UOBM']",126.0,Credit,11920.68,False,False
37,10/06,"['CR ADVICE - IBG', '31.03.20', 'KWA KIT KONG', 'Statement']",1024.5,Credit,12945.18,False,False
38,11/06,"['DuitNow CR Trf CA', 'RPP200611007712561', 'TWC - NOV 19 INVOICE', 'TWC ENGINEERING SPEC']",7381.0,Credit,20326.18,False,False
39,11/06,"['DuitNow CR Trf CA', 'RPP200611007722969', 'Duit', 'Enjin potong pokok', 'MUHAMMAD SYAHIRAN AK']",30.0,Credit,20356.18,False,False
40,15/06,"['IB2G BLKTRF Cr CA', 'AOBBY15062020882666', 'REFUND Duplicate Fee', 'BFF IBGPayroll Feb20']",30.0,Credit,20386.18,False,False
41,15/06,"['IB2G FND TRF CA - CA', 'AOBFTR15062020950585', 'Conweld Marketing SB', ""Dec'19"", 'CONWELD MARKETING SD', 'POTENTIAL MACHINERY']",8687.6,Debit,11698.58,False,False
42,15/06,"['IB2G FND TRF CA - CA', 'AOBFTR15062020950591', 'Conweld Engr SB', ""Dec'19"", 'CONWELD ENGINEERING', 'POTENTIAL MACHINERY']",11464.0,Debit,234.58,False,False
43,15/06,"['ATM/IBFT TRF TO C/A', 'FUND TRANSFER', 'ONG SEW KEE', 'POTENTIAL MACHINERY', '121360010028773']",3000.0,Credit,3234.58,False,False
44,15/06,"['DuitNow CR Trf CA', 'RPP200615007843371', 'SPARE PART', 'REPAIR MACHINERY', 'PEMBINAAN FOKUS IKHL']",133.0,Credit,3367.58,False,False
45,15/06,"['001691', 'LOCAL CHQ DEP/MISC', 'CIMB BANK']",568.0,Credit,3935.58,False,False
46,15/06,"['IB2G Stat Pymt CA', 'AOBEIS15062020887488', 'SOCSOB3200059147M', '052020']",39.4,Debit,3896.18,False,False
47,15/06,"['IB2G Stat Pymt CA', 'AOBSS15062020887439', 'SOCSOB3200059147M', '052020']",221.6,Debit,3674.58,False,False
48,15/06,"['IB2G Stat Pymt CA', 'AOBLH15062020887558', 'PCB E9102934104 0520', '887558']",295.85,Debit,3378.73,False,False
49,15/06,"['IB2G Stat Pymt CA', 'AOBKW15062020887392', 'KWSP000000016299626', '0620']",2006.0,Debit,1372.73,False,False
50,15/06,"['IB2G FND TRF CA - CA', '4054145', 'Fund Transfer', 'POTENTIAL MACHINERY', 'ONG SEW KEE']",27000.0,Credit,28372.73,False,False
51,16/06,"['IB2G IBG Dr CA', 'AOBIBG15062020999074', 'Transfer From ABMB', ""Dec'19"", 'I1403003722', 'Lepcon Tools']",9809.5,Debit,18563.23,False,False
52,16/06,"['IB2G IBG Dr CA', 'AOBIBG15062020999112', 'Transfer From ABMB', ""Mar-May'19"", 'I8600404165', 'Sin Loy Heng Engr.SB']",2869.0,Debit,15694.23,False,False
53,16/06,"['IB2G IBG Dr CA', 'AOBIBG16062020002356', 'Transfer From ABMB', 'M002032572(15.06.20)', 'I312157320063', ""Shell M'sia Tdg.SB""]",773.02,Debit,14921.21,False,False
54,16/06,"['IB2G IBG Dr CA', 'AOBIBG16062020002408', 'Transfer From ABMB', ""Feb'20"", 'I3078445734', 'Jinhui Ind.SB']",2600.0,Debit,12321.21,False,False
55,16/06,"['IB2G FND TRF CA - CA', 'AOBFTR16062020951758', 'Ong Sew Kee', ""Salary-Mar+Apr'20"", 'ONG SEW KEE', 'POTENTIAL MACHINERY']",5558.3,Debit,6762.91,False,False
56,16/06,"['000318', 'LOCAL CHQ DEP/MISC', 'MAYBANKIS']",630.0,Credit,7392.91,False,False
57,16/06,"['CR ADVICE - IBG', ""A/C FOR FEB'2020"", 'SIG MAL CONSTRUCTION', 'SG031879']",16256.5,Credit,23649.41,False,False
