,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,40279.86,False,False
1,02/03,"['IB2G FND TRF CA - CA', 'AOBFTR02032020839498', 'potitenal', 'POTENTIAL MACHINERY', 'YTC ELECTRICAL WORKS']",2644.0,Credit,42923.86,False,False
2,02/03,"['IB2G FND TRF CA - CA', 'AOBFTR02032020839745', 'Conweld Marketing SB', ""Oct'19"", 'CONWELD MARKETING SD', 'POTENTIAL MACHINERY']",455.7,Debit,42468.16,False,False
3,02/03,"['IB2G FND TRF CA - CA', 'AOBFTR02032020839812', 'Lim Seong Liyn', ""Salary Feb'20"", 'LIM SEONG LIYN', 'POTENTIAL MACHINERY']",2031.25,Debit,40436.91,False,False
4,02/03,"['IB2G FND TRF CA - SA', 'AOBFTR02032020840125', 'Nazri Bin Hassan', ""Salary Feb'20"", 'NAZRI BIN HASSAN', 'POTENTIAL MACHINERY']",832.05,Debit,39604.86,False,False
5,02/03,"['IB2G FND TRF CA - CA', 'AOBFTR02032020839719', 'Conweld Engr.SB', ""Oct'19"", 'CONWELD ENGINEERING', 'POTENTIAL MACHINERY']",9839.0,Debit,29765.86,False,False
6,02/03,"['IB2G FND TRF CA - CA', 'AOBFTR02032020840140', 'Md Nazib Bin MdYusof', ""Salary+Petrol Feb'20"", 'MOHD NAZIB BIN MOHD', 'POTENTIAL MACHINERY']",3066.35,Debit,26699.51,False,False
7,02/03,"['IB2G IBG Dr CA', 'AOBIBG02032020781180', 'Transfer From ABMB', ""Nov'19"", 'I3146335833', 'Colson Mach SB']",4864.3,Debit,21835.21,False,False
8,02/03,"['IB2G FND TRF CA - CA', 'AOBFTR02032020839787', 'Jaya Poligon SB', ""Oct'19"", 'JAYA POLIGON SDN BHD', 'POTENTIAL MACHINERY']",915.0,Debit,20920.21,False,False
9,02/03,"['IB2G FND TRF CA - SA', 'AOBFTR02032020840165', 'Md Asnu Bin Md Noor', ""Salary Feb'20"", 'MOHD ASNU BIN MOHD N', 'POTENTIAL MACHINERY']",1292.0,Debit,19628.21,False,False
10,02/03,"['IB2G FND TRF CA - SA', 'AOBFTR02032020840160', 'Thong Suit Fun', ""Salary Feb'20"", 'THONG SUIT FUN', 'POTENTIAL MACHINERY']",2232.05,Debit,17396.16,False,False
11,02/03,"['IB2G IBG Dr CA', 'AOBIBG02032020781143', 'Transfer From ABMB', ""Nov'19"", 'I33800015182', 'Anta Ind.Parts SB']",600.5,Debit,16795.66,False,False
12,02/03,"['IB2G IBG Dr CA', 'AOBIBG02032020781308', 'Transfer From ABMB', ""Nov'19"", 'I3188510405', 'CSP Advance SB']",800.0,Debit,15995.66,False,False
13,02/03,"['CR ADVICE - IBG', 'PUJIAN HANDAL SDN BH', 'all nov inv']",3671.0,Credit,19666.66,False,False
14,03/03,"['DuitNow CR Trf CA', 'RPP200303004528735', 'SPARE PART', 'REPAIR MACHINERY', 'PEMBINAAN FOKUS IKHL']",259.0,Credit,19925.66,False,False
15,03/03,"['379550', 'LOCAL CHQ DEP/MISC', 'HLBANK']",16978.5,Credit,36904.16,False,False
16,03/03,"['006196', 'HOUSE CHEQUE/MISC', 'ALLIANCEB']",3630.0,Debit,33274.16,False,False
17,03/03,"['342914', 'LOCAL CHQ DEP/MISC', 'MAYBANK']",1352.0,Credit,34626.16,False,False
18,04/03,['CA DR CHQ PRO FEE'],0.5,Debit,34625.66,False,False
19,04/03,"['452875', 'LOCAL CHQ DEP/MISC', 'PUBLIC']",1150.0,Credit,35775.66,False,False
20,04/03,"['003031', 'HOUSE CHEQUE/MISC', 'ALLIANCEB']",3517.95,Credit,39293.61,False,False
21,06/03,"['006197', 'CASH CHEQUE/MISC']",9500.0,Debit,29793.61,False,False
22,06/03,"['IB2G BLKTRF Cr CA', 'AOBPR06032020375218', 'PAYROLL', 'INV 19116665']",52.0,Credit,29845.61,False,False
23,06/03,"['290498', 'LOCAL CHQ DEP/MISC', 'ISLAM']",522.0,Credit,30367.61,False,False
24,06/03,"['CR ADVICE - IBG', 'Mtbb', 'SATRIA ACES SYNERGY', 'Ha233303']",500.0,Credit,30867.61,False,False
25,06/03,"['CR ADVICE - IBG', ""AP PAYMENT-DEC'19"", 'UTRACON STRUCTURAL S', ""AP PAYMENT-DEC'19""]",7420.0,Credit,38287.61,False,False
26,06/03,"['IB2G IBG Dr CA', 'AOBIBG05032020794420', 'Transfer From ABMB', ""Nov'19"", 'I3208335200', 'Ultimate Tech Lub']",1900.0,Debit,36387.61,False,False
27,06/03,"['FPX ABB as Byr (CA)', 'AOBB2B05032020364443', '2003051122010004', '0320200016299626C111', 'KUMPULAN WANG SIMPAN']",2406.0,Debit,33981.61,False,False
28,06/03,"['FPX ABB as Byr (CA)', 'AOBB2B05032020365220', '2003051201480076', '20200305120147_24775', 'PERTUBUHAN KESELAMAT']",39.4,Debit,33942.21,False,False
29,06/03,"['FPX ABB as Byr (CA)', 'AOBB2B05032020367733', '2003051500490633', 'PE5C20003615', 'LEMBAGA HASIL DALAM']",470.85,Debit,33471.36,False,False
30,06/03,"['IB2G IBG Dr CA', 'AOBIBG05032020794194', 'Transfer From ABMB', ""Dec'19"", 'I3182869213', 'IOT Lubricating Oil']",272.0,Debit,33199.36,False,False
31,06/03,"['IB2G IBG Dr CA', 'AOBIBG05032020794127', 'Transfer From ABMB', ""Nov'19"", 'I3177358329', 'ACT Marketing']",1681.0,Debit,31518.36,False,False
32,06/03,"['IB2G IBG Dr CA', 'AOBIBG05032020794167', 'Transfer From ABMB', ""Sept'19"", 'I17900013963', 'Ikhlas Mach.Rental']",4716.5,Debit,26801.86,False,False
33,06/03,"['NBPS IBG Dr CA', 'AOBJOM05032020894335', '735SF5WD', 'D929574640106', 'TM TELEPHONE MULTIM', '008614223892']",140.85,Debit,26661.01,False,False
34,06/03,"['IB2G IBG Dr CA', 'AOBIBG05032020794226', 'Transfer From ABMB', ""Nov'19"", 'I3201379012', 'Kien Leong Mach.SB']",2126.25,Debit,24534.76,False,False
35,06/03,"['IB2G BILLS PAYMNT CA', 'AOBBPT05032020303921', 'LHDN C20289371050', '000000303921']",1558.0,Debit,22976.76,False,False
36,06/03,"['IB2G IBG Dr CA', 'AOBIBG05032020794341', 'Transfer From ABMB', ""Nov'19 & Dec'19"", 'I514338504906', 'STL Seals & O Rings']",194.5,Debit,22782.26,False,False
37,06/03,"['IB2G IBG Dr CA', 'AOBIBG05032020794304', 'Transfer From ABMB', ""Feb'19+Mar'19(P/P)"", 'I8600404165', 'Sin Loy Heng Engr']",3000.0,Debit,19782.26,False,False
38,06/03,"['FPX ABB as Byr (CA)', 'AOBB2B05032020364622', '2003051131160689', '20200305113116_66486', 'PERTUBUHAN KESELAMAT']",221.6,Debit,19560.66,False,False
39,06/03,"['IB2G IBG Dr CA', 'AOBIBG05032020794376', 'Transfer From ABMB', ""Dec'19"", 'I3993520830', 'Sykt.Kej.Koh Hup']",558.0,Debit,19002.66,False,False
40,06/03,"['IB2G IBG Dr CA', 'AOBIBG05032020794261', 'Transfer From ABMB', ""July'19"", 'I562384529178', 'Pavilion Rental']",6790.0,Debit,12212.66,False,False
41,07/03,['CA DR CHQ PRO FEE'],0.5,Debit,12212.16,False,False
42,09/03,"['001624', 'LOCAL CHQ DEP/MISC', 'CIMB BANK']",1242.0,Credit,13454.16,False,False
43,09/03,"['IB2G BLKTRF Cr CA', 'AOBPR09032020390457', 'PAYROLL', 'INV 19106549']",163.0,Credit,13617.16,False,False
