,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,41006.09,False,False
1,03/05,"['IB2G BLKTRF Return', 'AOBPR03052020625986', 'Payroll 202004', 'SALARY FOR 202004']",1816.05,Credit,42822.14,False,False
2,03/05,"['IB2G BLKTRF Dr CA(m)', 'AOBPR03052020625986', 'Payroll 202004']",8908.05,Debit,33914.09,False,False
3,05/05,"['DuitNow CR Trf CA', 'RPP200505006377400', 'SPARE PART', 'REPAIR MACHINERY', 'PEMBINAAN FOKUS IKHL']",593.0,Credit,34507.09,False,False
4,05/05,"['IB2G BLKTRF Dr CA(m)', 'AOBPR05052020642861', 'Payroll 202004']",1816.05,Debit,32691.04,False,False
5,05/05,"['CR ADVICE - IBG', 'INV.19106530,1911664', 'RAGAWANG CORPORATION', '447230VABB907']",2220.0,Credit,34911.04,False,False
6,06/05,"['IB2G BLKTRF Cr CA', 'AOBPR06052020648371', 'PAYROLL', 'INV DEC19']",833.0,Credit,35744.04,False,False
7,08/05,"['IB2G IBG Dr CA', 'AOBIBG08052020908277', 'Transfer From ABMB', ""Nov'19"", 'I3177846425', 'Evergreen Binary SB']",4438.3,Debit,31305.74,False,False
8,08/05,"['IB2G IBG Dr CA', 'AOBIBG08052020908302', 'Transfer From ABMB', ""Nov'19"", 'I1403003722', 'Lepcon Tools (M) SB']",7740.76,Debit,23564.98,False,False
9,08/05,"['NBPS IBG Dr CA', 'AOBJOM08052020946800', '758WF9R7', 'D929574640106', 'TM Streamy and Voice', '008759450201']",141.0,Debit,23423.98,False,False
10,08/05,"['IB2G IBG Dr CA', 'AOBIBG08052020908136', 'Transfer From ABMB', 'M001992411', 'I312157320063', ""Shell M'sia Tdg SB""]",306.49,Debit,23117.49,False,False
11,08/05,"['IB2G IBG Dr CA', 'AOBIBG08052020908342', 'Transfer From ABMB', ""Dec'19"", 'I3078285012', 'Sin Yuan Machinery']",650.0,Debit,22467.49,False,False
12,08/05,"['NBPS IBG Dr CA', 'AOBJOM08052020946821', '758DPSRJ', '1017066026', 'TM unifi home', '003225317142']",232.15,Debit,22235.34,False,False
13,08/05,"['NBPS IBG Dr CA', 'AOBJOM08052020946810', '758SJQ0P', '1017066026', 'TM unifi home', '003167666365']",232.15,Debit,22003.19,False,False
14,08/05,"['IB2G FND TRF CA - CA', 'AOBFTR08052020905817', 'Conweld Marketing SB', ""Nov'19"", 'CONWELD MARKETING SD', 'POTENTIAL MACHINERY']",10820.2,Debit,11182.99,False,False
15,08/05,"['NBPS IBG Dr CA', 'AOBJOM08052020946791', '7586B3C7', 'D929574640106', 'TM Streamy and Voice', '008688084550']",141.15,Debit,11041.84,False,False
16,08/05,"['NBPS IBG Dr CA', 'AOBJOM08052020946787', '758YV2K6', '1063446106', 'MAXIS', '635717113']",308.65,Debit,10733.19,False,False
17,08/05,"['IB2G FND TRF CA - CA', 'AOBFTR08052020905803', 'Conweld Engineering', ""Nov'19"", 'CONWELD ENGINEERING', 'POTENTIAL MACHINERY']",7821.6,Debit,2911.59,False,False
18,08/05,"['IB2G IBG Dr CA', 'AOBIBG08052020908324', 'Transfer From ABMB', ""Dec'19"", 'I3078445734', 'Jinhui Industries SB']",35.0,Debit,2876.59,False,False
19,08/05,"['IB2G FND TRF CA - CA', 'AOBFTR08052020906174', 'Jaya Poligon SB', ""Nov'19"", 'JAYA POLIGON SDN BHD', 'POTENTIAL MACHINERY']",330.0,Debit,2546.59,False,False
20,08/05,"['342986', 'LOCAL CHQ DEP/MISC', 'MAYBANK']",3805.0,Credit,6351.59,False,False
21,08/05,"['CR ADVICE - IBG', 'KWA KIT KONG', 'Statement Jan2020']",2298.0,Credit,8649.59,False,False
22,09/05,"['IB2G FND TRF CA - CA', '4912722', 'AH BENG', 'BLADE', 'POTENTIAL MACHINERY', 'KUAH HONG YEAN']",120.0,Credit,8769.59,False,False
23,12/05,"['IBFT FRM OTHS TO CA', 'water pump', 'site-kingdom', 'LEE UNITED RENOVATIO', 'POTENTIAL MACHINERY']",900.0,Credit,9669.59,False,False
24,12/05,['STAMP DUTY ON CHEQUE BOOK'],7.5,Debit,9662.09,False,False
25,13/05,"['438017', 'LOCAL CHQ DEP/MISC', 'MAYBANK']",3200.0,Credit,12862.09,False,False
26,13/05,"['FPX ABB as Byr (CA)', 'AOBB2B13052020685859', '2005131429430442', '0520200016299626C112', 'KUMPULAN WANG SIMPAN']",2006.0,Debit,10856.09,False,False
27,13/05,"['FPX ABB as Byr (CA)', 'AOBB2B13052020685959', '2005131435180319', 'PEDE20003627', 'LEMBAGA HASIL DALAM']",470.85,Debit,10385.24,False,False
28,13/05,"['FPX ABB as Byr (CA)', 'AOBB2B13052020686251', '2005131451401000', '20200513145140_25585', 'PERTUBUHAN KESELAMAT']",39.4,Debit,10345.84,False,False
