,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,50956.78,False,False
1,01/04,"['Instant Transfer', 'AOBIFT01042019594577', 'For Kelvin', 'NG JOO CHUAN']",1000.0,Debit,49956.78,False,False
2,01/04,"['CR ADVICE - IBG', 'JASIN SHOPPING CENTR', 'PV 1904/125']",150.0,Credit,50106.78,False,False
3,01/04,"['LOCAL CHQ DEP/MISC', 'MAYBANKIS']",5623.29,Credit,55730.07,False,False
4,01/04,"['191042', 'LOCAL CHQ DEP/MISC', 'PUBLIC']",1874.9,Credit,57604.97,False,False
5,01/04,"['CR ADVICE - IBG', 'Outward ACH', 'FRESH N CONVENIENT R', 'FL190401572858']",345.6,Credit,57950.57,False,False
6,01/04,"['CR ADVICE - IBG', 'Outward ACH', 'FRESH N CONVENIENT R', 'FL190401572848']",2019.2,Credit,59969.77,False,False
7,01/04,"['000394', 'ACH INCLEARING-CHEQUE']",2400.0,Debit,57569.77,False,False
8,01/04,"['000386', 'ACH INCLEARING-CHEQUE']",6825.0,Debit,50744.77,False,False
9,02/04,['CA DR CHQ PRO FEE'],1.0,Debit,50743.77,False,False
10,02/04,"['CR ADVICE - IBG', 'Outward ACH', 'SOVEREIGN CREATIONS', 'PY000000000000000156']",4244.4,Credit,54988.17,False,False
11,02/04,"['FPX ABB as Byr (CA)', 'AOBB2B02042019605249', '1904021620000270', '0220190020958324C107', 'KUMPULAN WANG SIMPAN']",840.0,Debit,54148.17,False,False
12,02/04,"['000395', 'ACH INCLEARING-CHEQUE']",1700.0,Debit,52448.17,False,False
13,02/04,"['000393', 'ACH INCLEARING-CHEQUE']",10586.12,Debit,41862.05,False,False
14,03/04,['CA DR CHQ PRO FEE'],1.0,Debit,41861.05,False,False
15,03/04,"['000397', 'ACH INCLEARING-CHEQUE']",885.67,Debit,40975.38,False,False
16,04/04,['CA DR CHQ PRO FEE'],0.5,Debit,40974.88,False,False
17,04/04,"['Instant Transfer', 'AOBIFT04042019612678', 'Transfer', 'NG JOO CHUAN']",1000.0,Debit,39974.88,False,False
18,04/04,"['Instant Transfer', 'AOBIFT04042019612750', 'Advance', 'NG JOO CHUAN']",500.0,Debit,39474.88,False,False
19,04/04,"['099033', 'LOCAL CHQ DEP/MISC', 'MAYBANK']",1032.0,Credit,40506.88,False,False
20,04/04,"['218133', 'LOCAL CHQ DEP/MISC', 'HLBANK']",4306.28,Credit,44813.16,False,False
21,04/04,"['000385', 'ACH INCLEARING-CHEQUE']",649.0,Debit,44164.16,False,False
22,05/04,['CA DR CHQ PRO FEE'],0.5,Debit,44163.66,False,False
23,05/04,"['000387', 'ACH INCLEARING-CHEQUE']",440.0,Debit,43723.66,False,False
24,05/04,"['000396', 'ACH INCLEARING-CHEQUE']",440.0,Debit,43283.66,False,False
25,06/04,['CA DR CHQ PRO FEE'],1.0,Debit,43282.66,False,False
26,06/04,"['Instant Transfer', 'AOBIFT06042019626307', 'Money Return', 'FONG ZHEN YUEN']",1500.0,Debit,41782.66,False,False
27,08/04,"['CR ADVICE - IBG', 'LYC BEST MART SDN.BH', 'PV2019030339']",2897.23,Credit,44679.89,False,False
28,08/04,"['CR ADVICE - IBG', 'BEBK040801556957', 'FUGO RYORI SDN BHD', 'FUGORYORI MAR19 PYMT']",259.49,Credit,44939.38,False,False
