,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,"['Protected by PIDM up to RM250,000 for each depositor', 'Date', 'Transaction Details', 'Cheque No.', 'Debit', 'Credit', 'Balance', 'Tarikh', 'Keterangan Urusniaga', 'No. Cek', 'Debit', 'Kredit', 'Baki']",250.0,,,False,False
1,,['BEGINNING BALANCE'],,,17710.29,False,False
2,01/08,['CA DR CHQ PRO FEE'],1.0,Debit,17709.29,False,False
3,01/08,"['IB2G FND TRF CA - CA', 'AOBFTR01082019554631', 'payment inv 1.8.2019', '1.8.2019 inv', 'TC GLOBAL MARKETING', 'T & K JAYA TRADING']",5000.0,Credit,22709.29,False,False
4,01/08,"['CR ADVICE - IBG', 'Outward ACH from L &', 'L & L BEST MART SDN', 'IG190725149858']",874.8,Credit,23584.09,False,False
5,01/08,"['LOCAL CHQ DEP/MISC', 'MAYBANK']",1720.43,Credit,25304.52,False,False
6,01/08,"['222404', 'LOCAL CHQ DEP/MISC', 'HLBANK']",5422.98,Credit,30727.5,False,False
7,01/08,"['000476', 'ACH INCLEARING-CHEQUE']",17394.81,Debit,13332.69,False,False
8,02/08,['CA DR CHQ PRO FEE'],0.5,Debit,13332.19,False,False
9,02/08,"['NBPS IBG Dr CA', 'AOBJOM02082019679706', '682WYL7X', '210042772009', 'TENAGA NASIONAL BERH', '5454']",1231.86,Debit,12100.33,False,False
10,02/08,"['IB2G Dr CA Cr LN', 'AOBFTR02082019557220']",935.0,Debit,11165.33,False,False
11,02/08,"['NBPS IBG Dr CA', 'AOBJOM02082019679747', '6823NV1I', '2158583130777145', 'Syarikat Air Melaka', '1800']",50.0,Debit,11115.33,False,False
12,02/08,"['IBFT FRM OTHS TO CA', '20163053 20163048', 'BAL MARKETING SDN.BH', 'TC GLOBAL MARKETING']",360.96,Credit,11476.29,False,False
13,02/08,"['682070', 'LOCAL CHQ DEP/MISC', 'AMBANK']",1267.2,Credit,12743.49,False,False
14,02/08,"['Instant Transfer', 'AOBIFT21072019089989', 'TC GLOBAL', 'Refer CN00462', 'UNITED GOOD E']",1892.87,Debit,10850.62,False,False
15,02/08,"['CR ADVICE - IBG', 'Outward ACH from LET', ""LET'S GO 52 SDN BHD"", 'IG190802967084']",299.98,Credit,11150.6,False,False
16,02/08,"['000480', 'ACH INCLEARING-CHEQUE']",1506.4,Debit,9644.2,False,False
17,03/08,['CA DR CHQ PRO FEE'],0.5,Debit,9643.7,False,False
18,03/08,"['Instant Transfer', 'AOBIFT03082019152391', 'Transfer From ABMB', 'advance', 'NG JOO CHUAN']",400.0,Debit,9243.7,False,False
19,05/08,"['CA EXPORT CR', '008BG17062027720']",1000.0,Credit,10243.7,False,False
20,05/08,"['CR ADVICE - IBG', 'BEBK080593390775', 'ENG MOI HIONG', 'OCC chips']",120.0,Credit,10363.7,False,False
21,05/08,"['109899', 'LOCAL CHQ DEP/MISC', 'MAYBANK']",3164.0,Credit,13527.7,False,False
22,05/08,"['000484', 'ACH INCLEARING-CHEQUE']",1800.0,Debit,11727.7,False,False
23,05/08,"['000485', 'ACH INCLEARING-CHEQUE']",2300.0,Debit,9427.7,False,False
24,06/08,['CA DR CHQ PRO FEE'],1.0,Debit,9426.7,False,False
25,06/08,"['Instant Transfer', 'AOBIFT06082019167351', 'Transfer From ABMB', 'Advance', 'NG JOO CHUAN']",700.0,Debit,8726.7,False,False
26,06/08,"['CR ADVICE - IBG', 'LYC BEST MART SDN.BH', 'PV2019070259']",7362.4,Credit,16089.1,False,False
27,06/08,"['222419', 'LOCAL CHQ DEP/MISC', 'MAYBANK']",2624.86,Credit,18713.96,False,False
28,06/08,"['000486', 'ACH INCLEARING-CHEQUE']",2300.0,Debit,16413.96,False,False
29,07/08,['CA DR CHQ PRO FEE'],0.5,Debit,16413.46,False,False
30,07/08,"['Instant Transfer', 'AOBIFT07082019176152', 'Transfer From ABMB', 'Advance', 'NG JOO CHUAN']",300.0,Debit,16113.46,False,False
31,07/08,"['IB2G FND TRF CA - CA', 'AOBFTR07082019565472', 'KELUARGAKU', 'PV19070242', 'TC GLOBAL MARKETING', 'KELUARGAKU (M) SDN.B']",261.0,Credit,16374.46,False,False
32,08/08,"['Instant Transfer', 'AOBIFT08082019185529', 'Transfer From ABMB', 'Kelvin advance', 'NG JOO CHUAN']",400.0,Debit,15974.46,False,False
33,08/08,"['854875', 'LOCAL CHQ DEP/MISC', 'MAYBANK']",517.86,Credit,16492.32,False,False
34,08/08,"['000371', 'HOUSE CHEQUE/MISC', 'ALLIANCEB']",2175.6,Credit,18667.92,False,False
35,08/08,"['000488', 'HOUSE CHEQUE/MISC', 'ALLIANCEB']",600.0,Debit,18067.92,False,False
36,09/08,['CA DR CHQ PRO FEE'],0.5,Debit,18067.42,False,False
37,09/08,"['CR ADVICE - IBG', 'BEBK080911379639', 'TSUKI TEH SDN BHD', 'TSUKI TEH JUL19 PYMT']",518.98,Credit,18586.4,False,False
38,09/08,"['CR ADVICE - IBG', 'BEBK080993606959', 'FUGO RYORI SDN BHD', 'FUGO RYORI JUL19 PYM']",331.49,Credit,18917.89,False,False
39,09/08,"['CR ADVICE - IBG', 'KELUARGAKU', 'KELUARGAKU (M) SDN.', 'PVK011907060']",154.8,Credit,19072.69,False,False
40,09/08,"['CR ADVICE - IBG', 'KELUARGAKU', 'KELUARGAKU (M) SDN.', 'PVK011907149']",284.4,Credit,19357.09,False,False
