,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,"['Protected by PIDM up to RM250,000 for each depositor', 'Date', 'Transaction Details', 'Cheque No.', 'Debit', 'Credit', 'Balance', 'Tarikh', 'Keterangan Urusniaga', 'No. Cek', 'Debit', 'Kredit', 'Baki']",250.0,,,False,False
1,,['BEGINNING BALANCE'],,,38018.08,False,False
2,01/07,"['CR ADVICE - IBG', 'BEBK063047626237', 'SAMPS KITCHEN SDN BH', 'Samps 20162887']",330.0,Credit,38348.08,False,False
3,01/07,"['000455', 'OUT CHQ RTD/MISC', ""26Drawer's Signature"", 'quired']",5257.21,Credit,43605.29,False,False
4,01/07,"['CR ADVICE - IBG', 'JASIN SHOPPING CENTR', 'PV 1907/124']",1388.4,Credit,44993.69,False,False
5,01/07,"['191579', 'LOCAL CHQ DEP/MISC', 'PUBLIC']",2437.37,Credit,47431.06,False,False
6,01/07,"['CR ADVICE - IBG', 'Outward ACH', 'FRESH N CONVENIENT R', 'FL190701482326']",1445.4,Credit,48876.46,False,False
7,01/07,"['CR ADVICE - IBG', 'Outward ACH', 'FRESH N CONVENIENT R', 'FL190701482370']",1790.0,Credit,50666.46,False,False
8,01/07,"['000450', 'ACH INCLEARING-CHEQUE']",392.0,Debit,50274.46,False,False
9,01/07,"['000447', 'ACH INCLEARING-CHEQUE']",1298.0,Debit,48976.46,False,False
10,01/07,"['000457', 'ACH INCLEARING-CHEQUE']",5035.07,Debit,43941.39,False,False
11,01/07,"['000459', 'ACH INCLEARING-CHEQUE']",5440.0,Debit,38501.39,False,False
12,01/07,"['000436', 'ACH INCLEARING-CHEQUE']",12253.1,Debit,26248.29,False,False
13,02/07,['CA DR CHQ PRO FEE'],2.5,Debit,26245.79,False,False
14,02/07,"['CR ADVICE - IBG', 'Outward ACH from L &', 'L & L BEST MART SDN', 'IG190624904040']",1694.5,Credit,27940.29,False,False
15,02/07,"['000454', 'ACH INCLEARING-CHEQUE']",662.0,Debit,27278.29,False,False
16,02/07,"['000463', 'ACH INCLEARING-CHEQUE']",825.0,Debit,26453.29,False,False
17,02/07,"['000462', 'ACH INCLEARING-CHEQUE']",2300.0,Debit,24153.29,False,False
18,03/07,['CA DR CHQ PRO FEE'],1.5,Debit,24151.79,False,False
19,03/07,"['IBFT FRM OTHS TO CA', 'NZB PETRO', 'OCTOBER 18', 'NZB PETRO SERVICES', 'TC GLOBAL MARKETING']",313.5,Credit,24465.29,False,False
20,03/07,"['LOCAL CHQ DEP/MISC', 'HLBANK']",9197.0,Credit,33662.29,False,False
21,03/07,"['CR ADVICE - IBG', 'LYC BEST MART SDN.BH', 'PV2019060243']",3978.6,Credit,37640.89,False,False
22,03/07,"['000461', 'ACH INCLEARING-CHEQUE']",5257.21,Debit,32383.68,False,False
23,04/07,['CA DR CHQ PRO FEE'],0.5,Debit,32383.18,False,False
24,04/07,"['IBFT FRM OTHS TO CA', 'TC GLOBAL MARKETING', 'INSTANT TRANSFER', 'KELUARGAKU (M) SDN.', 'TC GLOBAL MARKETING']",975.2,Credit,33358.38,False,False
25,04/07,"['Instant Transfer', 'AOBIFT04072019013660', 'Transfer', 'NG JOO CHUAN']",600.0,Debit,32758.38,False,False
26,04/07,"['Instant Transfer', 'AOBIFT04072019013661', 'Transfer', 'TADIKA PINTAR CERDAS']",930.0,Debit,31828.38,False,False
