,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,51849.09,False,False
1,01/06,['CA DR CHQ PRO FEE'],0.5,Debit,51848.59,False,False
2,03/06,"['000441', 'ACH INCLEARING-CHEQUE']",404.0,Debit,51444.59,False,False
3,03/06,"['000425', 'ACH INCLEARING-CHEQUE']",552.0,Debit,50892.59,False,False
4,03/06,"['000442', 'ACH INCLEARING-CHEQUE']",2000.0,Debit,48892.59,False,False
5,04/06,['CA DR CHQ PRO FEE'],1.5,Debit,48891.09,False,False
6,04/06,"['CR ADVICE - IBG', 'LYC BEST MART SDN.BH', 'PV2019050279']",6466.2,Credit,55357.29,False,False
7,04/06,"['Instant Transfer', 'AOBIFT04062019879503', 'Advance', 'NG JOO CHUAN']",1000.0,Debit,54357.29,False,False
8,04/06,"['000426', 'ACH INCLEARING-CHEQUE']",440.0,Debit,53917.29,False,False
9,05/06,['CA DR CHQ PRO FEE'],0.5,Debit,53916.79,False,False
10,07/06,"['IBFT FRM OTHS TO CA', '20190604000001094376', '20162832', 'LITTLE MUAR ENTERPRI', 'TC GLOBAL MARKETING']",189.0,Credit,54105.79,False,False
11,10/06,"['CR ADVICE - IBG', 'TC GLOBAL/0219', 'GOLDEN SCOOP SDN BHD', 'GS/B51/PV2411']",1048.0,Credit,55153.79,False,False
12,10/06,"['Instant Transfer', 'AOBIFT10062019887042', 'advance', 'NG JOO CHUAN']",700.0,Debit,54453.79,False,False
13,10/06,"['Instant Transfer', 'AOBIFT10062019887031', 'TC Global 001968', 'HSH FROZEN FOODS SDN']",2300.0,Debit,52153.79,False,False
14,10/06,"['IBFT FRM OTHS TO CA', 'Feb n Apr acc', 'INSTANT TRANSFER', 'SEAFARER TIOMAN RESO', 'TC GLOBAL MARKETING']",2624.86,Credit,54778.65,False,False
15,10/06,"['000443', 'ACH INCLEARING-CHEQUE']",8044.68,Debit,46733.97,False,False
16,11/06,['CA DR CHQ PRO FEE'],0.5,Debit,46733.47,False,False
17,11/06,"['LOCAL CHQ DEP/MISC', 'MAYBANK']",2997.18,Credit,49730.65,False,False
18,11/06,"['CR ADVICE - IBG', 'BEBK061125196290', 'TSUKI TEH SDN BHD', 'TSUKITEH MAY19 PYMT']",482.98,Credit,50213.63,False,False
19,11/06,"['CR ADVICE - IBG', 'BEBK061176437155', 'FUGO RYORI SDN BHD', 'FUGORYORI MAY19 PYM']",72.0,Credit,50285.63,False,False
20,11/06,"['000446', 'ACH INCLEARING-CHEQUE']",18951.65,Debit,31333.98,False,False
21,11/06,['STAMP DUTY ON CHEQUE BOOK'],7.5,Debit,31326.48,False,False
22,12/06,['CA DR CHQ PRO FEE'],0.5,Debit,31325.98,False,False
23,12/06,"['CR ADVICE - IBG', 'BEBK061293353355', 'CH PENGKALAN TRADING', '20162816 CN00415']",108.0,Credit,31433.98,False,False
24,14/06,"['594119', 'LOCAL CHQ DEP/MISC', 'AISL']",1907.92,Credit,33341.9,False,False
25,14/06,"['LOCAL CHQ DEP/MISC', 'MAYBANK']",1328.94,Credit,34670.84,False,False
26,14/06,"['010169', 'LOCAL CHQ DEP/MISC', 'HLBANK']",300.0,Credit,34970.84,False,False
27,16/06,"['Instant Transfer', 'AOBIFT16062019924658', 'Transfer', 'NG JOO CHUAN']",200.0,Debit,34770.84,False,False
28,16/06,"['Instant Transfer', 'AOBIFT16062019924660', 'Car allowance', 'FONG ZHEN YUEN']",800.0,Debit,33970.84,False,False
29,17/06,"['CR ADVICE - IBG', 'BEBK061465069827', 'CHOONG HOE TRADING', 'MAY 19']",2584.2,Credit,36555.04,False,False
30,17/06,"['000448', 'HOUSE CHEQUE/MISC', 'ALLIANCEB']",600.0,Debit,35955.04,False,False
31,17/06,"['Instant Transfer', 'AOBIFT17062019929372', 'TC Global', 'HSH FROZEN FOODS SDN']",2300.0,Debit,33655.04,False,False
32,18/06,['CA DR CHQ PRO FEE'],0.5,Debit,33654.54,False,False
33,18/06,"['IB2G FND TRF CA - CA', 'AOBFTR18062019497844', 'may 2019', 'TC GLOBAL MARKETING', 'NAZREYLLA ENTERPRISE']",1058.75,Credit,34713.29,False,False
34,18/06,"['IBFT FRM OTHS TO CA', 'Global Pacific Mkt', '20162837', 'GLOBAL PACIFIC MARKE', 'TC GLOBAL MARKETING']",282.96,Credit,34996.25,False,False
35,18/06,"['000424', 'ACH INCLEARING-CHEQUE']",6164.0,Debit,28832.25,False,False
36,19/06,['CA DR CHQ PRO FEE'],0.5,Debit,28831.75,False,False
