,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BEGINNING BALANCE'],,,28298.41,False,False
1,01/05,['CA DR CHQ PRO FEE'],1.5,Debit,28296.91,False,False
2,02/05,"['CR ADVICE - IBG', 'PASAR MINI SOON HUAT', '20162636']",1383.27,Credit,29680.18,False,False
3,02/05,"['220654', 'LOCAL CHQ DEP/MISC', 'HLBANK']",7323.5,Credit,37003.68,False,False
4,02/05,"['000431', 'HOUSE CHEQUE/MISC', 'ALLIANCEI']",21000.0,Credit,58003.68,False,False
5,02/05,"['CR ADVICE - IBG', 'Outward ACH from FUL', 'FULLHOUSE ASIA SDN B', 'TAX INV: 20162590 DA']",102.0,Credit,58105.68,False,False
6,02/05,"['000419', 'ACH INCLEARING-CHEQUE']",2400.0,Debit,55705.68,False,False
7,02/05,"['000418', 'ACH INCLEARING-CHEQUE']",19440.15,Debit,36265.53,False,False
8,03/05,['CA DR CHQ PRO FEE'],1.0,Debit,36264.53,False,False
9,03/05,"['CR ADVICE - IBG', '20162361,20162292,20', 'JATI FROZEN SDN BHD', '963303PAAK654']",4500.0,Credit,40764.53,False,False
10,06/05,"['Instant Transfer', 'AOBIFT06052019738045', 'Advance', 'NG JOO CHUAN']",300.0,Debit,40464.53,False,False
11,06/05,"['CR ADVICE - IBG', 'LYC BEST MART SDN.BH', 'PV2019040237']",3568.0,Credit,44032.53,False,False
12,07/05,"['FPX ABB as Byr (CA)', 'AOBB2B07052019746230', '1905070944520976', '0320190020958324C107', 'KUMPULAN WANG SIMPAN']",840.0,Debit,43192.53,False,False
13,07/05,"['LOCAL CHQ DEP/MISC', 'MAYBANK']",3109.42,Credit,46301.95,False,False
14,07/05,"['000416', 'ACH INCLEARING-CHEQUE']",796.0,Debit,45505.95,False,False
15,07/05,"['000421', 'ACH INCLEARING-CHEQUE']",1700.0,Debit,43805.95,False,False
16,07/05,"['000420', 'ACH INCLEARING-CHEQUE']",1864.44,Debit,41941.51,False,False
17,08/05,['CA DR CHQ PRO FEE'],1.5,Debit,41940.01,False,False
18,09/05,"['CR ADVICE - IBG', 'BEBK050942890836', 'FUGO RYORI SDN BHD', 'FUGO RYORI APR19']",554.98,Credit,42494.99,False,False
19,09/05,"['CR ADVICE - IBG', 'BEBK050968115827', 'TSUKI TEH SDN BHD', 'TSUKI TEH APR19']",545.98,Credit,43040.97,False,False
