,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,"['1 30/09/2019', '23:00:00', 'INCLEARING-', 'CHEQUE']",39274.56,,24532.43,False,False
1,,"['2 30/09/2019', '23:00:00', 'INCLEARING-', 'CHEQUE']",6793.2,Credit,63806.99,False,True
2,,"['3 30/09/2019', '22:01:29', 'PAYMENT', 'FROZEN', 'AM450/201', 'SERVICES', 'SDN BHD', '63406']",3160.0,Credit,70600.19,False,True
3,,['4 30/09/2019'],2100.0,Debit,67440.19,False,True
4,,"['21:26:38', 'BANKING', 'MARKETIN', 'SERVICES', 'G/AOBFTR', '300920196', '32633']",1.1,,,False,True
5,,"['5 30/09/2019 CARD AND', '19:02:20 PAYMENT', 'CONVENIE 15843/Out', 'SERVICES', 'NT R', 'ward ACH']",1663.56,,65340.19,False,False
6,,"['6 30/09/2019 CARD AND', '19:02:20 PAYMENT', 'CONVENIE 14071/Out', 'SERVICES', 'NT R', 'ward ACH']",1212.48,Debit,63676.63,False,True
7,,"['7 30/09/2019 CARD AND', '16:23:46 PAYMENT', 'TO CA', 'AKU', 'TRANSFE', 'SERVICES', 'R']",202.8,Debit,62464.15,False,True
8,,"['8 30/09/2019 ELECTRO', '16:10:32', 'NIC', '- CA', 'AKU', '5/AOBFTR', 'BANKING', '300920196', 'SERVICES', '31457']",167.4,Debit,62261.35,False,True
9,,"['9 30/09/2019 ELECTRO', '16:10:32', 'NIC', '- CA', 'AKU', '1/AOBFTR', 'BANKING', '300920196', 'SERVICES', '31461']",118.8,Debit,62093.95,False,True
10,,"['10 30/09/2019 CARD AND', '16:01:26 PAYMENT', 'SHOPPING 1909/441', 'SERVICES', 'CENTR', '12:54:30 PAYMENT', 'TO CA', 'RLIE', '03', 'SERVICES', '201909']",597.48,Debit,61975.15,False,True
11,,"['12 30/09/2019 CARD AND', '10:05:21 PAYMENT', 'N', '000000001', 'SERVICES', 'CREATION 64/Outward', 'ACH']",4419.4,Debit,61113.67,False,True
12,,"['13 30/09/2019 CARD AND', '10:02:49 PAYMENT', 'World', '2019/BEBK', 'SERVICES', 'Restaur', '092827750', '075']",760.0,Debit,56694.27,False,True
13,,"['14 28/09/2019 ELECTRO', '17:39:56', 'NIC', 'Dazs12oct1 MIN/RPP19', 'BANKING', '092800080', 'SERVICES', '6016']",2807.61,Debit,55934.27,False,True
14,,"['15 28/09/2019 CARD AND', '17:38:19 PAYMENT', 'TO CA', 'A ONE', 'SERVICES', 'FAMILY']",300.0,Debit,53126.66,False,True
15,,"['16 28/09/2019 MELAKA', '02:27:24', 'FEE']",0.5,Debit,52826.66,False,True
16,,"['17 27/09/2019 MELAKA', '23:00:00', 'INCLEARING-', 'CHEQUE']",1441.0,Credit,52827.16,False,True
17,,"['18 27/09/2019', '17:44:04', 'DEP/MISC']",953.96,Credit,54268.16,False,True
